NO,PLAYER,TEAM,POS,ESPN_RK,ESPN_RAT,ELIAS_RK,ELIAS_RAT,AVG RK
1,Joey Votto,CIN,1B,2,75.6,6,93.4,4
2,Corey Kluber,CLE,SP,7,72.3,2,96.2,4.5
3,Giancarlo Stanton,MIA,RF,9,70.4,3,94.4,6
4,Charlie Blackmon,COL,CF,1,83.1,12,91.8,6.5
5,Chris Sale,BOS,SP,10,65.7,4,94.2,7
6,Nolan Arenado,COL,3B,5,74.4,10,92.2,7.5
7,Max Scherzer,WSH,SP,12,62.6,5,93.6,8.5
8,Anthony Rizzo,CHC,1B,13,61.5,11,92.1,12
9,Kenley Jansen,LAD,RP,24,53.7,1,96.3,12.5
10,Clayton Kershaw,LAD,SP,20,56.7,9,92.8,14.5
11,Jose Altuve,HOU,2B,4,75.4,27,87.4,15.5
12,Craig Kimbrel,BOS,RP,28,51.6,7,93.4,17.5
13,Marcell Ozuna,MIA,LF,8,71.1,31,86.1,19.5
14,Mike Trout,LAA,CF,33,51.1,8,93.1,20.5
15,Carlos Carrasco,CLE,SP,29,51.3,14,90.9,21.5
16,Nelson Cruz,SEA,DH,19,58.2,25,87.7,22
17,Luis Severino,NYY,SP,21,55.5,24,87.9,22.5
17,Stephen Strasburg,WSH,SP,17,59.8,28,86.9,22.5
19,Zack Greinke,ARI,SP,29,51.3,20,88.5,24.5
20,Paul Goldschmidt,ARI,1B,2,75.6,48,83.5,25
21,Bryce Harper,WSH,RF,35,50.3,18,89.5,26.5
22,Daniel Murphy,WSH,2B,15,60,39,85.1,27
23,Gio Gonzalez,WSH,SP,39,47.9,16,90,27.5
24,Justin Verlander,HOU,SP,43,45.5,15,90.3,29
25,Ryan Zimmerman,WSH,1B,27,51.8,35,85.7,31
26,Mookie Betts,BOS,RF,36,49.5,33,85.9,34.5
26,Cody Bellinger,LAD,1B,52,37.9,17,89.8,34.5
28,Corey Knebel,MIL,RP,58,36.3,13,91.3,35.5
29,Aaron Judge,NYY,RF,6,73,67,80.7,36.5
30,Khris Davis,OAK,LF,44,44.7,34,85.8,39
31,Jose Abreu,CHW,1B,23,54.3,57,82,40
32,J.D. Martinez,ARI,RF,26,51.8,58,81.9,42
32,Anthony Rendon,WSH,3B,25,53.4,59,81.5,42
34,Ervin Santana,MIN,SP,48,43.1,37,85.2,42.5
35,George Springer,HOU,CF,32,51.1,55,82.7,43.5
36,Francisco Lindor,CLE,SS,34,50.7,54,82.8,44
36,Jake Lamb,ARI,3B,46,44.6,42,84.4,44
38,Justin Turner,LAD,3B,49,39.4,43,84.3,46
38,Christian Yelich,MIA,CF,42,45.6,50,83.1,46
40,Edwin Encarnacion,CLE,DH,16,59.9,78,79.2,47
41,Justin Upton,LAA,LF,31,51.2,64,80.9,47.5
42,Dallas Keuchel,HOU,SP,55,37.4,41,84.6,48
42,Tommy Pham,STL,LF,47,43.1,49,83.2,48
44,Marcus Stroman,TOR,SP,53,37.8,44,84.1,48.5
45,Wade Davis,CHC,RP,72,30.6,30,86.2,51
45,Drew Pomeranz,BOS,SP,64,34.1,38,85.1,51
47,Chase Anderson,MIL,SP,57,36.5,46,83.9,51.5
48,Kris Bryant,CHC,3B,18,58.4,87,77.6,52.5
48,Brad Peacock,HOU,SP,53,37.8,52,83,52.5
50,Freddie Freeman,ATL,1B,70,31.7,36,85.2,53
51,Eric Hosmer,KC,1B,14,61.2,95,76.7,54.5
51,Felipe Vazquez,PIT,RP,77,29.1,32,86.1,54.5
53,Elvis Andrus,TEX,SS,41,46.2,74,79.6,57.5
53,Andrew Miller,CLE,RP,94,24.9,21,88.5,57.5
55,Alex Wood,LAD,SP,37,48.6,82,78.9,59.5
56,Robbie Ray,ARI,SP,37,48.6,90,77.3,63.5
57,Jay Bruce,CLE,RF,60,34.6,72,79.9,66
58,Brad Hand,SD,RP,114,21,19,89.4,66.5
59,Brian Dozier,MIN,2B,22,54.8,112,74,67
60,Andrew McCutchen,PIT,CF,50,39.3,85,78.4,67.5
61,Corey Seager,LAD,SS,59,35.8,77,79.3,68
62,Raisel Iglesias,CIN,RP,118,19.8,22,88.3,70
63,Jonathan Schoop,BAL,2B,40,47.4,103,75.7,71.5
64,Josh Donaldson,TOR,3B,84,27.2,60,81.5,72
65,Jimmy Nelson,MIL,SP,75,29.6,75,79.4,75
66,Jacob deGrom,NYM,SP,51,38.1,104,75.5,77.5
66,Joe Mauer,MIN,1B,99,24.3,56,82.1,77.5
66,David Robertson,NYY,RP,111,22.2,44,84.1,77.5
69,Marwin Gonzalez,HOU,LF,89,26.5,67,80.7,78
70,Mike Clevinger,CLE,SP,87,26.9,71,80.3,79
71,Sean Doolittle,WSH,RP,113,21.3,47,83.8,80
72,Alex Colome,TB,RP,99,24.3,62,81.1,80.5
73,Avisail Garcia,CHW,RF,67,32.9,96,76.5,81.5
73,Robinson Cano,SEA,2B,83,27.6,80,79.1,81.5
73,Travis Shaw,MIL,3B,66,33.9,97,76.4,81.5
76,Jose Ramirez,CLE,3B,11,63.1,159,68.8,85
77,Lance Lynn,STL,SP,103,23.9,69,80.5,86
78,Justin Smoak,TOR,1B,61,34.5,114,73.8,87.5
79,James Paxton,SEA,SP,56,37.1,122,73.2,89
80,Brett Gardner,NYY,LF,92,26,88,77.6,90
81,Yusmeiro Petit,LAA,RP,142,15.8,40,84.8,91
82,Manny Machado,BAL,3B,68,32.5,115,73.8,91.5
83,Chad Green,NYY,RP,79,27.9,105,75.1,92
84,Domingo Santana,MIL,RF,65,34,120,73.4,92.5
85,Carlos Correa,HOU,SS,62,34.4,132,72.2,97
86,Zack Cozart,CIN,SS,96,24.8,100,76.2,98
87,Matt Carpenter,STL,1B,73,30.4,125,73,99
88,Kyle Hendricks,CHC,SP,118,19.8,81,79,99.5
88,Zach Davies,MIL,SP,105,23.1,94,76.8,99.5
90,Carlos Martinez,STL,SP,91,26.1,110,74.5,100.5
91,Josh Reddick,HOU,RF,88,26.7,118,73.6,103
91,Steven Souza Jr.,TB,RF,122,19,84,78.6,103
91,Chris Taylor,LAD,CF,120,19.7,86,78.2,103
94,Alex Cobb,TB,SP,154,13.8,53,83,103.5
95,Andrew Cashner,TEX,SP,130,17,79,79.1,104.5
96,Buster Posey,SF,C,71,30.9,141,70.9,106
97,Nicholas Castellanos,DET,3B,76,29.5,137,71.5,106.5
98,Ken Giles,HOU,RP,98,24.6,119,73.4,108.5
99,Pat Neshek,COL,RP,128,18,92,76.9,110
100,Jed Lowrie,OAK,2B,96,24.8,127,72.8,111
