NO,PLAYER,TEAM,POS,ESPN_RK,ESPN_RAT,ELIAS_RK,ELIAS_RAT,AVG RK
1,Mike Trout,LAA,CF,2,79.4,1,97.7,1.5
2,Victor Martinez,DET,DH,1,79.5,10,92.2,5.5
3,Andrew McCutchen,PIT,CF,5,72.7,7,93.3,6
3,Giancarlo Stanton,MIA,RF,8,69.7,4,95,6
5,Clayton Kershaw,LAD,SP,10,66.2,3,95.7,6.5
5,Johnny Cueto,CIN,SP,11,64.1,2,96,6.5
7,Miguel Cabrera,DET,1B,3,76,11,91.9,7
8,Michael Brantley,CLE,LF,4,74.8,14,90.6,9
9,Adam Wainwright,STL,SP,14,59.5,5,94,9.5
10,Corey Kluber,CLE,SP,12,61.5,9,92.3,10.5
11,Jose Abreu,CHW,1B,6,71.9,21,89.8,13.5
12,Felix Hernandez,SEA,SP,9,66.3,19,90,14
13,Buster Posey,SF,C,23,52,8,92.7,15.5
14,Jayson Werth,WSH,RF,21,53.7,12,91.8,16.5
15,Jose Bautista,TOR,RF,7,71.5,28,88.4,17.5
16,Josh Donaldson,OAK,3B,19,54.7,25,88.6,22
17,Chris Sale,CHW,SP,37,45.2,13,91.4,25
18,Matt Holliday,STL,LF,31,47.6,20,89.8,25.5
19,Jon Lester,OAK,SP,26,50.9,26,88.6,26
20,Anthony Rizzo,CHC,1B,24,51.9,34,85.1,29
21,Denard Span,WSH,CF,36,45.8,23,88.9,29.5
21,Jonathan Lucroy,MIL,C,30,47.7,29,88.1,29.5
23,Jose Altuve,HOU,2B,13,59.9,49,83,31
24,Max Scherzer,DET,SP,46,42.5,17,90.1,31.5
25,Adrian Gonzalez,LAD,1B,29,49.1,36,84.8,32.5
26,Albert Pujols,LAA,1B,22,53,45,83.3,33.5
27,Adam LaRoche,WSH,1B,44,43.1,24,88.8,34
28,David Ortiz,BOS,DH,47,42,22,89.1,34.5
28,Freddie Freeman,ATL,1B,17,56.1,52,82.2,34.5
30,Nelson Cruz,BAL,DH,20,54.4,51,82.4,35.5
31,Matt Carpenter,STL,3B,33,47.1,41,83.7,37
32,Hunter Pence,SF,RF,45,42.8,32,87.4,38.5
33,Dellin Betances,NYY,RP,75,29.6,6,93.6,40.5
34,Yasiel Puig,LAD,RF,18,55.2,64,80.4,41
35,Greg Holland,KC,RP,43,43.2,43,83.6,43
36,Huston Street,LAA,RP,71,30.6,16,90.2,43.5
37,Carlos Santana,CLE,1B,48,41.4,42,83.7,45
38,Jake Arrieta,CHC,SP,63,33.9,30,87.7,46.5
39,Zack Britton,BAL,RP,77,28.8,18,90.1,47.5
39,Craig Kimbrel,ATL,RP,48,41.4,47,83,47.5
41,Garrett Richards,LAA,SP,34,46.5,62,81.1,48
42,Yoenis Cespedes,BOS,LF,53,38.5,50,82.7,51.5
42,Cole Hamels,PHI,SP,64,33.8,39,84.1,51.5
44,Justin Morneau,COL,1B,65,33.2,40,84,52.5
44,Robinson Cano,SEA,2B,15,58.4,90,76.6,52.5
46,Christian Yelich,MIA,LF,52,38.8,56,81.6,54
46,Anthony Rendon,WSH,3B,15,58.4,93,76.2,54
