NO,PLAYER,TEAM,POS,ESPN_RK,ESPN_RAT,ELIAS_RK,ELIAS_RAT,AVG RK
1,Christian Yelich,MIL,RF,1,87.8,--,--,1
2,J.D. Martinez,BOS,DH,2,87.3,--,--,2
3,Mookie Betts,BOS,RF,3,83.7,--,--,3
4,Jose Ramirez,CLE,2B,4,75.1,--,--,4
5,Nolan Arenado,COL,3B,5,74.5,--,--,5
6,Alex Bregman,HOU,3B,6,72.9,--,--,6
7,Mike Trout,LAA,CF,7,71,--,--,7
8,Manny Machado,LAD,SS,8,67.9,--,--,8
9,Francisco Lindor,CLE,SS,9,67.4,--,--,9
10,Freddie Freeman,ATL,1B,10,66.3,--,--,10
11,Trevor Story,COL,SS,11,64.3,--,--,11
12,Aaron Nola,PHI,SP,12,64.1,--,--,12
13,Max Scherzer,WSH,SP,13,63.3,--,--,13
14,Bryce Harper,WSH,RF,14,62.8,--,--,14
15,Javier Baez,CHC,SS,15,61.2,--,--,15
16,Blake Snell,TB,SP,16,59.4,--,--,16
17,Charlie Blackmon,COL,CF,17,58.8,--,--,17
18,Justin Verlander,HOU,SP,18,58.4,--,--,18
19,Paul Goldschmidt,ARI,1B,19,58,--,--,19
20,Corey Kluber,CLE,SP,20,57.6,--,--,20
21,Jacob deGrom,NYM,SP,21,57.3,--,--,21
22,Matt Carpenter,STL,1B,22,56.5,--,--,22
23,Andrew Benintendi,BOS,LF,23,56.4,--,--,23
24,Chris Sale,BOS,SP,24,55.2,--,--,24
25,Gerrit Cole,HOU,SP,25,54.9,--,--,25
26,Anthony Rendon,WSH,3B,26,54.9,--,--,26
27,Mitch Haniger,SEA,RF,27,53.9,--,--,27
28,Giancarlo Stanton,NYY,LF,28,53.8,--,--,28
29,Nick Markakis,ATL,RF,29,53.2,--,--,29
,Khris Davis,OAK,LF,29,53.2,--,--,29
31,Edwin Diaz,SEA,RP,31,52.8,--,--,31
32,Miles Mikolas,STL,SP,32,52.4,--,--,32
33,Trevor Bauer,CLE,SP,33,51.9,--,--,33
34,Whit Merrifield,KC,2B,34,50.4,--,--,34
35,Scooter Gennett,CIN,2B,35,49.3,--,--,35
36,Eugenio Suarez,CIN,3B,36,48.5,--,--,36
37,Nicholas Castellanos,DET,RF,37,47.7,--,--,37
38,Blake Treinen,OAK,RP,38,47.4,--,--,38
,Anthony Rizzo,CHC,1B,38,47.4,--,--,38
40,Trea Turner,WSH,SS,40,47.2,--,--,40
41,Rhys Hoskins,PHI,LF,41,45.8,--,--,41
42,Michael Brantley,CLE,LF,42,45,--,--,42
43,Patrick Corbin,ARI,SP,43,44.5,--,--,43
44,Lorenzo Cain,MIL,CF,44,44,--,--,44
45,Jose Altuve,HOU,2B,45,43.9,--,--,45
46,Luis Severino,NYY,SP,46,43.9,--,--,46
47,Xander Bogaerts,BOS,SS,47,43.5,--,--,47
48,Kyle Freeland,COL,SP,48,42.5,--,--,48
49,Miguel Andujar,NYY,3B,49,42.1,--,--,49
50,Carlos Carrasco,CLE,SP,50,42,--,--,50
51,Jed Lowrie,OAK,2B,51,41.6,--,--,51
52,Mike Clevinger,CLE,SP,52,41.5,--,--,52
53,Jesus Aguilar,MIL,1B,53,41.1,--,--,53
54,Mike Foltynewicz,ATL,SP,54,41,--,--,54
55,Charlie Morton,HOU,SP,55,39.6,--,--,55
56,Zack Greinke,ARI,SP,56,37.8,--,--,56
57,Aaron Hicks,NYY,CF,57,37.2,--,--,57
58,Matt Chapman,OAK,3B,58,37.1,--,--,58
59,Ozzie Albies,ATL,2B,59,36.4,--,--,59
60,David Peralta,ARI,RF,60,36.4,--,--,60
61,Craig Kimbrel,BOS,RP,61,34.5,--,--,61
62,Noah Syndergaard,NYM,SP,62,33.6,--,--,62
63,Max Muncy,LAD,1B,63,33,--,--,63
64,Jameson Taillon,PIT,SP,64,32.4,--,--,64
65,Tommy Pham,TB,CF,65,32.3,--,--,65
66,Walker Buehler,LAD,SP,66,32.1,--,--,66
67,Jon Lester,CHC,SP,67,31.8,--,--,67
68,Edwin Encarnacion,CLE,1B,68,31.1,--,--,68
69,Didi Gregorius,NYY,SS,69,31,--,--,69
70,Cesar Hernandez,PHI,2B,70,30.8,--,--,70
71,Justin Turner,LAD,3B,71,30.6,--,--,71
72,Matt Olson,OAK,1B,72,30.4,--,--,72
73,Andrew McCutchen,NYY,CF,73,29.9,--,--,73
74,George Springer,HOU,CF,74,29.7,--,--,74
75,Jean Segura,SEA,SS,75,29.7,--,--,75
76,Carlos Santana,PHI,1B,76,29.5,--,--,76
77,Zack Wheeler,NYM,SP,77,29,--,--,77
78,Nelson Cruz,SEA,DH,78,28.8,--,--,78
79,Clayton Kershaw,LAD,SP,79,28.7,--,--,79
80,Joey Votto,CIN,1B,80,28.4,--,--,80
81,Wade Davis,COL,RP,81,28.2,--,--,81
81,Aroldis Chapman,NYY,RP,81,28.2,--,--,81
81,Joey Gallo,TEX,3B,81,28.2,--,--,81
81,Aaron Judge,NYY,RF,81,28.2,--,--,81
85,Jose Martinez,STL,1B,85,28.2,--,--,85
86,Kenley Jansen,LAD,RP,86,27.6,--,--,86
87,Stephen Piscotty,OAK,RF,87,27.3,--,--,87
88,J.A. Happ,NYY,SP,88,27,--,--,88
89,Shin-Soo Choo,TEX,RF,89,27,--,--,89
,Marcus Semien,OAK,SS,89,27,--,--,89
91,Trevor Williams,PIT,SP,91,26.9,--,--,91
92,Juan Soto,WSH,LF,92,26.6,--,--,92
93,Travis Shaw,MIL,2B,93,26.2,--,--,93
94,Ben Zobrist,CHC,LF,94,26,--,--,94
95,Kyle Hendricks,CHC,SP,95,25.8,--,--,95
95,Brandon Nimmo,NYM,CF,95,25.8,--,--,95
95,Josh Hader,MIL,RP,95,25.8,--,--,95
98,Brian Anderson,MIA,3B,98,25.8,--,--,98
99,Justin Upton,LAA,LF,99,25.7,--,--,99
99,Cody Bellinger,LAD,CF,99,25.7,--,--,99
