NO,PLAYER,TEAM,POS,ESPN_RK,ESPN_RAT,ELIAS_RK,ELIAS_RAT,AVG RK
46,Anthony Rizzo,CHC,1B,46,43.7,--,--,46
47,Josh Hader,MIL,RP,47,43.5,--,--,47
48,Patrick Corbin,WSH,SP,48,43.2,--,--,48
49,Mike Clevinger,CLE,SP,49,43.1,--,--,49
50,Lance Lynn,TEX,SP,50,42.8,--,--,50
51,Whit Merrifield,KC,2B,51,42.7,--,--,51
52,Kris Bryant,CHC,3B,52,42.4,--,--,52
53,Max Scherzer,WSH,SP,53,41.7,--,--,53
,Clayton Kershaw,LAD,SP,53,41.7,--,--,53
55,Luis Castillo,CIN,SP,55,41.4,--,--,55
56,Matt Chapman,OAK,3B,56,40.5,--,--,56
57,Jose Abreu,CHW,1B,57,39.1,--,--,57
58,Roberto Osuna,HOU,RP,58,39,--,--,58
59,Lucas Giolito,CHW,SP,59,37.2,--,--,59
60,Jeff McNeil,NYM,LF,60,36.9,--,--,60
61,Eduardo Rodriguez,BOS,SP,61,36.3,--,--,61
62,Jonathan Villar,BAL,2B,62,36.3,--,--,62
63,Sonny Gray,CIN,SP,63,36.2,--,--,63
64,Yuli Gurriel,HOU,1B,64,35.7,--,--,64
65,Aroldis Chapman,NYY,RP,65,35.7,--,--,65
66,Felipe Vazquez,PIT,RP,66,35.3,--,--,66
67,Paul Goldschmidt,STL,1B,67,35.2,--,--,67
68,Michael Conforto,NYM,RF,68,34.1,--,--,68
69,Gleyber Torres,NYY,2B,69,33.9,--,--,69
,Francisco Lindor,CLE,SS,69,33.9,--,--,69
71,Austin Meadows,TB,CF,71,33.5,--,--,71
72,Mike Minor,TEX,SP,72,33.4,--,--,72
73,Yoan Moncada,CHW,3B,73,32.6,--,--,73
74,Max Kepler,MIN,RF,74,32,--,--,74
75,Will Smith,SF,RP,75,31.5,--,--,75
76,Jose Berrios,MIN,SP,76,31.1,--,--,76
77,Dakota Hudson,STL,SP,77,30.8,--,--,77
78,Yasmani Grandal,MIL,C,78,30.6,--,--,78
79,Marcus Stroman,NYM,SP,79,30.2,--,--,79
80,Rhys Hoskins,PHI,1B,80,30,--,--,80
,Starling Marte,PIT,CF,80,30,--,--,80
82,Trea Turner,WSH,SS,82,29.9,--,--,82
83,Jake Odorizzi,MIN,SP,83,29.4,--,--,83
84,Adam Eaton,WSH,RF,84,29,--,--,84
85,Nicholas Castellanos,CHC,RF,85,28.6,--,--,85
86,Mike Fiers,OAK,SP,86,28.5,--,--,86
87,Tommy Pham,TB,CF,87,27.9,--,--,87
88,Eddie Rosario,MIN,LF,88,27.6,--,--,88
89,Marco Gonzales,SEA,SP,89,27.5,--,--,89
90,Emilio Pagan,TB,RP,90,27.3,--,--,90
91,Ken Giles,TOR,RP,91,26.7,--,--,91
92,Kyle Schwarber,CHC,LF,92,26.6,--,--,92
93,Alex Colome,CHW,RP,93,26.4,--,--,93
94,Giovanny Gallegos,STL,RP,94,25.8,--,--,94
95,Bryan Reynolds,PIT,LF,95,25.6,--,--,95
96,Shin-Soo Choo,TEX,LF,96,25.6,--,--,96
97,Justin Turner,LAD,3B,97,25.4,--,--,97
98,Brandon Workman,BOS,RP,98,24.8,--,--,98
99,Jose Altuve,HOU,2B,99,24.5,--,--,99
100,Tim Anderson,CHW,SS,100,24.4,--,--,100
