NO,PLAYER,TEAM,POS,ESPN_RK,ESPN_RAT,ELIAS_RK,ELIAS_RAT,AVG RK
1,Cody Bellinger,LAD,RF,1,82.1,--,--,1
2,Alex Bregman,HOU,3B,2,80.1,--,--,2
3,Anthony Rendon,WSH,3B,3,79.6,--,--,3
4,Freddie Freeman,ATL,1B,4,75.9,--,--,4
5,Xander Bogaerts,BOS,SS,5,74.3,--,--,5
6,Christian Yelich,MIL,RF,6,73.7,--,--,6
7,Nolan Arenado,COL,3B,7,73,--,--,7
8,Ronald Acuna Jr.,ATL,CF,8,69.6,--,--,8
9,Mike Trout,LAA,CF,9,68.8,--,--,9
10,Justin Verlander,HOU,SP,10,67.2,--,--,10
11,Gerrit Cole,HOU,SP,11,67.1,--,--,11
12,Rafael Devers,BOS,3B,12,66.7,--,--,12
13,DJ LeMahieu,NYY,2B,13,64.7,--,--,13
14,Mookie Betts,BOS,RF,14,63.7,--,--,14
15,J.D. Martinez,BOS,LF,15,63,--,--,15
16,Marcus Semien,OAK,SS,16,62.9,--,--,16
17,Juan Soto,WSH,LF,17,62.1,--,--,17
18,Ketel Marte,ARI,2B,18,60,--,--,18
19,Pete Alonso,NYM,1B,19,58.3,--,--,19
20,Carlos Santana,CLE,1B,20,57.3,--,--,20
21,Charlie Morton,TB,SP,21,56.7,--,--,21
22,Bryce Harper,PHI,RF,22,56,--,--,22
23,Zack Greinke,HOU,SP,23,55.7,--,--,23
24,Trevor Story,COL,SS,24,54.8,--,--,24
25,Jacob deGrom,NYM,SP,25,54.5,--,--,25
26,Nelson Cruz,MIN,DH,26,53.8,--,--,26
27,Stephen Strasburg,WSH,SP,27,53.4,--,--,27
28,Charlie Blackmon,COL,RF,28,53,--,--,28
29,George Springer,HOU,CF,29,53,--,--,29
30,Trey Mancini,BAL,RF,30,52.6,--,--,30
31,Josh Donaldson,ATL,3B,31,51.6,--,--,31
,Kirby Yates,SD,RP,31,51.6,--,--,31
33,Hyun-Jin Ryu,LAD,SP,33,50,--,--,33
34,Shane Bieber,CLE,SP,34,49.8,--,--,34
35,Josh Bell,PIT,1B,35,49.2,--,--,35
,Max Muncy,LAD,1B,35,49.2,--,--,35
37,Jorge Polanco,MIN,SS,37,48.5,--,--,37
38,Ozzie Albies,ATL,2B,38,48.4,--,--,38
39,Jorge Soler,KC,RF,39,48.2,--,--,39
40,Michael Brantley,HOU,LF,40,46.7,--,--,40
41,Eduardo Escobar,ARI,3B,41,45.1,--,--,41
42,Mike Soroka,ATL,SP,42,45,--,--,42
43,Eugenio Suarez,CIN,3B,43,45,--,--,43
44,Walker Buehler,LAD,SP,44,44.7,--,--,44
45,Jack Flaherty,STL,SP,45,44.4,--,--,45
