NO,PLAYER,TEAM,POS,ESPN_RK,ESPN_RAT,ELIAS_RK,ELIAS_RAT,AVG RK
1,Mike Trout,LAA,CF,2,77.1,2,97.1,2
2,Jon Lester,CHC,SP,17,59.1,3,96.6,10
3,Johnny Cueto,SF,SP,19,58.5,4,95.9,11.5
3,Paul Goldschmidt,ARI,1B,14,62.3,9,93.3,11.5
3,Joey Votto,CIN,1B,9,66.8,14,91.2,11.5
3,Freddie Freeman,ATL,1B,12,63.5,11,92.2,11.5
7,David Ortiz,BOS,DH,7,70.8,17,90.4,12
7,Josh Donaldson,TOR,3B,8,69.9,16,90.5,12
9,Max Scherzer,WSH,SP,16,61.4,10,93.1,13
9,Anthony Rizzo,CHC,1B,11,64.1,15,90.8,13
11,Justin Verlander,DET,SP,22,55.7,6,94,14
12,Daniel Murphy,WSH,2B,10,64.5,19,90.1,14.5
13,Kyle Hendricks,CHC,SP,23,55.4,8,93.3,15.5
14,Nolan Arenado,COL,3B,6,71.7,27,87.7,16.5
15,Jose Altuve,HOU,2B,3,75.3,32,85.7,17.5
16,Zack Britton,BAL,RP,39,47.3,1,97.8,20
17,Clayton Kershaw,LAD,SP,34,52.1,7,93.4,20.5
18,Robinson Cano,SEA,2B,13,62.8,29,86.4,21
19,Miguel Cabrera,DET,1B,5,72.2,38,85.1,21.5
20,Mookie Betts,BOS,RF,1,78.7,43,83.2,22
21,Adrian Beltre,TEX,3B,28,53.9,22,88.6,25
22,Aaron Sanchez,TOR,SP,40,47.1,13,91.4,26.5
23,Madison Bumgarner,SF,SP,26,55.3,31,85.7,28.5
24,Kris Bryant,CHC,3B,4,75,54,81.3,29
25,Rick Porcello,BOS,SP,24,55.4,35,85.6,29.5
26,Jose Fernandez,MIA,SP,35,51,26,87.7,30.5
27,Christian Yelich,MIA,LF,45,44.8,18,90.3,31.5
28,Chris Sale,CHW,SP,44,44.9,20,89.2,32
29,Tanner Roark,WSH,SP,46,44.1,21,88.8,33.5
30,Corey Seager,LAD,SS,27,54.5,42,83.8,34.5
31,Charlie Blackmon,COL,CF,15,62,55,81.3,35
32,Corey Kluber,CLE,SP,31,52.7,41,83.9,36
33,Masahiro Tanaka,NYY,SP,49,42.8,25,88.2,37
34,Dustin Pedroia,BOS,2B,18,58.9,57,81.1,37.5
35,Andrew Miller,CLE,RP,76,31.5,5,94.6,40.5
36,Cole Hamels,TEX,SP,58,38.4,28,86.7,43
37,J.A. Happ,TOR,SP,59,38.3,30,86.1,44.5
38,Mark Melancon,WSH,RP,51,41.4,40,84.4,45.5
39,Jose Ramirez,CLE,3B,55,40.1,37,85.1,46
40,Rich Hill,LAD,SP,51,41.4,45,82.7,48
40,Jose Quintana,CHW,SP,73,32.7,23,88.3,48
40,Bryce Harper,WSH,RF,72,32.9,24,88.3,48
43,Jake Arrieta,CHC,SP,37,48.4,62,79.9,49.5
43,Nelson Cruz,SEA,DH,29,53.8,70,78.4,49.5
43,Carlos Santana,CLE,DH,53,40.8,46,82.7,49.5
46,Noah Syndergaard,NYM,SP,41,47,60,81,50.5
47,Jean Segura,ARI,2B,25,55.3,77,77.5,51
48,Carlos Correa,HOU,SS,70,33.6,33,85.6,51.5
49,Aroldis Chapman,CHC,RP,54,40.5,51,82.1,52.5
50,Hanley Ramirez,BOS,1B,50,41.6,58,81.1,54
51,Xander Bogaerts,BOS,SS,33,52.3,78,77.5,55.5
52,Manny Machado,BAL,3B,30,53.4,87,76,58.5
53,Wil Myers,SD,1B,67,34.1,59,81,63
54,DJ LeMahieu,COL,2B,21,57.7,108,73.7,64.5
55,Ian Desmond,TEX,CF,61,37.3,71,78.3,66
56,Edwin Encarnacion,TOR,DH,20,58.2,115,73.4,67.5
57,Sam Dyson,TEX,RP,127,18.9,12,92.1,69.5
57,Matt Carpenter,STL,3B,91,25.3,48,82.5,69.5
59,Roberto Osuna,TOR,RP,103,22.8,39,84.6,71
60,Kenley Jansen,LAD,RP,32,52.5,113,73.4,72.5
60,Danny Duffy,KC,SP,101,23,44,83.1,72.5
60,Carlos Martinez,STL,SP,65,35.3,80,77.1,72.5
63,Jason Kipnis,CLE,2B,75,31.6,71,78.3,73
64,Kyle Seager,SEA,3B,47,43.9,101,74.5,74
65,Brandon Belt,SF,1B,64,35.4,85,76.3,74.5
66,Jonathan Villar,MIL,SS,63,36.4,88,76,75.5
67,Albert Pujols,LAA,DH,85,27.1,67,79.5,76
68,Julio Teheran,ATL,SP,103,22.8,50,82.2,76.5
69,Elvis Andrus,TEX,SS,93,24.9,61,80.4,77
70,Seunghwan Oh,STL,RP,90,25.4,66,79.6,78
71,Justin Turner,LAD,3B,121,19.8,36,85.3,78.5
72,Martin Prado,MIA,3B,87,26.1,74,77.9,80.5
73,Cody Allen,CLE,RP,95,23.7,68,78.7,81.5
,Anthony Rendon,WSH,3B,87,26.1,76,77.5,81.5
75,Ian Kinsler,DET,2B,48,43.6,119,73,83.5
76,Yoenis Cespedes,NYM,LF,134,17.9,34,85.6,84
77,George Springer,HOU,RF,38,47.7,132,71.3,85
77,Francisco Lindor,CLE,SS,42,45.5,128,72.1,85
79,Wilson Ramos,WSH,C,120,19.8,52,81.9,86
80,Evan Longoria,TB,3B,66,34.7,109,73.6,87.5
81,Chris Davis,BAL,1B,71,33.3,106,74.1,88.5
82,Junior Guerra,MIL,SP,95,23.7,83,76.5,89
82,Jake Lamb,ARI,3B,122,19.5,56,81.2,89
84,Jeurys Familia,NYM,RP,81,27.9,99,74.7,90
84,Ben Zobrist,CHC,2B,57,39.6,123,72.6,90
86,Marco Estrada,TOR,SP,135,17.7,46,82.7,90.5
87,Starling Marte,PIT,LF,98,23.3,84,76.4,91
88,Mychal Givens,BAL,RP,--,--,92,75.5,92
88,Brian Dozier,MIN,2B,36,49.5,148,70.2,92
90,Jonathan Lucroy,TEX,C,137,16,53,81.9,95
91,Mark Trumbo,BAL,RF,43,45.2,151,69.9,97
92,Melky Cabrera,CHW,LF,131,18.4,65,79.7,98
93,Stephen Piscotty,STL,RF,118,19.9,81,76.8,99.5
94,Chris Devenski,HOU,RP,112,20.7,90,75.5,101
94,Nate Jones,CHW,RP,109,21,93,75.4,101
94,Dan Straily,CIN,SP,129,18.5,73,78.1,101
97,Buster Posey,SF,C,86,26.3,119,73,102.5
98,Michael Fulmer,DET,SP,111,20.9,98,74.9,104.5
99,Jacob deGrom,NYM,SP,119,19.8,91,75.5,105
