NO,PLAYER,TEAM,POS,ESPN_RK,ESPN_RAT,ELIAS_RK,ELIAS_RAT,AVG RK
1,Miguel Cabrera,DET,3B,1,88.8,8,92.8,3.8
2,Ryan Braun,MIL,LF,2,85.4,5,94.2,4
3,Mike Trout,LAA,CF,3,80.9,10,92.6,5
4,Andrew McCutchen,PIT,CF,4,79.5,12,91.9,7.3
5,Justin Verlander,DET,SP,8,68.6,3,95.4,8
6,Buster Posey,SF,C,9,66.4,19,90.1,10
7,Prince Fielder,DET,1B,7,70.2,11,91.9,10.3
8,Chase Headley,SD,3B,10,65.2,21,89.3,12.3
9,Clayton Kershaw,LAD,SP,13,62.9,18,90.1,15.5
10,David Wright,NYM,3B,17,60.1,24,88.9,17.5
11,Edwin Encarnacion,TOR,1B,16,61.5,14,91,20
12,David Price,TB,SP,14,62.1,7,93.5,21.5
13,Fernando Rodney,TB,RP,29,51.3,2,96,21.8
14,R.A. Dickey,NYM,SP,15,62,45,82.5,22.5
15,Robinson Cano,NYY,2B,5,78,74,77.6,23
16,Aramis Ramirez,MIL,3B,19,58.7,16,90.6,24
17,Joey Votto,CIN,1B,51,37.9,6,93.9,24.3
18,Josh Willingham,MIN,LF,28,51.4,9,92.8,26
18,Craig Kimbrel,ATL,RP,23,54,13,91.7,26
20,Josh Hamilton,TEX,CF,12,64.4,53,80.9,26.8
21,Adrian Beltre,TEX,3B,6,71.2,60,80.1,27.5
22,Felix Hernandez,SEA,SP,30,50.7,4,94.3,29.3
23,Joe Mauer,MIN,C,22,54.4,22,89.2,31.5
24,Cole Hamels,PHI,SP,32,49.4,34,85.2,33.5
25,Billy Butler,KC,DH,20,57.5,52,81.3,34.3
26,Adam Jones,BAL,CF,35,48,38,84,36.5
27,Austin Jackson,DET,CF,33,48.4,59,80.2,38.3
28,Albert Pujols,LAA,1B,38,45,35,84.9,38.5
29,Matt Holliday,STL,LF,11,64.5,41,83.5,38.8
30,Yadier Molina,STL,C,63,34.6,31,85.4,40
31,Chris Sale,CHW,SP,43,41.4,20,89.3,41
32,Ben Zobrist,TB,RF,47,38.7,79,76.9,41.5
33,Aaron Hill,ARI,2B,25,53.2,112,73.2,42
34,Aroldis Chapman,CIN,RP,39,44.7,36,84.3,43.3
35,Matt Cain,SF,SP,21,55.8,54,80.7,45.3
36,Alex Rios,CHW,RF,36,47.1,91,76,51.3
37,Cliff Lee,PHI,SP,65,34.5,57,80.3,52.3
37,Kyle Lohse,STL,SP,27,51.5,26,88.2,52.3
39,Melky Cabrera,SF,LF,78,30.6,49,81.6,53
40,Johnny Cueto,CIN,SP,26,52.8,17,90.2,55
41,Giancarlo Stanton,MIA,RF,72,32.3,50,81.5,55.5
42,Gio Gonzalez,WSH,SP,18,59.4,42,82.9,57
43,Jered Weaver,LAA,SP,34,48.2,15,91,59.3
44,Adam LaRoche,WSH,1B,52,37.5,62,79.7,60
45,Adrian Gonzalez,LAD,1B,42,42.3,102,74.8,60.5
46,Angel Pagan,SF,CF,90,28.1,66,79.3,65.3
47,Jose Reyes,MIA,SS,72,32.3,37,84.2,65.8
48,Torii Hunter,LAA,RF,47,38.7,44,82.5,69.8
49,Jason Heyward,ATL,RF,63,34.6,63,79.7,70.3
50,Jake Peavy,CHW,SP,74,32,61,80.1,70.5
51,Shin-Soo Choo,CLE,RF,57,36,73,77.6,71
51,Ryan Zimmerman,WSH,3B,41,43.2,143,69.4,71
53,CC Sabathia,NYY,SP,54,37,106,74.2,71.5
53,Martin Prado,ATL,LF,58,35.5,55,80.5,71.5
55,Miguel Montero,ARI,C,80,30.2,75,77.4,72.8
56,Mat Latos,CIN,SP,71,32.6,46,82.1,74.8
57,Marco Scutaro,SF,2B,66,34.3,168,67.6,77.3
58,Zack Greinke,LAA,SP,44,41,29,85.9,77.8
59,Yoenis Cespedes,OAK,LF,126,19.9,30,85.6,78.3
60,Carlos Ruiz,PHI,C,85,29.1,111,73.8,79.5
61,Matt Kemp,LAD,CF,127,19.8,79,76.9,80.3
62,Jordan Zimmermann,WSH,SP,76,31,93,75.7,81.3
63,Darren O'Day,BAL,RP,141,17.1,32,85.2,85.5
64,Nick Swisher,NYY,RF,59,35.4,119,72.1,86.5
65,Ryan Cook,OAK,RP,123,21,70,78.4,87.8
66,Kris Medlen,ATL,RP,119,21.3,27,87.2,90
67,Carlos Gonzalez,COL,LF,45,39.2,187,66.1,91.3
67,Sergio Romo,SF,RP,94,26.4,105,74.3,91.3
69,Dustin Pedroia,BOS,2B,134,17.9,137,70.2,91.8
70,Carlos Ivan Beltran,STL,RF,52,37.5,67,79,94
71,Tom Wilhelmsen,SEA,RP,125,20.1,28,86.9,96
72,Bryce Harper,WSH,CF,122,21.2,98,75.2,96.3
73,Hiroki Kuroda,NYY,SP,61,35.3,116,72.6,97.5
73,Alfonso Soriano,CHC,LF,81,30.1,97,75.3,97.5
75,Michael Bourn,ATL,CF,62,34.8,107,74,100
76,Alex Gordon,KC,LF,37,46.6,295,57.8,100.5
77,Matt Harrison,TEX,SP,49,38.1,25,88.4,100.8
78,Carlos Santana,CLE,C,103,23.6,127,71.2,102.3
79,Stephen Strasburg,WSH,SP,56,36.3,94,75.5,102.5
80,Grant Balfour,OAK,RP,114,21.6,47,82.1,103.3
81,Casey Janssen,TOR,RP,147,15.9,69,78.6,104
82,Jim Johnson,BAL,RP,86,28.8,1,96.7,104.3
83,David Freese,STL,3B,101,24.3,198,65.3,105.3
84,Jake McGee,TB,RP,98,24.9,174,67.3,107.5
85,Wade Miley,ARI,SP,67,34.2,144,69.3,108.8
86,Paul Konerko,CHW,1B,79,30.4,138,70.1,110.5
87,Jay Bruce,CIN,RF,40,44.4,230,62.7,111.3
88,Kelvin Herrera,KC,RP,184,10.2,85,76.6,111.8
89,Jared Burton,MIN,RP,131,18.3,72,77.7,115
90,David Murphy,TEX,LF,102,24,141,69.9,115.3
90,Elvis Andrus,TEX,SS,92,27,204,64.7,115.3
92,Curtis Granderson,NYY,CF,24,53.8,189,66,117.8
92,James Shields,TB,SP,50,38,129,71.1,117.8
94,Kenley Jansen,LAD,RP,133,18,147,69.3,118.3
95,Ernesto Frieri,LAA,RP,127,19.8,120,72.1,118.8
96,Corey Hart,MIL,1B,83,29.7,56,80.5,119
97,Jason Motte,STL,RP,82,30,156,68.6,119.3
97,Starlin Castro,CHC,SS,115,21.5,238,62,119.3
99,Ian Desmond,WSH,SS,137,17.8,33,85.2,121
100,Allen Craig,STL,1B,91,27.8,64,79.5,121.5
