NO,PLAYER,TEAM,POS,ESPN_RK,ESPN_RAT,ELIAS_RK,ELIAS_RAT,AVG RK
1,Mike Trout,LAA,CF,2,84.8,9,92.1,3.3
2,Miguel Cabrera,DET,3B,1,90.3,3,96.7,3.8
3,Clayton Kershaw,LAD,SP,8,70.1,4,95.5,5.5
4,Paul Goldschmidt,ARI,1B,3,78.9,2,97.4,6.3
5,Matt Carpenter,STL,2B,4,71.9,15,90.4,7.5
6,Andrew McCutchen,PIT,CF,5,71.6,18,89.6,9
7,Joey Votto,CIN,1B,12,65.3,20,89.1,9.8
8,Chris Davis,BAL,1B,10,69.2,1,98,12.3
9,Josh Donaldson,OAK,3B,12,65.3,8,92.4,12.8
10,Shin-Soo Choo,CIN,CF,25,52.1,16,90.3,13.5
11,Freddie Freeman,ATL,1B,7,70.4,6,94.2,14.3
12,Robinson Cano,NYY,2B,6,71.5,10,92,15.3
13,Max Scherzer,DET,SP,15,61.7,11,91.1,16.3
14,Edwin Encarnacion,TOR,1B,17,58.1,38,84.5,28.8
15,Jason Kipnis,CLE,2B,31,49.9,32,85.8,29.3
16,Cliff Lee,PHI,SP,24,52.2,24,87.9,30
17,Yu Darvish,TEX,SP,29,50.6,34,85.5,30.3
18,David Ortiz,BOS,DH,11,66.8,75,77.8,30.5
18,Hisashi Iwakuma,SEA,SP,23,52.8,22,88.4,30.5
20,Matt Holliday,STL,LF,16,58.2,25,87.5,31.3
21,Greg Holland,KC,RP,27,51,5,94.2,31.8
22,Jose Fernandez,MIA,SP,37,43.7,28,87,32.3
23,Jayson Werth,WSH,RF,21,53.4,66,79.5,33.3
24,Koji Uehara,BOS,RP,69,33,13,90.8,34.3
25,Adam Wainwright,STL,SP,17,58.1,46,83.2,35.8
26,Chris Sale,CHW,SP,51,37.7,36,84.8,36.8
27,Matt Harvey,NYM,SP,39,42.8,40,84.2,38.3
28,Evan Longoria,TB,3B,33,47.7,70,79.1,39.3
29,Carlos Santana,CLE,C,49,39,18,89.6,41
30,Dustin Pedroia,BOS,2B,14,63.3,84,76.3,43.3
31,Joe Nathan,TEX,RP,38,43.5,7,92.7,45.5
32,Carlos Gomez,MIL,CF,85,27.4,83,76.5,51.3
33,Troy Tulowitzki,COL,SS,40,42.7,125,71.9,52.8
34,Craig Kimbrel,ATL,RP,28,50.7,57,81.1,53.3
35,Hunter Pence,SF,RF,22,53.1,101,74.2,53.8
36,Ryan Zimmerman,WSH,3B,57,36.1,23,88.2,54.5
37,Yadier Molina,STL,C,60,34.9,62,80.2,54.8
38,Adrian Beltre,TEX,3B,9,70,114,72.6,55.5
39,David Wright,NYM,3B,80,28.5,80,77.1,57
40,Jay Bruce,CIN,RF,26,51.6,64,80.1,58.3
41,Kenley Jansen,LAD,RP,87,26.7,21,88.5,58.8
42,Joe Mauer,MIN,C,72,32,103,73.8,60.5
43,Eric Hosmer,KC,1B,34,44.5,35,85.1,61.5
44,Jacoby Ellsbury,BOS,CF,46,40.7,81,76.5,64.3
45,Michael Cuddyer,COL,RF,35,44.4,78,77.2,64.5
45,Buster Posey,SF,C,78,29.3,95,74.6,64.5
47,Ben Zobrist,TB,2B,67,33.3,106,73.5,69.8
47,Bartolo Colon,OAK,SP,32,48.3,69,79.3,69.8
49,Adam Jones,BAL,CF,19,56.9,47,82.9,73
50,Prince Fielder,DET,1B,20,56,72,78.5,73.3
51,Kyle Seager,SEA,3B,107,21.9,52,81.7,74.8
51,Mark Melancon,PIT,RP,116,19.5,30,86.6,74.8
51,Felix Hernandez,SEA,SP,53,37.2,50,82,74.8
54,Carlos Gonzalez,COL,LF,86,27,140,69.8,75.5
55,Madison Bumgarner,SF,SP,43,42.2,49,82.3,77
56,Justin Upton,ATL,LF,41,42.4,66,79.5,77.3
57,Anibal Sanchez,DET,SP,30,50,173,66.2,78.5
58,Zack Greinke,LAD,SP,48,40.5,37,84.7,79
59,Hanley Ramirez,LAD,SS,219,8.5,59,80.4,82
59,Allen Craig,STL,1B,44,41.7,42,83.6,82
61,Coco Crisp,OAK,CF,90,26.4,116,72.5,82.8
62,Brandon Belt,SF,1B,104,22.4,39,84.3,84.3
63,Mariano Rivera,NYY,RP,71,32.3,45,83.3,85.3
64,Shane Victorino,BOS,RF,115,19.6,99,74.4,86.5
65,Jose Bautista,TOR,RF,83,28,55,81.1,89.3
66,Alfonso Soriano,NYY,LF,45,41.5,97,74.4,90
67,Mat Latos,CIN,SP,61,34.8,85,76.2,92
68,Glen Perkins,MIN,RP,98,24.6,56,81.1,92.5
69,Bryce Harper,WSH,LF,154,15.3,58,80.9,94
69,Manny Machado,BAL,3B,65,33.7,202,64.3,94
71,Jordan Zimmermann,WSH,SP,68,33.2,90,75.7,95
72,Joaquin Benoit,DET,RP,156,15,27,87.2,95.8
73,Yasiel Puig,LAD,RF,82,28.1,150,68.5,96.8
74,Ervin Santana,KC,SP,95,25.4,89,75.8,98
74,Travis Wood,CHC,SP,96,25.2,68,79.5,98
76,Patrick Corbin,ARI,SP,145,16.5,61,80.3,98.3
77,Jean Segura,MIL,SS,131,18.5,126,71.9,99.3
78,Ian Kinsler,TEX,2B,99,23.6,174,66.2,100
79,James Shields,KC,SP,55,36.6,12,91,100.8
80,Giancarlo Stanton,MIA,RF,130,18.8,51,81.8,105.5
81,Ian Desmond,WSH,SS,76,29.8,236,62,108.3
81,Neal Cotts,TEX,RP,116,19.5,122,72,108.3
83,Pedro Alvarez,PIT,3B,58,36,161,67.1,109
84,Adrian Gonzalez,LAD,1B,54,36.8,14,90.4,110.3
85,Chase Utley,PHI,2B,178,11.4,87,76.1,111
86,Clay Buchholz,BOS,SP,--,--,44,83.3,112
86,Marlon Byrd,PIT,RF,77,29.6,123,71.9,112
88,Mike Napoli,BOS,1B,47,40.6,170,66.4,113.8
89,Jonathan Lucroy,MIL,C,149,16.2,94,74.7,114.3
90,Edward Mujica,STL,RP,127,18.9,48,82.8,114.8
90,Derek Holland,TEX,SP,125,19.1,93,75,114.8
92,Stephen Strasburg,WSH,SP,88,26.6,144,69.2,115.8
93,Carlos Ivan Beltran,STL,RF,64,34.3,148,68.6,118.5
94,Jhonny Peralta,DET,SS,114,20,136,70.1,119.3
95,Brett Gardner,NYY,CF,140,17.3,74,78.1,120
96,Justin Masterson,CLE,SP,103,22.5,113,72.7,121.8
97,Julio Teheran,ATL,SP,127,18.9,143,69.3,122.5
98,Hiroki Kuroda,NYY,SP,110,21.4,41,84.1,123
98,Tony Watson,PIT,RP,170,12.8,65,79.9,123
100,Hyun-Jin Ryu,LAD,SP,66,33.3,112,72.9,123.5
