NO,PLAYER,TEAM,POS,ESPN_RK,ESPN_RAT,ELIAS_RK,ELIAS_RAT,AVG RK
1,Matt Kemp,LAD,CF,1,88.9,5,96.1,2.5
2,Jose Bautista,TOR,RF,7,73.9,1,98.5,3.8
2,Miguel Cabrera,DET,1B,4,81.8,3,97.8,3.8
4,Ryan Braun,MIL,LF,2,85.3,7,95.6,5.3
5,Jacoby Ellsbury,BOS,CF,3,82.4,10,95.1,5.8
5,Joey Votto,CIN,1B,8,72.8,4,97,5.8
7,Justin Verlander,DET,SP,12,67.8,12,94.3,9
8,Prince Fielder,MIL,1B,6,75.4,2,98.1,10.5
9,Cliff Lee,PHI,SP,17,61.4,11,94.3,12.8
10,Adrian Gonzalez,BOS,1B,5,78.8,25,89.6,13.5
11,Roy Halladay,PHI,SP,16,61.9,8,95.3,14.3
11,Clayton Kershaw,LAD,SP,9,69.6,27,88.4,14.3
13,Albert Pujols,STL,1B,14,64.4,19,91.4,15.3
14,Jered Weaver,LAA,SP,20,60.3,6,95.9,19
15,Curtis Granderson,NYY,CF,11,69.2,34,85.7,19.5
15,Robinson Cano,NYY,2B,15,63.1,40,84.3,19.5
17,James Shields,TB,SP,28,54.8,9,95.2,24
18,Dustin Pedroia,BOS,2B,10,69.4,48,82.6,24.5
19,Lance Berkman,STL,RF,18,60.7,16,93.1,25
20,Alex Gordon,KC,LF,24,56.7,35,84.8,27.3
21,Justin Upton,ARI,RF,22,58.8,49,82.4,31.3
22,Hunter Pence,PHI,RF,27,55.3,35,84.8,32.3
23,Ian Kinsler,TEX,2B,21,59,72,77,33.3
24,Cole Hamels,PHI,SP,39,44.6,18,93,33.5
25,CC Sabathia,NYY,SP,26,55.9,38,84.4,34
26,Troy Tulowitzki,COL,SS,23,57.3,75,75.8,34.3
27,Andrew McCutchen,PIT,CF,44,41.4,46,83.1,35
28,Dan Haren,LAA,SP,35,47,17,93.1,36.3
29,Paul Konerko,CHW,1B,25,56.1,58,80.4,36.5
30,Ian Kennedy,ARI,SP,33,48,14,93.6,37.3
31,Carlos Ivan Beltran,SF,RF,45,41.4,45,83.1,40.3
32,Jose Reyes,NYM,SS,29,52.6,97,73,41.5
33,Michael Young,TEX,DH,13,65.1,39,84.3,42.8
34,Alex Avila,DET,C,65,34.4,59,80.3,44
35,David Ortiz,BOS,DH,19,60.4,98,72.9,44.5
36,Michael Morse,WSH,1B,42,42.4,43,83.4,48.5
37,Evan Longoria,TB,3B,48,39.7,32,86,49.8
38,Ricky Romero,TOR,SP,38,44.9,28,88.2,52
39,Doug Fister,DET,SP,53,38,60,79.8,52.8
