NO,PLAYER,TEAM,POS,ESPN_RK,ESPN_RAT,ELIAS_RK,ELIAS_RAT,AVG RK
1,Paul Goldschmidt,ARI,1B,1,84,4,96.6,2.5
2,Jake Arrieta,CHC,SP,5,72.6,2,98,3.5
3,Zack Greinke,LAD,SP,8,68.1,1,98.9,4.5
3,Bryce Harper,WSH,RF,2,83.6,7,96,4.5
5,Josh Donaldson,TOR,3B,3,80.1,10,94.2,6.5
5,Anthony Rizzo,CHC,1B,10,65.9,3,96.9,6.5
7,Clayton Kershaw,LAD,SP,7,69,8,95.8,7.5
7,Mike Trout,LAA,CF,4,73.3,11,94,7.5
9,Joey Votto,CIN,1B,12,65,6,96.2,9
10,Dallas Keuchel,HOU,SP,10,65.9,13,92.8,11.5
11,Andrew McCutchen,PIT,CF,15,62.1,12,93.8,13.5
12,David Price,TOR,SP,17,60.3,16,91.9,16.5
13,Jose Bautista,TOR,RF,6,69.5,28,87.7,17
14,Kris Bryant,CHC,3B,26,54.5,9,95.6,17.5
15,Nelson Cruz,SEA,RF,13,63.1,23,89.1,18
15,Chris Davis,BAL,1B,14,62.6,22,89.4,18
17,Matt Carpenter,STL,3B,24,56.4,14,92.7,19
18,A.J. Pollock,ARI,CF,9,66.4,41,84.9,25
19,Buster Posey,SF,C,20,58.2,32,86.7,26
19,Eric Hosmer,KC,1B,23,56.7,29,87.6,26
21,Sonny Gray,OAK,SP,33,49.4,20,90.2,26.5
22,Max Scherzer,WSH,SP,28,53.7,31,86.9,29.5
23,Andrew Miller,NYY,RP,43,42,18,91.8,30.5
24,Mark Melancon,PIT,RP,59,36,5,96.5,32
24,Edwin Encarnacion,TOR,DH,16,61.7,48,83.6,32
26,Lorenzo Cain,KC,CF,29,53.2,36,85.7,32.5
27,Gerrit Cole,PIT,SP,27,54.4,39,85.3,33
28,Jacob deGrom,NYM,SP,30,52.8,38,85.4,34
29,Curtis Granderson,NYM,RF,39,45.4,30,87,34.5
30,Madison Bumgarner,SF,SP,24,56.4,47,83.8,35.5
31,John Lackey,STL,SP,53,37.7,27,87.8,40
32,Adrian Gonzalez,LAD,1B,57,36.9,24,88.7,40.5
33,Miguel Cabrera,DET,1B,56,36.9,26,88.3,41
,Carlos Gonzalez,COL,RF,47,39.8,35,86,41
35,Yoenis Cespedes,NYM,CF,22,57.7,61,80,41.5
36,Nolan Arenado,COL,3B,21,58.1,63,79.9,42
37,Jeurys Familia,NYM,RP,54,37.5,34,86.3,44
38,Seth Maness,STL,RP,--,--,45,84,45
39,Matt Harvey,NYM,SP,41,43.2,53,82.5,47
40,David Ortiz,BOS,DH,37,47,64,79.5,50.5
41,Kendrys Morales,KC,DH,36,47.1,66,79.1,51
42,Chris Sale,CHW,SP,64,33.5,40,85.1,52
43,Chris Archer,TB,SP,55,37.4,50,83.3,52.5
44,Wade Davis,KC,RP,92,26,15,92.6,53.5
45,Dee Gordon,MIA,2B,44,41.8,65,79.5,54.5
46,Marco Estrada,TOR,SP,61,34.4,51,83.3,56
46,Michael Brantley,CLE,LF,38,46.5,74,78,56
48,Trevor Rosenthal,STL,RP,71,30.6,43,84.5,57
49,Dellin Betances,NYY,RP,100,23.4,17,91.9,58.5
49,Zack Britton,BAL,RP,73,30.3,44,84.2,58.5
49,Shin-Soo Choo,TEX,RF,35,47.5,82,76.8,58.5
52,Alex Rodriguez,NYY,DH,51,37.9,69,78.5,60
53,Manny Machado,BAL,3B,18,59.8,103,74,60.5
53,Jose Altuve,HOU,2B,34,48.5,87,76.5,60.5
53,Jaime Garcia,STL,SP,65,33.3,56,80.8,60.5
56,Adam Eaton,CHW,CF,46,39.8,80,77,63
57,Jose Abreu,CHW,1B,31,51.6,96,75.5,63.5
58,Matt Kemp,SD,RF,75,29.7,54,82.1,64.5
59,Felix Hernandez,SEA,SP,88,27.4,42,84.5,65
60,Prince Fielder,TEX,DH,19,58.9,113,72.6,66
61,Aroldis Chapman,CIN,RP,74,29.7,59,80.4,66.5
61,Craig Kimbrel,SD,RP,87,27.6,46,84,66.5
63,Shawn Tolleson,TEX,RP,114,20.4,21,90,67.5
64,David Peralta,ARI,LF,84,28.6,52,83.2,68
65,Jason Kipnis,CLE,2B,42,42.6,95,75.6,68.5
65,Justin Upton,SD,LF,77,29.3,60,80.4,68.5
67,Jon Lester,CHC,SP,86,28.2,55,81,70.5
68,Carlos Martinez,STL,SP,67,32.9,75,77.6,71
69,Justin Wilson,NYY,RP,--,--,72,78.3,72
70,Francisco Rodriguez,MIL,RP,52,37.8,93,75.7,72.5
70,Jason Heyward,STL,RF,77,29.3,68,78.5,72.5
72,Mookie Betts,BOS,CF,50,38.1,98,75.2,74
73,Xander Bogaerts,BOS,SS,40,44.9,109,73.4,74.5
73,Kenley Jansen,LAD,RP,65,33.3,84,76.7,74.5
75,Hector Rondon,CHC,RP,127,18.6,25,88.3,76
75,Brad Ziegler,ARI,RP,116,20.1,36,85.7,76
77,J.D. Martinez,DET,RF,32,50.1,127,70.4,79.5
77,Jose Quintana,CHW,SP,81,28.8,78,77.4,79.5
79,Adam A Lind,MIL,1B,92,26,71,78.4,81.5
80,Corey Kluber,CLE,SP,79,29.3,94,75.7,86.5
81,Tony Watson,PIT,RP,159,13.8,19,91.3,89
82,Cole Hamels,TEX,SP,104,22.5,76,77.6,90
83,Mark Teixeira,NYY,1B,109,22,73,78.2,91
84,Miguel Sano,MIN,DH,--,--,92,75.7,92
85,Starling Marte,PIT,LF,70,30.7,115,72,92.5
85,Matt Duffy,SF,3B,96,25.7,89,76,92.5
87,Robinson Cano,SEA,2B,81,28.8,107,73.6,94
87,Yunel Escobar,WSH,3B,68,32.2,120,71.3,94
89,Johnny Cueto,KC,SP,125,19,67,78.9,96
