NO,PLAYER,TEAM,POS,ESPN_RK,ESPN_RAT,ELIAS_RK,ELIAS_RAT,AVG RK
89,Brian Dozier,MIN,2B,45,40.1,147,68.2,96
91,Yovani Gallardo,TEX,SP,135,17.6,62,79.9,98.5
92,Ryan Braun,MIL,RF,58,36.3,140,68.9,99
93,Huston Street,LAA,RP,152,14.4,49,83.4,100.5
94,Lucas Duda,NYM,1B,104,22.5,100,74.4,102
95,Darren O'Day,BAL,RP,104,22.5,102,74.2,103
95,A.J. Burnett,PIT,SP,127,18.6,79,77,103
97,Michael Wacha,STL,SP,100,23.4,110,73,105
98,Albert Pujols,LAA,1B,49,38.6,163,66.6,106
99,Dexter Fowler,CHC,CF,69,31.6,146,68.4,107.5
100,Kole Calhoun,LAA,RF,97,25.6,122,70.9,109.5
