¼øÀ§,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,·Ôµ¥,0.288,133,5261,4673,773,1345,220,16,185,2152,739,60,41,0.288,420,15,67,873,105,0.461,0.352,0.813,133,0.315,0.202
2,µÎ»ê,0.281,133,5252,4538,731,1276,224,25,149,1997,706,54,38,0.281,533,27,89,834,97,0.44,0.365,0.805,133,0.284,0.21
3,LG,0.276,133,5270,4604,688,1270,223,17,121,1890,652,82,44,0.276,486,25,54,907,97,0.411,0.349,0.76,133,0.287,0.192
4,SK,0.274,133,5213,4439,704,1217,222,16,120,1831,648,147,44,0.274,485,25,98,813,86,0.412,0.355,0.767,132,0.284,0.243
5,»ï¼º,0.272,133,5287,4436,681,1207,212,14,118,1801,630,111,44,0.272,621,29,75,916,111,0.406,0.368,0.774,133,0.265,0.247
6,³Ø¼¾,0.262,133,5139,4452,570,1165,199,20,87,1665,539,95,43,0.262,480,16,68,874,119,0.374,0.34,0.714,132,0.268,0.221
7,KIA,0.26,133,5166,4416,611,1148,190,17,106,1690,574,109,33,0.26,523,14,85,865,110,0.383,0.347,0.73,133,0.263,0.165
8,ÇÑÈ­,0.244,133,5009,4321,543,1053,160,13,104,1551,508,75,33,0.244,497,10,80,943,106,0.359,0.331,0.69,133,0.263,0.172
