Rank,Player,Team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,이대호,롯데,0.357,133,570,493,76,176,26,1,27,285,113,0,6,63,8,8,60,22,0.578,0.433,1.011,58,0.385,0
2,최형우,삼성,0.34,133,571,480,80,163,37,3,30,296,118,0,10,76,15,5,88,8,0.617,0.427,1.044,48,0.35,0
3,이병규,LG,0.338,127,519,485,64,164,24,0,16,236,75,2,2,28,1,2,47,10,0.487,0.375,0.862,50,0.341,0.375
4,이용규,KIA,0.333,111,503,421,84,140,16,2,3,169,33,7,3,63,2,9,33,5,0.401,0.427,0.828,39,0.247,0
5,손아섭,롯데,0.326,116,492,442,79,144,25,5,15,224,83,1,4,43,1,2,80,6,0.507,0.385,0.892,40,0.327,0
6,안치홍,KIA,0.315,115,433,378,54,119,21,4,5,163,46,17,2,33,1,3,55,13,0.431,0.373,0.804,32,0.348,0.5
7,최정,SK,0.31,113,488,403,64,125,25,1,20,212,75,13,6,46,1,20,72,8,0.526,0.402,0.928,39,0.372,0
8,홍성흔,롯데,0.306,132,535,474,70,145,24,2,6,191,67,0,5,53,0,3,80,22,0.403,0.376,0.779,34,0.303,0.167
9,이종욱,두산,0.303,121,499,436,64,132,11,5,5,168,44,5,4,49,0,5,51,6,0.385,0.377,0.762,39,0.26,0.5
10,박용택,LG,0.302,115,450,414,57,125,21,1,15,193,64,1,4,26,4,5,71,8,0.466,0.347,0.813,34,0.302,0.25
11,김현수,두산,0.301,130,561,475,71,143,25,2,13,211,91,0,9,71,9,6,63,15,0.444,0.392,0.836,35,0.333,1
12,전준우,롯데,0.301,133,601,539,97,162,38,5,11,243,64,2,3,50,4,7,101,14,0.451,0.366,0.817,47,0.27,0
13,이대수,한화,0.301,122,420,366,46,110,16,3,8,156,50,14,4,31,0,5,64,5,0.426,0.36,0.786,26,0.306,0.2
14,양의지,두산,0.301,119,438,376,43,113,14,3,4,145,46,11,4,44,2,3,58,12,0.386,0.375,0.761,30,0.315,0
15,정성훈,LG,0.291,127,494,422,61,123,18,1,10,173,57,11,7,49,1,5,69,16,0.41,0.366,0.776,33,0.271,0.333
16,김선빈,KIA,0.29,98,412,335,58,97,12,2,4,125,47,20,5,50,0,2,42,8,0.373,0.38,0.753,27,0.296,0
17,황재균,롯데,0.289,117,458,398,62,115,18,4,12,177,68,3,8,40,1,9,78,9,0.445,0.36,0.805,33,0.259,0
18,강민호,롯데,0.289,124,506,450,63,130,25,2,19,216,66,0,1,47,2,8,81,18,0.48,0.366,0.846,39,0.257,0
19,유한준,키움,0.289,121,511,447,64,129,23,2,3,165,54,4,4,52,3,4,63,11,0.369,0.365,0.734,31,0.31,0
20,강동우,한화,0.288,133,599,518,83,149,13,3,13,207,51,12,4,62,1,2,71,9,0.4,0.363,0.763,41,0.312,0
21,김동주,두산,0.286,120,483,406,57,116,24,1,17,193,75,0,3,66,5,8,54,18,0.475,0.393,0.868,32,0.344,0.4
22,정수빈,두산,0.285,128,476,414,66,118,17,8,1,154,38,8,3,40,0,11,77,5,0.372,0.361,0.733,31,0.303,0.2
23,강정호,키움,0.282,123,504,444,53,125,22,2,9,178,63,3,5,43,4,9,62,12,0.401,0.353,0.754,36,0.314,0
24,김상수,삼성,0.278,128,476,406,53,113,16,4,2,143,47,15,1,47,1,7,61,7,0.352,0.362,0.714,29,0.292,0
25,박석민,삼성,0.278,128,537,457,74,127,24,3,15,202,86,5,3,59,1,13,105,13,0.442,0.374,0.816,32,0.324,0
26,오재원,두산,0.277,129,529,466,73,129,18,4,6,173,46,12,3,39,0,9,62,6,0.371,0.342,0.713,32,0.264,0
27,최진행,한화,0.276,127,511,434,63,120,11,1,19,190,85,0,3,61,7,13,107,9,0.438,0.38,0.818,30,0.386,0.75
28,최준석,두산,0.271,124,485,421,49,114,26,0,15,185,75,2,5,56,1,1,104,11,0.439,0.354,0.793,25,0.263,0.286
29,한상훈,한화,0.269,131,485,398,49,107,12,3,3,134,39,33,2,46,1,6,66,6,0.337,0.352,0.689,26,0.29,0
30,조인성,LG,0.267,117,441,390,46,104,14,2,15,167,59,2,1,44,3,3,70,10,0.428,0.345,0.773,26,0.267,0.333
31,박한이,삼성,0.256,121,506,429,77,110,19,2,4,145,30,10,2,60,3,5,88,7,0.338,0.353,0.691,23,0.215,0.667
32,이호준,SK,0.253,114,417,368,41,93,12,0,14,147,62,3,1,44,2,1,78,10,0.399,0.333,0.732,24,0.288,0.333
33,박정권,SK,0.252,122,507,453,54,114,21,2,13,178,53,6,3,42,5,3,103,9,0.393,0.317,0.71,27,0.225,1
34,김민우,키움,0.247,126,535,466,66,115,22,0,6,155,31,17,2,48,1,2,100,7,0.333,0.319,0.652,27,0.227,0.25
35,장성호,한화,0.244,116,478,390,53,95,13,0,8,132,37,3,0,81,2,4,66,9,0.338,0.379,0.717,20,0.232,0
36,조성환,롯데,0.243,117,459,407,45,99,19,0,6,136,36,10,2,37,1,3,87,11,0.334,0.31,0.644,26,0.238,1
37,알드리지,키움,0.237,117,480,414,55,98,20,1,20,180,73,0,5,59,2,2,139,5,0.435,0.331,0.766,23,0.301,0
