,Rank,Player,Team,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ERA.1,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,Year
93,15.0,장원준,롯데,4.59,27.0,10.0,9.0,0.0,0.0,0.526,155,160.0,15.0,67.0,3.0,107.0,87.0,79.0,1.46,4.59,0.0,0.0,13.0,0.0,674.0,2622.0,0.273,27.0,6.0,13.0,4.0,1.0,9.0,0.0,2014
94,16.0,마틴,삼성,4.78,23.0,9.0,6.0,0.0,0.0,0.6,128,148.0,10.0,31.0,7.0,84.0,69.0,68.0,1.4,4.78,0.0,0.0,13.0,0.0,562.0,2118.0,0.28800000000000003,36.0,0.0,10.0,1.0,1.0,2.0,2.0,2014
95,17.0,류제국,LG,5.12,27.0,9.0,7.0,0.0,0.0,0.563,147 2/3,146.0,13.0,58.0,13.0,128.0,100.0,84.0,1.38,5.12,0.0,0.0,10.0,0.0,661.0,2641.0,0.251,30.0,6.0,6.0,3.0,3.0,9.0,0.0,2014
96,18.0,이태양,한화,5.29,30.0,7.0,10.0,0.0,0.0,0.41200000000000003,153,183.0,27.0,41.0,7.0,96.0,100.0,90.0,1.46,5.29,0.0,0.0,14.0,0.0,677.0,2646.0,0.298,31.0,6.0,7.0,7.0,2.0,10.0,1.0,2014
97,19.0,배영수,삼성,5.45,25.0,8.0,6.0,0.0,0.0,0.5710000000000001,133 2/3,171.0,14.0,39.0,5.0,111.0,87.0,81.0,1.57,5.45,1.0,0.0,10.0,0.0,597.0,2319.0,0.314,39.0,7.0,4.0,4.0,1.0,4.0,1.0,2014
98,20.0,앨버스,한화,5.89,28.0,6.0,13.0,0.0,0.0,0.316,151 1/3,200.0,18.0,40.0,4.0,107.0,108.0,99.0,1.59,5.89,1.0,1.0,10.0,0.0,673.0,2579.0,0.326,35.0,7.0,7.0,8.0,0.0,9.0,0.0,2014
99,21.0,유먼,롯데,5.93,28.0,12.0,10.0,0.0,0.0,0.545,151 2/3,196.0,20.0,63.0,3.0,84.0,109.0,100.0,1.71,5.93,0.0,0.0,10.0,0.0,701.0,2599.0,0.322,22.0,6.0,20.0,6.0,0.0,3.0,0.0,2014
100,22.0,임준섭,KIA,6.06,29.0,5.0,11.0,0.0,0.0,0.313,130 2/3,157.0,15.0,67.0,6.0,54.0,95.0,88.0,1.71,6.06,1.0,1.0,3.0,0.0,588.0,2289.0,0.311,25.0,4.0,5.0,5.0,1.0,8.0,0.0,2014
101,23.0,채병용,SK,6.37,27.0,8.0,12.0,0.0,0.0,0.4,130,151.0,27.0,49.0,8.0,87.0,94.0,92.0,1.54,6.37,1.0,0.0,7.0,1.0,585.0,2376.0,0.29100000000000004,32.0,2.0,4.0,5.0,0.0,2.0,0.0,2014
102,1.0,양현종,KIA,2.44,32.0,15.0,6.0,0.0,1.0,0.7140000000000001,184 1/3,150.0,18.0,78.0,7.0,157.0,52.0,50.0,1.24,2.44,1.0,1.0,19.0,0.0,756.0,3041.0,0.23199999999999998,27.0,2.0,19.0,6.0,0.0,6.0,0.0,2015
103,2.0,해커,NC,3.13,31.0,19.0,5.0,0.0,0.0,0.792,204,174.0,14.0,36.0,25.0,164.0,81.0,71.0,1.03,3.13,1.0,0.0,25.0,0.0,833.0,3075.0,0.23199999999999998,34.0,0.0,14.0,7.0,1.0,6.0,0.0,2015
104,3.0,피가로,삼성,3.38,25.0,13.0,7.0,0.0,0.0,0.65,165,154.0,16.0,51.0,7.0,117.0,66.0,62.0,1.24,3.38,1.0,0.0,18.0,0.0,688.0,2617.0,0.251,26.0,3.0,10.0,7.0,0.0,6.0,0.0,2015
105,4.0,우규민,LG,3.42,25.0,11.0,9.0,0.0,0.0,0.55,152 2/3,163.0,13.0,17.0,12.0,119.0,64.0,58.0,1.18,3.42,1.0,0.0,13.0,0.0,621.0,2256.0,0.282,26.0,5.0,10.0,4.0,0.0,2.0,0.0,2015
106,5.0,린드블럼,롯데,3.56,32.0,13.0,11.0,0.0,0.0,0.542,210,196.0,28.0,52.0,12.0,180.0,86.0,83.0,1.18,3.56,2.0,1.0,23.0,0.0,861.0,3329.0,0.25,32.0,3.0,10.0,3.0,0.0,12.0,0.0,2015
107,6.0,밴헤켄,키움,3.62,32.0,15.0,8.0,0.0,0.0,0.652,196 2/3,190.0,14.0,67.0,1.0,193.0,92.0,79.0,1.31,3.62,0.0,0.0,16.0,0.0,825.0,3278.0,0.257,36.0,3.0,13.0,5.0,1.0,16.0,0.0,2015
108,7.0,김광현,SK,3.72,30.0,14.0,6.0,0.0,1.0,0.7,176 2/3,173.0,19.0,66.0,3.0,160.0,86.0,73.0,1.35,3.72,1.0,1.0,16.0,0.0,754.0,2896.0,0.257,33.0,0.0,11.0,2.0,2.0,10.0,0.0,2015
109,8.0,윤성환,삼성,3.76,30.0,17.0,8.0,0.0,0.0,0.68,194,199.0,27.0,30.0,10.0,164.0,86.0,81.0,1.18,3.76,3.0,1.0,17.0,0.0,809.0,3042.0,0.264,34.0,4.0,8.0,6.0,0.0,1.0,0.0,2015
110,9.0,레일리,롯데,3.91,31.0,11.0,9.0,0.0,0.0,0.55,179 1/3,182.0,20.0,57.0,15.0,134.0,93.0,78.0,1.33,3.91,1.0,0.0,19.0,0.0,768.0,2909.0,0.267,27.0,2.0,9.0,6.0,2.0,13.0,2.0,2015
111,10.0,유희관,두산,3.94,30.0,18.0,5.0,0.0,0.0,0.7829999999999999,189 2/3,193.0,23.0,44.0,4.0,126.0,84.0,83.0,1.25,3.94,1.0,1.0,17.0,0.0,786.0,2965.0,0.26899999999999996,33.0,5.0,14.0,6.0,0.0,4.0,1.0,2015
112,11.0,소사,LG,4.03,32.0,10.0,12.0,0.0,1.0,0.455,194 1/3,199.0,16.0,36.0,5.0,177.0,102.0,87.0,1.21,4.03,2.0,1.0,19.0,0.0,809.0,3138.0,0.266,39.0,7.0,15.0,6.0,0.0,6.0,1.0,2015
113,12.0,장원준,두산,4.08,30.0,12.0,12.0,0.0,0.0,0.5,169 2/3,182.0,13.0,68.0,14.0,128.0,86.0,77.0,1.47,4.08,1.0,0.0,17.0,0.0,748.0,2942.0,0.281,35.0,2.0,13.0,5.0,1.0,2.0,0.0,2015
114,13.0,켈리,SK,4.13,30.0,11.0,10.0,0.0,0.0,0.524,181,188.0,16.0,54.0,5.0,139.0,87.0,83.0,1.34,4.13,1.0,0.0,17.0,0.0,775.0,2878.0,0.27,28.0,1.0,15.0,4.0,1.0,9.0,2.0,2015
115,14.0,옥스프링,KT,4.48,31.0,12.0,10.0,0.0,0.0,0.545,185,200.0,23.0,66.0,10.0,142.0,104.0,92.0,1.44,4.48,3.0,0.0,15.0,0.0,806.0,3142.0,0.282,33.0,0.0,14.0,6.0,0.0,5.0,0.0,2015
116,15.0,피어밴드,키움,4.67,30.0,13.0,11.0,0.0,0.0,0.542,177 1/3,202.0,23.0,61.0,12.0,137.0,101.0,92.0,1.48,4.67,0.0,0.0,18.0,0.0,774.0,2900.0,0.294,34.0,7.0,11.0,3.0,1.0,7.0,3.0,2015
117,16.0,탈보트,한화,4.72,30.0,10.0,11.0,0.0,0.0,0.47600000000000003,156 1/3,153.0,11.0,85.0,13.0,120.0,93.0,82.0,1.52,4.72,1.0,0.0,15.0,0.0,695.0,2807.0,0.262,26.0,1.0,11.0,3.0,4.0,11.0,4.0,2015
118,17.0,차우찬,삼성,4.79,31.0,13.0,7.0,0.0,1.0,0.65,173,160.0,28.0,74.0,5.0,194.0,98.0,92.0,1.35,4.79,0.0,0.0,17.0,0.0,743.0,3069.0,0.245,36.0,1.0,7.0,4.0,1.0,9.0,1.0,2015
119,18.0,루카스,LG,4.93,33.0,10.0,11.0,0.0,1.0,0.47600000000000003,171 2/3,175.0,11.0,108.0,14.0,151.0,103.0,94.0,1.65,4.93,0.0,0.0,12.0,1.0,785.0,3261.0,0.27,21.0,1.0,8.0,6.0,4.0,11.0,1.0,2015
120,19.0,스틴슨,KIA,4.96,32.0,11.0,10.0,0.0,0.0,0.524,167,190.0,15.0,64.0,14.0,93.0,100.0,92.0,1.52,4.96,0.0,0.0,12.0,0.0,756.0,2842.0,0.28800000000000003,30.0,6.0,13.0,5.0,0.0,4.0,0.0,2015
121,20.0,클로이드,삼성,5.19,28.0,11.0,11.0,0.0,0.0,0.5,159 2/3,190.0,24.0,38.0,12.0,123.0,103.0,92.0,1.43,5.19,0.0,0.0,14.0,0.0,705.0,2705.0,0.297,36.0,0.0,11.0,4.0,0.0,3.0,1.0,2015
122,1.0,니퍼트,두산,2.95,28.0,22.0,3.0,0.0,0.0,0.88,167 2/3,151.0,15.0,57.0,9.0,142.0,61.0,55.0,1.24,2.95,1.0,1.0,19.0,0.0,701.0,2737.0,0.243,19.0,3.0,7.0,6.0,0.0,8.0,0.0,2016
123,2.0,장원준,두산,3.32,27.0,15.0,6.0,0.0,0.0,0.7140000000000001,168,161.0,14.0,76.0,9.0,137.0,66.0,62.0,1.41,3.32,0.0,0.0,19.0,0.0,727.0,2914.0,0.255,23.0,6.0,7.0,4.0,0.0,8.0,0.0,2016
124,3.0,헥터,KIA,3.4,31.0,15.0,5.0,0.0,0.0,0.75,206 2/3,211.0,7.0,51.0,6.0,139.0,88.0,78.0,1.27,3.4,3.0,1.0,21.0,0.0,868.0,3334.0,0.268,34.0,3.0,13.0,12.0,0.0,7.0,0.0,2016
125,4.0,켈리,SK,3.68,31.0,9.0,8.0,0.0,0.0,0.529,200 1/3,205.0,15.0,60.0,7.0,152.0,91.0,82.0,1.32,3.68,0.0,0.0,20.0,0.0,846.0,3090.0,0.268,35.0,3.0,11.0,3.0,0.0,8.0,2.0,2016
126,4.0,양현종,KIA,3.68,31.0,10.0,12.0,0.0,0.0,0.455,200 1/3,191.0,19.0,77.0,2.0,146.0,96.0,82.0,1.34,3.68,3.0,0.0,22.0,0.0,850.0,3207.0,0.255,31.0,2.0,16.0,5.0,0.0,6.0,2.0,2016
127,6.0,보우덴,두산,3.8,30.0,18.0,7.0,0.0,0.0,0.72,180,159.0,17.0,54.0,6.0,160.0,83.0,76.0,1.18,3.8,1.0,1.0,17.0,0.0,742.0,3068.0,0.239,24.0,2.0,12.0,4.0,0.0,8.0,2.0,2016
128,7.0,신재영,키움,3.9,30.0,15.0,7.0,0.0,0.0,0.682,168 2/3,192.0,19.0,21.0,11.0,99.0,76.0,73.0,1.26,3.9,0.0,0.0,11.0,0.0,718.0,2655.0,0.28600000000000003,35.0,6.0,7.0,8.0,0.0,2.0,1.0,2016
129,8.0,류제국,LG,4.3,29.0,13.0,11.0,0.0,0.0,0.542,161 1/3,152.0,14.0,70.0,21.0,138.0,83.0,77.0,1.38,4.3,1.0,1.0,14.0,0.0,701.0,2743.0,0.255,25.0,0.0,5.0,8.0,0.0,13.0,0.0,2016
130,9.0,레일리,롯데,4.34,31.0,8.0,10.0,0.0,0.0,0.444,184 2/3,207.0,21.0,51.0,17.0,147.0,105.0,89.0,1.4,4.34,1.0,1.0,16.0,0.0,808.0,3052.0,0.28600000000000003,36.0,4.0,8.0,7.0,1.0,5.0,2.0,2016
131,10.0,윤성환,삼성,4.35,28.0,11.0,10.0,0.0,0.0,0.524,180,202.0,25.0,41.0,13.0,85.0,95.0,87.0,1.35,4.35,1.0,0.0,16.0,0.0,767.0,2786.0,0.29,35.0,3.0,11.0,6.0,0.0,6.0,1.0,2016
132,11.0,유희관,두산,4.41,30.0,15.0,6.0,0.0,0.0,0.7140000000000001,185 2/3,212.0,22.0,58.0,6.0,102.0,95.0,91.0,1.45,4.41,0.0,0.0,15.0,0.0,809.0,3052.0,0.294,39.0,3.0,12.0,11.0,0.0,5.0,0.0,2016
133,12.0,피어밴드,KT,4.45,31.0,7.0,13.0,0.0,0.0,0.35,182,231.0,23.0,48.0,10.0,144.0,97.0,90.0,1.53,4.45,0.0,0.0,16.0,0.0,803.0,3109.0,0.319,39.0,1.0,13.0,8.0,0.0,6.0,3.0,2016
134,13.0,스튜어트,NC,4.56,27.0,12.0,8.0,0.0,0.0,0.6,150,160.0,11.0,55.0,8.0,118.0,79.0,76.0,1.43,4.56,0.0,0.0,12.0,0.0,653.0,2489.0,0.27699999999999997,20.0,0.0,7.0,5.0,1.0,4.0,0.0,2016
135,14.0,차우찬,삼성,4.73,24.0,12.0,6.0,0.0,0.0,0.667,152 1/3,168.0,16.0,65.0,8.0,120.0,87.0,80.0,1.53,4.73,1.0,0.0,16.0,0.0,671.0,2681.0,0.29,30.0,2.0,10.0,9.0,0.0,5.0,0.0,2016
136,15.0,소사,LG,5.16,33.0,10.0,9.0,0.0,0.0,0.526,199,258.0,12.0,38.0,9.0,107.0,121.0,114.0,1.49,5.16,0.0,0.0,17.0,0.0,870.0,3166.0,0.319,47.0,8.0,11.0,4.0,2.0,6.0,0.0,2016
137,16.0,지크,KIA,5.27,30.0,10.0,13.0,0.0,0.0,0.435,152,188.0,16.0,68.0,5.0,125.0,104.0,89.0,1.68,5.27,0.0,0.0,11.0,0.0,705.0,2819.0,0.306,30.0,1.0,9.0,9.0,0.0,5.0,1.0,2016
138,17.0,린드블럼,롯데,5.28,30.0,10.0,13.0,0.0,0.0,0.435,177 1/3,197.0,28.0,77.0,9.0,148.0,109.0,104.0,1.55,5.28,1.0,0.0,13.0,0.0,791.0,3106.0,0.28300000000000003,36.0,6.0,6.0,4.0,0.0,7.0,0.0,2016
139,,,한화,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
140,1.0,피어밴드,KT,3.04,26.0,8.0,10.0,0.0,0.0,0.444,160,153.0,20.0,31.0,7.0,132.0,67.0,54.0,1.15,3.04,1.0,1.0,20.0,0.0,657.0,2469.0,0.251,19.0,4.0,7.0,2.0,0.0,4.0,0.0,2017
141,2.0,장원준,두산,3.14,29.0,14.0,9.0,0.0,0.0,0.609,180 1/3,172.0,12.0,51.0,14.0,125.0,70.0,63.0,1.24,3.14,1.0,1.0,18.0,0.0,760.0,3006.0,0.253,26.0,2.0,11.0,5.0,2.0,3.0,0.0,2017
142,3.0,해커,NC,3.42,26.0,12.0,7.0,0.0,0.0,0.632,160 1/3,159.0,14.0,29.0,14.0,97.0,64.0,61.0,1.17,3.42,1.0,0.0,15.0,0.0,672.0,2424.0,0.259,19.0,2.0,14.0,2.0,1.0,6.0,2.0,2017
143,4.0,차우찬,LG,3.43,28.0,10.0,7.0,0.0,0.0,0.588,175 2/3,171.0,20.0,38.0,7.0,157.0,75.0,67.0,1.19,3.43,0.0,0.0,16.0,0.0,732.0,2879.0,0.252,33.0,4.0,4.0,5.0,0.0,10.0,0.0,2017
144,5.0,양현종,KIA,3.44,31.0,20.0,6.0,0.0,0.0,0.769,193 1/3,209.0,17.0,45.0,0.0,158.0,88.0,74.0,1.31,3.44,1.0,0.0,20.0,0.0,808.0,3085.0,0.278,32.0,2.0,7.0,3.0,0.0,14.0,0.0,2017
145,6.0,헥터,KIA,3.48,30.0,20.0,5.0,0.0,0.0,0.8,201 2/3,221.0,21.0,45.0,5.0,149.0,83.0,78.0,1.32,3.48,1.0,0.0,23.0,0.0,854.0,3161.0,0.27899999999999997,36.0,4.0,4.0,6.0,1.0,7.0,0.0,2017
146,7.0,켈리,SK,3.6,30.0,16.0,7.0,0.0,0.0,0.696,190,204.0,16.0,45.0,11.0,189.0,85.0,76.0,1.31,3.6,0.0,0.0,20.0,0.0,815.0,3024.0,0.272,38.0,3.0,5.0,4.0,2.0,9.0,1.0,2017
147,8.0,박세웅,롯데,3.68,28.0,12.0,6.0,0.0,0.0,0.667,171 1/3,170.0,21.0,56.0,9.0,117.0,74.0,70.0,1.32,3.68,0.0,0.0,17.0,0.0,725.0,2812.0,0.263,25.0,1.0,8.0,5.0,2.0,7.0,0.0,2017
148,9.0,레일리,롯데,3.8,30.0,13.0,7.0,0.0,0.0,0.65,187 1/3,199.0,19.0,44.0,17.0,156.0,87.0,79.0,1.3,3.8,1.0,0.0,18.0,0.0,798.0,2951.0,0.27399999999999997,39.0,2.0,5.0,5.0,0.0,3.0,1.0,2017
149,10.0,소사,LG,3.88,30.0,11.0,11.0,1.0,0.0,0.5,185 1/3,189.0,11.0,38.0,3.0,153.0,86.0,80.0,1.22,3.88,2.0,1.0,16.0,0.0,769.0,2863.0,0.264,36.0,9.0,6.0,6.0,0.0,3.0,0.0,2017
150,11.0,니퍼트,두산,4.06,30.0,14.0,8.0,0.0,0.0,0.636,179 2/3,175.0,20.0,77.0,10.0,161.0,88.0,81.0,1.4,4.06,0.0,0.0,20.0,0.0,782.0,3161.0,0.257,35.0,5.0,11.0,2.0,0.0,13.0,0.0,2017
151,12.0,박종훈,SK,4.1,29.0,12.0,7.0,0.0,1.0,0.632,151 1/3,145.0,16.0,61.0,25.0,107.0,74.0,69.0,1.36,4.1,0.0,0.0,7.0,0.0,664.0,2574.0,0.254,26.0,0.0,5.0,3.0,1.0,4.0,0.0,2017
152,13.0,팻딘,KIA,4.14,30.0,9.0,7.0,0.0,0.0,0.563,176,211.0,22.0,39.0,16.0,143.0,86.0,81.0,1.42,4.14,1.0,0.0,17.0,0.0,770.0,2929.0,0.304,39.0,3.0,15.0,5.0,1.0,3.0,0.0,2017
153,14.0,윤성환,삼성,4.28,28.0,12.0,9.0,0.0,0.0,0.5710000000000001,174 1/3,181.0,22.0,37.0,15.0,130.0,86.0,83.0,1.25,4.28,1.0,0.0,15.0,0.0,731.0,2810.0,0.271,39.0,4.0,5.0,6.0,0.0,3.0,0.0,2017
154,15.0,브리검,키움,4.38,24.0,10.0,6.0,0.0,0.0,0.625,144,166.0,17.0,26.0,13.0,98.0,77.0,70.0,1.33,4.38,0.0,0.0,14.0,0.0,619.0,2249.0,0.289,21.0,4.0,4.0,1.0,0.0,8.0,0.0,2017
155,16.0,최원태,키움,4.46,25.0,11.0,7.0,0.0,0.0,0.611,149 1/3,161.0,19.0,34.0,12.0,126.0,76.0,74.0,1.31,4.46,0.0,0.0,12.0,0.0,637.0,2350.0,0.276,24.0,3.0,6.0,2.0,0.0,5.0,1.0,2017
156,17.0,유희관,두산,4.53,30.0,11.0,6.0,0.0,1.0,0.647,188 2/3,228.0,20.0,41.0,10.0,106.0,104.0,95.0,1.43,4.53,2.0,1.0,15.0,0.0,822.0,3010.0,0.304,37.0,3.0,13.0,7.0,1.0,5.0,1.0,2017
157,18.0,로치,KT,4.69,28.0,4.0,15.0,0.0,0.0,0.21100000000000002,165,200.0,18.0,60.0,13.0,99.0,106.0,86.0,1.58,4.69,1.0,0.0,12.0,0.0,743.0,2693.0,0.304,33.0,3.0,7.0,5.0,0.0,10.0,1.0,2017
158,19.0,문승원,SK,5.33,29.0,6.0,12.0,0.0,0.0,0.33299999999999996,155 1/3,181.0,25.0,54.0,11.0,86.0,98.0,92.0,1.51,5.33,1.0,0.0,12.0,0.0,695.0,2701.0,0.294,32.0,2.0,9.0,5.0,1.0,5.0,1.0,2017
159,,,한화,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
160,1.0,린드블럼,두산,2.88,26.0,15.0,4.0,0.0,0.0,0.789,168 2/3,142.0,16.0,38.0,8.0,157.0,56.0,54.0,1.07,2.88,0.0,0.0,21.0,0.0,681.0,2605.0,0.226,33.0,2.0,5.0,2.0,0.0,10.0,0.0,2018
161,2.0,윌슨,LG,3.07,26.0,9.0,4.0,0.0,0.0,0.6920000000000001,170,158.0,11.0,35.0,6.0,149.0,63.0,58.0,1.14,3.07,1.0,1.0,20.0,0.0,689.0,2632.0,0.247,23.0,3.0,6.0,3.0,1.0,10.0,1.0,2018
162,3.0,소사,LG,3.52,27.0,9.0,9.0,0.0,0.0,0.5,181 1/3,192.0,16.0,28.0,4.0,181.0,83.0,71.0,1.21,3.52,1.0,1.0,18.0,0.0,760.0,2751.0,0.267,44.0,1.0,2.0,6.0,1.0,6.0,0.0,2018
163,4.0,이용찬,두산,3.63,25.0,15.0,3.0,0.0,0.0,0.833,144,151.0,14.0,36.0,8.0,102.0,62.0,58.0,1.3,3.63,1.0,0.0,16.0,0.0,608.0,2237.0,0.27399999999999997,24.0,1.0,5.0,7.0,2.0,6.0,0.0,2018
164,5.0,후랭코프,두산,3.74,28.0,18.0,3.0,0.0,0.0,0.857,149 1/3,118.0,12.0,55.0,22.0,134.0,64.0,62.0,1.16,3.74,0.0,0.0,17.0,0.0,621.0,2624.0,0.22,17.0,1.0,5.0,3.0,1.0,15.0,0.0,2018
165,6.0,브리검,키움,3.84,31.0,11.0,7.0,0.0,1.0,0.611,199,188.0,19.0,50.0,19.0,175.0,89.0,85.0,1.2,3.84,2.0,1.0,19.0,0.0,829.0,3089.0,0.249,28.0,3.0,5.0,1.0,0.0,4.0,0.0,2018
166,7.0,켈리,SK,4.09,28.0,12.0,7.0,0.0,0.0,0.632,158 1/3,152.0,18.0,47.0,13.0,161.0,78.0,72.0,1.26,4.09,0.0,0.0,13.0,0.0,674.0,2497.0,0.25,28.0,3.0,2.0,4.0,1.0,5.0,2.0,2018
167,8.0,양현종,KIA,4.15,29.0,13.0,11.0,0.0,0.0,0.542,184 1/3,199.0,21.0,43.0,2.0,152.0,88.0,85.0,1.31,4.15,3.0,0.0,17.0,0.0,772.0,2883.0,0.278,33.0,0.0,9.0,3.0,1.0,5.0,0.0,2018
168,9.0,박종훈,SK,4.18,30.0,14.0,8.0,0.0,0.0,0.636,159 1/3,158.0,16.0,54.0,20.0,133.0,81.0,74.0,1.33,4.18,0.0,0.0,10.0,0.0,702.0,2701.0,0.254,31.0,3.0,3.0,4.0,0.0,3.0,0.0,2018
169,10.0,니퍼트,KT,4.25,29.0,8.0,8.0,0.0,0.0,0.5,175 2/3,209.0,26.0,39.0,9.0,165.0,88.0,83.0,1.41,4.25,0.0,0.0,20.0,0.0,765.0,2965.0,0.29600000000000004,33.0,4.0,6.0,5.0,2.0,9.0,0.0,2018
170,11.0,피어밴드,KT,4.3,27.0,8.0,8.0,0.0,0.0,0.5,163 1/3,186.0,24.0,38.0,6.0,141.0,90.0,78.0,1.37,4.3,1.0,0.0,16.0,0.0,707.0,2723.0,0.28600000000000003,27.0,1.0,10.0,3.0,0.0,5.0,0.0,2018
171,12.0,문승원,SK,4.6,31.0,8.0,9.0,1.0,1.0,0.47100000000000003,150 2/3,180.0,24.0,37.0,4.0,122.0,86.0,77.0,1.44,4.6,0.0,0.0,9.0,0.0,656.0,2509.0,0.29600000000000004,33.0,2.0,5.0,2.0,0.0,4.0,0.0,2018
172,13.0,헥터,KIA,4.6,29.0,11.0,10.0,0.0,0.0,0.524,174,209.0,25.0,36.0,4.0,137.0,102.0,89.0,1.41,4.6,1.0,0.0,18.0,0.0,753.0,2871.0,0.298,31.0,0.0,7.0,5.0,2.0,4.0,1.0,2018
173,14.0,샘슨,한화,4.68,30.0,13.0,8.0,0.0,0.0,0.619,161 2/3,144.0,17.0,79.0,5.0,195.0,91.0,84.0,1.38,4.68,0.0,0.0,15.0,0.0,703.0,3047.0,0.23399999999999999,26.0,1.0,1.0,3.0,0.0,18.0,2.0,2018
174,15.0,레일리,롯데,4.74,30.0,11.0,13.0,0.0,0.0,0.45799999999999996,178 1/3,180.0,24.0,54.0,18.0,178.0,106.0,94.0,1.31,4.74,0.0,0.0,15.0,0.0,775.0,3048.0,0.263,34.0,4.0,7.0,11.0,1.0,4.0,2.0,2018
175,16.0,이재학,NC,4.79,29.0,5.0,13.0,0.0,0.0,0.278,152 1/3,157.0,13.0,49.0,10.0,116.0,87.0,81.0,1.35,4.79,1.0,0.0,10.0,0.0,658.0,2740.0,0.266,27.0,2.0,4.0,4.0,2.0,6.0,0.0,2018
176,17.0,한현희,키움,4.79,30.0,11.0,7.0,0.0,0.0,0.611,169,208.0,22.0,49.0,20.0,105.0,98.0,90.0,1.52,4.79,0.0,0.0,12.0,0.0,756.0,2790.0,0.307,42.0,3.0,5.0,5.0,0.0,6.0,0.0,2018
177,18.0,산체스,SK,4.89,29.0,8.0,8.0,0.0,1.0,0.5,145 1/3,161.0,26.0,39.0,7.0,124.0,90.0,79.0,1.38,4.89,0.0,0.0,14.0,1.0,632.0,2467.0,0.27699999999999997,21.0,3.0,4.0,0.0,1.0,12.0,0.0,2018
178,19.0,아델만,삼성,5.05,31.0,8.0,12.0,0.0,0.0,0.4,171,202.0,20.0,54.0,11.0,137.0,101.0,96.0,1.5,5.05,0.0,0.0,15.0,0.0,758.0,3070.0,0.29600000000000004,39.0,1.0,5.0,6.0,0.0,7.0,1.0,2018
179,20.0,베렛,NC,5.28,29.0,6.0,10.0,0.0,0.0,0.375,155,178.0,24.0,59.0,9.0,144.0,94.0,91.0,1.53,5.28,0.0,0.0,11.0,0.0,698.0,2682.0,0.289,31.0,2.0,5.0,9.0,0.0,10.0,1.0,2018
180,21.0,보니야,삼성,5.3,29.0,7.0,10.0,0.0,0.0,0.41200000000000003,168,193.0,23.0,63.0,12.0,151.0,111.0,99.0,1.52,5.3,0.0,0.0,15.0,0.0,752.0,2931.0,0.29,40.0,2.0,8.0,3.0,1.0,9.0,1.0,2018
181,22.0,금민철,KT,5.41,29.0,8.0,12.0,0.0,0.0,0.4,156 1/3,212.0,19.0,68.0,7.0,79.0,104.0,94.0,1.79,5.41,0.0,0.0,11.0,0.0,720.0,2695.0,0.335,30.0,1.0,9.0,4.0,1.0,10.0,0.0,2018
182,23.0,임찬규,LG,5.77,29.0,11.0,11.0,1.0,0.0,0.5,146 2/3,195.0,23.0,47.0,13.0,125.0,104.0,94.0,1.65,5.77,0.0,0.0,9.0,0.0,680.0,2640.0,0.321,32.0,1.0,7.0,6.0,1.0,6.0,0.0,2018
183,24.0,차우찬,LG,6.09,29.0,12.0,10.0,0.0,0.0,0.545,170,177.0,27.0,79.0,10.0,136.0,119.0,115.0,1.51,6.09,1.0,0.0,13.0,0.0,762.0,2956.0,0.26899999999999996,36.0,4.0,4.0,10.0,2.0,10.0,0.0,2018
184,25.0,김원중,롯데,6.94,30.0,8.0,7.0,0.0,0.0,0.5329999999999999,145 1/3,173.0,28.0,77.0,11.0,137.0,115.0,112.0,1.72,6.94,0.0,0.0,5.0,0.0,681.0,2717.0,0.295,37.0,2.0,4.0,3.0,1.0,7.0,0.0,2018
185,1.0,양현종,KIA,2.29,29.0,16.0,8.0,0.0,0.0,0.667,184 2/3,165.0,6.0,33.0,2.0,163.0,56.0,47.0,1.07,2.29,2.0,2.0,22.0,0.0,731.0,2699.0,0.24100000000000002,32.0,1.0,3.0,9.0,0.0,1.0,0.0,2019
186,2.0,린드블럼,두산,2.5,30.0,20.0,3.0,0.0,0.0,0.87,194 2/3,165.0,13.0,29.0,6.0,189.0,57.0,54.0,1.0,2.5,0.0,0.0,22.0,0.0,773.0,2982.0,0.226,22.0,3.0,1.0,7.0,0.0,7.0,0.0,2019
187,3.0,김광현,SK,2.51,31.0,17.0,6.0,0.0,0.0,0.7390000000000001,190 1/3,198.0,13.0,38.0,2.0,180.0,64.0,53.0,1.24,2.51,0.0,0.0,24.0,0.0,786.0,2908.0,0.27,17.0,0.0,6.0,6.0,1.0,8.0,0.0,2019
188,4.0,켈리,LG,2.55,29.0,14.0,12.0,0.0,0.0,0.5379999999999999,180 1/3,164.0,7.0,41.0,16.0,126.0,70.0,51.0,1.14,2.55,0.0,0.0,24.0,0.0,747.0,2758.0,0.243,33.0,3.0,5.0,11.0,0.0,12.0,0.0,2019
189,5.0,산체스,SK,2.62,28.0,17.0,5.0,0.0,0.0,0.773,165,151.0,2.0,42.0,2.0,148.0,51.0,48.0,1.17,2.62,0.0,0.0,17.0,0.0,671.0,2538.0,0.244,18.0,2.0,2.0,7.0,0.0,11.0,2.0,2019
