,Rank,Player,Team,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ERA.1,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,Year
18,4.0,장원준,롯데,3.14,29.0,15.0,6.0,0.0,0.0,0.7140000000000001,180 2/3,195.0,7.0,62.0,9.0,129.0,72.0,63.0,1.42,3.14,0.0,0.0,17.0,0.0,774.0,2999.0,0.28300000000000003,33.0,1.0,13.0,0.0,2.0,3.0,0.0,2011
19,5.0,윤성환,삼성,3.54,24.0,14.0,5.0,0.0,0.0,0.737,137 1/3,151.0,8.0,30.0,3.0,83.0,62.0,54.0,1.32,3.54,0.0,0.0,11.0,0.0,584.0,2196.0,0.282,24.0,3.0,12.0,3.0,0.0,4.0,0.0,2011
20,6.0,주키치,LG,3.6,32.0,10.0,8.0,1.0,0.0,0.556,187 2/3,174.0,9.0,53.0,1.0,150.0,86.0,75.0,1.21,3.6,1.0,1.0,14.0,0.0,773.0,2897.0,0.25,37.0,2.0,19.0,5.0,2.0,7.0,3.0,2011
21,7.0,차우찬,삼성,3.69,24.0,10.0,6.0,0.0,0.0,0.625,148 2/3,156.0,22.0,62.0,3.0,114.0,75.0,61.0,1.47,3.69,0.0,0.0,12.0,0.0,650.0,2481.0,0.273,21.0,1.0,11.0,2.0,0.0,2.0,2.0,2011
22,8.0,리즈,LG,3.88,30.0,11.0,13.0,0.0,0.0,0.45799999999999996,164 2/3,149.0,11.0,84.0,15.0,122.0,79.0,71.0,1.41,3.88,1.0,0.0,16.0,0.0,719.0,2806.0,0.248,32.0,5.0,16.0,4.0,0.0,8.0,1.0,2011
23,9.0,사도스키,롯데,3.91,25.0,11.0,8.0,0.0,0.0,0.579,140 1/3,130.0,15.0,52.0,6.0,79.0,64.0,61.0,1.3,3.91,0.0,0.0,13.0,0.0,587.0,2214.0,0.255,22.0,1.0,15.0,5.0,1.0,11.0,0.0,2011
24,10.0,로페즈,KIA,3.98,26.0,11.0,9.0,1.0,0.0,0.55,153 2/3,153.0,14.0,26.0,9.0,106.0,71.0,68.0,1.16,3.98,1.0,0.0,13.0,0.0,631.0,2228.0,0.264,21.0,2.0,15.0,1.0,2.0,3.0,0.0,2011
25,11.0,송승준,롯데,4.18,30.0,13.0,10.0,0.0,0.0,0.565,172 1/3,181.0,17.0,59.0,7.0,126.0,84.0,80.0,1.39,4.18,0.0,0.0,18.0,0.0,730.0,2951.0,0.282,30.0,3.0,17.0,5.0,1.0,6.0,1.0,2011
26,12.0,박현준,LG,4.18,29.0,13.0,10.0,0.0,0.0,0.565,163 2/3,153.0,13.0,68.0,11.0,137.0,88.0,76.0,1.35,4.18,0.0,0.0,14.0,0.0,711.0,2680.0,0.25,22.0,5.0,18.0,2.0,1.0,4.0,1.0,2011
27,13.0,고원준,롯데,4.19,36.0,9.0,7.0,2.0,0.0,0.563,152 2/3,163.0,15.0,59.0,6.0,85.0,77.0,71.0,1.45,4.19,3.0,2.0,11.0,0.0,670.0,2423.0,0.281,28.0,2.0,18.0,7.0,1.0,10.0,0.0,2011
28,14.0,양훈,한화,4.28,27.0,6.0,10.0,0.0,0.0,0.375,143,145.0,15.0,60.0,5.0,110.0,75.0,68.0,1.43,4.28,1.0,1.0,11.0,0.0,625.0,2511.0,0.261,23.0,4.0,3.0,1.0,1.0,4.0,0.0,2011
29,15.0,나이트,키움,4.7,30.0,7.0,15.0,0.0,0.0,0.318,172 1/3,169.0,12.0,98.0,12.0,115.0,98.0,90.0,1.55,4.7,0.0,0.0,14.0,0.0,768.0,3029.0,0.26899999999999996,19.0,0.0,26.0,4.0,0.0,7.0,0.0,2011
30,16.0,안승민,한화,5.89,29.0,7.0,9.0,0.0,0.0,0.43799999999999994,139,177.0,22.0,30.0,8.0,90.0,101.0,91.0,1.49,5.89,0.0,0.0,11.0,0.0,618.0,2244.0,0.313,27.0,1.0,8.0,7.0,0.0,2.0,1.0,2011
31,,,SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
