Rank,Player,Team,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,류현진,한화,1.82,25,16,4,0,0,0.8,192 2/3,149,11,45,9,187,42,39,1.01,1.82,5,3,23,0,756,2834,0.22,25,0,21,4,2,6,1
2,김광현,SK,2.37,31,17,7,0,0,0.708,193 2/3,153,13,84,5,183,56,51,1.22,2.37,2,1,20,0,797,3129,0.221,22,1,14,1,1,13,0
3,카도쿠라,SK,3.22,30,14,7,0,0,0.667,153 2/3,146,14,52,6,143,65,55,1.29,3.22,0,0,15,0,647,2510,0.255,16,1,14,2,2,11,0
4,히메네스,두산,3.32,27,14,5,0,0,0.737,152,139,7,62,9,87,65,56,1.32,3.32,1,0,15,1,654,2512,0.247,17,3,15,6,0,5,0
5,서재응,KIA,3.34,24,9,7,0,0,0.563,140,134,10,29,11,68,53,52,1.16,3.34,0,0,13,1,572,2131,0.256,29,2,9,0,1,1,0
6,장원삼,삼성,3.46,29,13,5,0,0,0.722,151,139,13,44,5,115,62,58,1.21,3.46,0,0,12,0,631,2441,0.244,24,2,10,3,1,3,0
7,봉중근,LG,3.58,28,10,9,0,0,0.526,178 1/3,166,13,69,14,130,74,71,1.32,3.58,0,0,18,0,752,2965,0.257,26,2,19,5,2,11,1
8,사도스키,롯데,3.87,27,10,8,0,0,0.556,169 2/3,153,17,54,8,120,83,73,1.22,3.87,0,0,16,0,713,2741,0.241,26,1,13,4,0,11,1
9,김선우,두산,4.02,28,13,6,0,0,0.684,154 2/3,163,12,50,8,128,77,69,1.38,4.02,1,0,16,0,662,2585,0.277,21,2,12,3,1,9,0
10,양현종,KIA,4.25,30,16,8,0,0,0.667,169 1/3,169,9,98,6,145,84,80,1.58,4.25,1,1,14,0,748,3072,0.272,29,1,17,6,0,3,0
11,송승준,롯데,4.39,27,14,6,0,0,0.7,168,156,20,60,9,113,90,82,1.29,4.39,1,0,14,0,709,2715,0.251,24,2,13,4,4,10,0
12,장원준,롯데,4.43,26,12,6,0,0,0.667,144 1/3,158,24,48,8,113,77,71,1.43,4.43,3,2,12,0,623,2384,0.283,19,1,7,2,2,3,1
13,로페즈,KIA,4.66,27,4,10,1,0,0.286,166,180,22,43,8,83,92,86,1.34,4.66,1,0,12,0,713,2600,0.282,35,3,18,5,2,2,1
14,번사이드,키움,5.34,29,10,10,0,0,0.5,140,150,16,82,18,98,91,83,1.66,5.34,0,0,8,0,655,2608,0.279,24,2,9,8,0,8,1
15,유원상,한화,5.5,29,5,14,0,0,0.263,142 1/3,164,20,69,2,82,89,87,1.64,5.5,1,1,6,0,644,2466,0.296,36,0,14,5,1,10,0
