Rank,Player,Team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,서건창,키움,0.37,128,616,543,135,201,41,17,7,297,67,4,2,59,0,8,47,1,0.547,0.438,0.985,66,0.39,0
2,김태균,한화,0.365,118,508,422,66,154,30,0,18,238,84,0,5,70,1,11,73,18,0.564,0.463,1.027,44,0.354,0
3,손아섭,롯데,0.362,122,570,483,105,175,25,3,18,260,80,0,2,80,7,5,78,7,0.538,0.456,0.994,54,0.336,0
4,강정호,키움,0.356,117,501,418,103,149,36,2,40,309,117,0,2,68,2,13,106,8,0.739,0.459,1.198,50,0.361,0
5,최형우,삼성,0.356,113,493,430,92,153,33,0,31,279,100,0,6,50,1,7,62,11,0.649,0.426,1.075,44,0.32,0
6,김주찬,KIA,0.346,100,442,399,72,138,32,4,9,205,46,6,2,31,2,4,48,11,0.514,0.397,0.911,46,0.326,0.25
7,민병헌,두산,0.345,124,527,470,85,162,31,3,12,235,79,8,6,37,0,6,63,11,0.5,0.395,0.895,48,0.36,0.5
8,테임즈,NC,0.343,125,514,443,95,152,30,6,37,305,121,0,6,58,5,7,99,6,0.688,0.422,1.11,40,0.388,0.5
9,박용택,LG,0.343,124,549,464,71,159,24,2,9,214,73,2,7,75,3,1,65,15,0.461,0.43,0.891,49,0.398,0.5
10,안치홍,KIA,0.339,126,479,434,65,147,31,2,18,236,88,2,4,33,1,6,65,11,0.544,0.39,0.934,41,0.338,0.2
11,이재원,SK,0.337,120,484,412,48,139,30,2,12,209,83,0,11,49,7,12,66,14,0.507,0.413,0.92,39,0.336,0.444
12,박한이,삼성,0.331,125,567,472,83,156,22,2,9,209,80,24,5,61,1,5,74,9,0.443,0.409,0.852,41,0.385,1
13,나성범,NC,0.329,123,536,477,88,157,28,5,30,285,101,1,1,42,2,15,128,4,0.597,0.4,0.997,42,0.39,0.333
