Rank,Player,Team,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,³ªÀÌÆ®,Å°¿ò,2.2,30,16,4,0,0,0.8,208 2/3,180,6,53,7,102,60,51,1.12,2.2,2,1,27,0,832,3013,0.24,35,1,16,6,1,2,0
2,³ë°æÀº,µÎ»ê,2.53,42,12,6,0,7,0.667,146,106,6,69,8,133,46,41,1.2,2.53,2,2,15,2,608,2296,0.204,17,0,8,4,1,9,0
3,À¯¸Õ,·Ôµ¥,2.55,29,13,7,0,1,0.65,179 2/3,156,10,56,1,142,58,51,1.18,2.55,2,1,18,0,726,2794,0.239,23,0,12,4,0,7,0
4,¼­ÀçÀÀ,KIA,2.59,29,9,8,0,0,0.529,160,143,7,51,7,97,51,46,1.21,2.59,2,2,16,0,663,2465,0.242,23,1,13,2,5,0,0
5,·ùÇöÁø,ÇÑÈ­,2.66,27,9,9,0,0,0.5,182 2/3,153,12,46,5,210,58,54,1.09,2.66,1,0,22,0,734,2843,0.232,18,1,22,2,6,3,1
6,±èÁø¿ì,KIA,2.9,24,10,5,0,0,0.667,133 2/3,110,2,50,10,101,47,43,1.2,2.9,2,1,12,0,558,2137,0.228,20,0,10,5,0,5,1
7,ÀÌ¿ëÂù,µÎ»ê,3,26,10,11,0,0,0.476,162,154,5,63,6,113,58,54,1.34,3,3,1,17,0,679,2610,0.259,36,4,12,4,1,7,0
8,À±¼®¹Î,KIA,3.12,28,9,8,0,0,0.529,153,120,9,33,8,137,60,53,1,3.12,3,2,15,0,619,2377,0.215,26,7,16,3,0,4,2
9,´ÏÆÛÆ®,µÎ»ê,3.2,29,11,10,0,0,0.524,194,156,15,68,8,126,70,69,1.15,3.2,3,0,20,0,785,3027,0.226,25,3,15,3,0,3,0
10,¹è¿µ¼ö,»ï¼º,3.21,26,12,8,0,0,0.6,160,159,7,39,3,89,64,57,1.24,3.21,2,0,15,0,658,2390,0.264,28,3,5,9,1,5,0
11,¹êÇìÄË,Å°¿ò,3.28,28,11,8,0,0,0.579,170,166,16,60,3,132,68,62,1.33,3.28,0,0,16,0,716,2798,0.261,26,0,17,1,1,11,0
12,¼Û½ÂÁØ,·Ôµ¥,3.31,28,7,11,0,0,0.389,163,158,12,57,8,117,73,60,1.32,3.31,0,0,15,0,687,2723,0.265,19,0,23,3,0,5,0
13,À±Èñ»ó,SK,3.36,28,10,9,0,0,0.526,163 1/3,164,10,49,6,100,66,61,1.3,3.36,0,0,16,0,693,2570,0.262,28,3,9,3,1,5,0
14,ÁÖÅ°Ä¡,LG,3.45,30,11,8,0,1,0.579,177 1/3,179,6,54,4,96,75,68,1.31,3.45,0,0,18,0,750,2677,0.268,20,10,19,4,0,9,1
15,¼Ò»ç,KIA,3.54,23,9,8,0,0,0.529,147 1/3,137,9,39,8,104,62,58,1.19,3.54,4,1,17,0,614,2279,0.252,19,3,17,6,1,3,1
16,Àå¿ø»ï,»ï¼º,3.55,27,17,6,0,1,0.739,157,143,9,38,9,127,64,62,1.15,3.55,0,0,14,0,649,2511,0.242,19,4,5,5,1,2,0
17,¸®Áî,LG,3.69,32,5,12,5,0,0.294,151 1/3,138,6,68,9,144,68,62,1.36,3.69,1,0,14,0,656,2554,0.248,21,1,18,5,3,13,1
18,¾Ø¼­´Ï,KIA,3.83,32,11,13,1,0,0.458,171 2/3,174,15,67,7,94,84,73,1.4,3.83,0,0,14,0,745,2940,0.265,30,4,10,5,2,5,1
19,Å»º¸Æ®,»ï¼º,3.97,25,14,3,0,0,0.824,138 1/3,136,8,54,5,68,63,61,1.37,3.97,0,0,12,0,584,2246,0.266,22,0,7,6,1,8,4
20,±èÇõ¹Î,ÇÑÈ­,4.06,32,8,9,0,1,0.471,146 1/3,137,9,45,9,102,69,66,1.24,4.06,1,0,12,0,612,2310,0.254,25,3,13,6,1,15,0
21,»çµµ½ºÅ°,·Ôµ¥,4.32,29,8,8,0,1,0.5,150,154,9,69,6,98,75,72,1.49,4.32,1,0,12,0,656,2618,0.27,16,0,6,5,0,16,0
22,±è¼±¿ì,µÎ»ê,4.52,28,6,9,0,0,0.4,163 1/3,182,13,41,8,63,91,82,1.37,4.52,1,0,14,0,691,2589,0.292,31,5,16,3,1,4,0
