Rank,Player,Team,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,¸°µåºí·³,µÎ»ê,2.88,26,15,4,0,0,0.789,168 2/3,142,16,38,8,157,56,54,1.07,2.88,0,0,21,0,681,2605,0.226,33,2,5,2,0,10,0
2,Àª½¼,LG,3.07,26,9,4,0,0,0.692,170,158,11,35,6,149,63,58,1.14,3.07,1,1,20,0,689,2632,0.247,23,3,6,3,1,10,1
3,¼Ò»ç,LG,3.52,27,9,9,0,0,0.5,181 1/3,192,16,28,4,181,83,71,1.21,3.52,1,1,18,0,760,2751,0.267,44,1,2,6,1,6,0
4,ÀÌ¿ëÂù,µÎ»ê,3.63,25,15,3,0,0,0.833,144,151,14,36,8,102,62,58,1.3,3.63,1,0,16,0,608,2237,0.274,24,1,5,7,2,6,0
5,ÈÄ·©ÄÚÇÁ,µÎ»ê,3.74,28,18,3,0,0,0.857,149 1/3,118,12,55,22,134,64,62,1.16,3.74,0,0,17,0,621,2624,0.22,17,1,5,3,1,15,0
6,ºê¸®°Ë,Å°¿ò,3.84,31,11,7,0,1,0.611,199,188,19,50,19,175,89,85,1.2,3.84,2,1,19,0,829,3089,0.249,28,3,5,1,0,4,0
7,ÄÌ¸®,SK,4.09,28,12,7,0,0,0.632,158 1/3,152,18,47,13,161,78,72,1.26,4.09,0,0,13,0,674,2497,0.25,28,3,2,4,1,5,2
8,¾çÇöÁ¾,KIA,4.15,29,13,11,0,0,0.542,184 1/3,199,21,43,2,152,88,85,1.31,4.15,3,0,17,0,772,2883,0.278,33,0,9,3,1,5,0
9,¹ÚÁ¾ÈÆ,SK,4.18,30,14,8,0,0,0.636,159 1/3,158,16,54,20,133,81,74,1.33,4.18,0,0,10,0,702,2701,0.254,31,3,3,4,0,3,0
10,´ÏÆÛÆ®,KT,4.25,29,8,8,0,0,0.5,175 2/3,209,26,39,9,165,88,83,1.41,4.25,0,0,20,0,765,2965,0.296,33,4,6,5,2,9,0
11,ÇÇ¾î¹êµå,KT,4.3,27,8,8,0,0,0.5,163 1/3,186,24,38,6,141,90,78,1.37,4.3,1,0,16,0,707,2723,0.286,27,1,10,3,0,5,0
12,¹®½Â¿ø,SK,4.6,31,8,9,1,1,0.471,150 2/3,180,24,37,4,122,86,77,1.44,4.6,0,0,9,0,656,2509,0.296,33,2,5,2,0,4,0
13,ÇíÅÍ,KIA,4.6,29,11,10,0,0,0.524,174,209,25,36,4,137,102,89,1.41,4.6,1,0,18,0,753,2871,0.298,31,0,7,5,2,4,1
14,»ù½¼,ÇÑÈ­,4.68,30,13,8,0,0,0.619,161 2/3,144,17,79,5,195,91,84,1.38,4.68,0,0,15,0,703,3047,0.234,26,1,1,3,0,18,2
15,·¹ÀÏ¸®,·Ôµ¥,4.74,30,11,13,0,0,0.458,178 1/3,180,24,54,18,178,106,94,1.31,4.74,0,0,15,0,775,3048,0.263,34,4,7,11,1,4,2
16,ÀÌÀçÇÐ,NC,4.79,29,5,13,0,0,0.278,152 1/3,157,13,49,10,116,87,81,1.35,4.79,1,0,10,0,658,2740,0.266,27,2,4,4,2,6,0
17,ÇÑÇöÈñ,Å°¿ò,4.79,30,11,7,0,0,0.611,169,208,22,49,20,105,98,90,1.52,4.79,0,0,12,0,756,2790,0.307,42,3,5,5,0,6,0
18,»êÃ¼½º,SK,4.89,29,8,8,0,1,0.5,145 1/3,161,26,39,7,124,90,79,1.38,4.89,0,0,14,1,632,2467,0.277,21,3,4,0,1,12,0
19,¾Æµ¨¸¸,»ï¼º,5.05,31,8,12,0,0,0.4,171,202,20,54,11,137,101,96,1.5,5.05,0,0,15,0,758,3070,0.296,39,1,5,6,0,7,1
20,º£·¿,NC,5.28,29,6,10,0,0,0.375,155,178,24,59,9,144,94,91,1.53,5.28,0,0,11,0,698,2682,0.289,31,2,5,9,0,10,1
21,º¸´Ï¾ß,»ï¼º,5.3,29,7,10,0,0,0.412,168,193,23,63,12,151,111,99,1.52,5.3,0,0,15,0,752,2931,0.29,40,2,8,3,1,9,1
22,±Ý¹ÎÃ¶,KT,5.41,29,8,12,0,0,0.4,156 1/3,212,19,68,7,79,104,94,1.79,5.41,0,0,11,0,720,2695,0.335,30,1,9,4,1,10,0
23,ÀÓÂù±Ô,LG,5.77,29,11,11,1,0,0.5,146 2/3,195,23,47,13,125,104,94,1.65,5.77,0,0,9,0,680,2640,0.321,32,1,7,6,1,6,0
24,Â÷¿ìÂù,LG,6.09,29,12,10,0,0,0.545,170,177,27,79,10,136,119,115,1.51,6.09,1,0,13,0,762,2956,0.269,36,4,4,10,2,10,0
25,±è¿øÁß,·Ôµ¥,6.94,30,8,7,0,0,0.533,145 1/3,173,28,77,11,137,115,112,1.72,6.94,0,0,5,0,681,2717,0.295,37,2,4,3,1,7,0
