Rank,Player,Team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,양의지,NC,0.354,118,459,390,61,138,26,0,20,224,68,0,6,48,4,15,43,13,0.574,0.438,1.012,43,0.364,0.167
2,페르난데스,두산,0.344,144,645,572,87,197,34,0,15,276,88,0,6,61,4,6,54,16,0.483,0.409,0.892,63,0.313,0.5
3,박민우,NC,0.344,125,526,468,89,161,23,8,1,203,45,2,6,41,1,9,40,10,0.434,0.403,0.837,45,0.333,0
4,이정후,키움,0.336,140,630,574,91,193,31,10,6,262,68,3,4,45,0,4,40,15,0.456,0.386,0.842,67,0.307,0.4
5,강백호,KT,0.336,116,505,438,72,147,29,1,13,217,65,0,4,61,4,2,87,11,0.495,0.416,0.911,42,0.284,1
6,고종욱,SK,0.323,137,513,492,76,159,25,7,3,207,56,0,2,18,1,1,89,5,0.421,0.347,0.768,48,0.341,0.231
7,로하스,KT,0.322,142,578,521,68,168,30,3,24,276,104,0,5,49,5,3,120,4,0.53,0.381,0.911,51,0.297,0.375
8,박건우,두산,0.319,127,537,458,83,146,27,5,10,213,64,1,11,60,0,7,57,23,0.465,0.397,0.862,45,0.284,0.333
9,유한준,KT,0.317,139,562,501,61,159,19,1,14,222,86,0,5,52,1,4,61,20,0.443,0.383,0.826,44,0.373,0.25
10,채은성,LG,0.315,128,514,470,59,148,18,1,12,204,72,0,8,24,1,12,67,9,0.434,0.358,0.792,43,0.331,0.333
11,이천웅,LG,0.308,138,613,546,88,168,24,3,2,204,48,4,1,57,1,5,82,13,0.374,0.378,0.752,52,0.333,0.333
12,김하성,키움,0.307,139,625,540,112,166,38,2,19,265,104,1,7,70,4,7,80,12,0.491,0.389,0.88,48,0.364,1
13,김태균,한화,0.305,127,500,433,47,132,21,0,6,171,62,0,8,54,5,5,94,15,0.395,0.382,0.777,30,0.301,0.25
14,샌즈,키움,0.305,139,613,525,100,160,39,1,28,285,113,0,5,77,1,6,101,17,0.543,0.396,0.939,47,0.302,0
15,김현수,LG,0.304,140,595,526,75,160,37,0,11,230,82,0,9,54,9,6,52,11,0.437,0.37,0.807,49,0.329,0
16,전준우,롯데,0.301,141,606,545,85,164,30,1,22,262,83,1,7,46,2,7,71,19,0.481,0.359,0.84,45,0.279,0
17,서건창,키움,0.3,113,486,426,67,128,23,3,2,163,41,3,5,49,1,3,50,5,0.383,0.373,0.756,35,0.344,0.333
18,최형우,KIA,0.3,136,555,456,65,137,31,1,17,221,86,0,7,85,6,7,77,13,0.485,0.413,0.898,38,0.263,0
19,김헌곤,삼성,0.297,114,467,411,57,122,20,1,5,159,46,5,6,37,1,8,41,18,0.387,0.361,0.748,33,0.313,0
20,손아섭,롯데,0.295,134,568,512,78,151,22,1,10,205,63,1,2,52,1,1,92,6,0.4,0.36,0.76,41,0.293,0.2
21,이명기,NC,0.293,139,547,484,62,142,17,3,2,171,36,7,4,48,2,4,66,12,0.353,0.359,0.712,39,0.269,0
22,오재일,두산,0.293,130,529,467,76,137,29,1,21,231,102,0,4,55,1,3,99,5,0.495,0.369,0.864,39,0.344,0
23,러프,삼성,0.292,133,568,472,80,138,35,2,22,243,101,0,9,80,6,7,87,18,0.515,0.396,0.911,39,0.317,0
24,최정,SK,0.292,141,606,503,86,147,27,0,29,261,99,0,8,69,6,26,92,4,0.519,0.399,0.918,40,0.333,0
25,김선빈,KIA,0.292,121,447,394,55,115,22,0,3,146,40,5,4,43,0,1,26,7,0.371,0.36,0.731,32,0.297,0.5
26,최재훈,한화,0.29,135,451,373,47,108,18,0,3,135,31,4,4,56,0,14,61,9,0.362,0.398,0.76,28,0.225,0
27,허경민,두산,0.288,133,540,475,71,137,25,1,4,176,60,3,11,34,2,17,36,16,0.371,0.35,0.721,37,0.324,1
28,이형종,LG,0.286,120,482,419,56,120,24,1,13,185,63,1,10,42,1,10,78,9,0.442,0.358,0.8,35,0.248,0.222
29,이대호,롯데,0.285,135,549,485,48,138,23,1,16,211,88,0,7,47,4,10,65,19,0.435,0.355,0.79,38,0.29,0
30,호잉,한화,0.284,124,525,476,74,135,26,2,18,219,73,1,5,38,5,5,90,6,0.46,0.34,0.8,40,0.262,0
31,황재균,KT,0.283,124,507,448,78,127,16,3,20,209,67,0,5,52,2,2,71,10,0.467,0.357,0.824,32,0.262,0
32,김재환,두산,0.283,136,574,495,76,140,20,5,15,215,91,0,11,63,5,5,113,7,0.434,0.362,0.796,34,0.3,0.25
33,김민혁,KT,0.281,127,521,466,68,131,10,1,0,143,32,5,5,32,0,13,61,8,0.307,0.341,0.648,36,0.257,0.4
34,박병호,키움,0.28,122,532,432,92,121,22,0,33,242,98,0,9,78,5,13,117,7,0.56,0.398,0.958,31,0.291,0.5
35,박세혁,두산,0.279,137,505,441,58,123,19,9,4,172,63,10,6,41,1,7,68,5,0.39,0.345,0.735,29,0.291,0
36,로맥,SK,0.276,137,589,504,86,139,28,1,29,256,95,0,6,73,3,6,117,11,0.508,0.37,0.878,39,0.266,0
37,김상수,삼성,0.271,129,543,468,76,127,20,2,5,166,38,6,4,50,1,15,67,14,0.355,0.358,0.713,36,0.228,0.25
38,유강남,LG,0.27,132,468,418,44,113,22,0,16,183,49,1,6,30,2,13,82,21,0.438,0.334,0.772,25,0.21,0.273
39,김강민,SK,0.27,127,460,422,54,114,14,2,8,156,50,0,3,31,3,4,103,2,0.37,0.324,0.694,31,0.298,0.25
40,이창진,KIA,0.27,133,470,400,57,108,25,1,6,153,48,4,5,57,0,4,92,8,0.383,0.363,0.746,27,0.267,0.333
41,이재원,SK,0.268,139,502,451,33,121,19,0,12,176,75,1,7,34,2,9,59,16,0.39,0.327,0.717,29,0.303,0.364
42,김재호,두산,0.268,130,470,377,51,101,22,0,4,135,48,8,11,67,3,7,58,10,0.358,0.379,0.737,22,0.257,0.5
43,구자욱,삼성,0.267,122,526,475,66,127,27,6,15,211,71,0,6,38,2,7,88,5,0.444,0.327,0.771,32,0.302,0.5
44,정수빈,두산,0.265,123,513,441,75,117,19,5,0,146,41,4,5,57,0,6,60,6,0.331,0.354,0.685,30,0.245,0.5
45,한동민,SK,0.265,125,502,427,52,113,20,0,12,169,52,0,0,55,4,20,100,6,0.396,0.375,0.771,28,0.264,0.3
46,송광민,한화,0.264,122,486,454,50,120,21,0,7,162,51,3,5,21,0,3,91,18,0.357,0.298,0.655,35,0.261,0.333
47,정은원,한화,0.262,142,624,564,83,148,27,6,8,211,57,6,6,48,0,0,101,6,0.374,0.317,0.691,44,0.241,0.333
48,박찬호,KIA,0.26,133,541,504,60,131,15,4,2,160,49,5,2,26,0,4,83,8,0.317,0.3,0.617,36,0.308,0
49,이성열,한화,0.256,129,476,414,60,106,21,1,21,192,85,1,4,48,1,9,114,7,0.464,0.343,0.807,25,0.314,0.077
50,오지환,LG,0.252,134,547,473,63,119,23,5,9,179,53,7,3,57,1,7,113,7,0.378,0.339,0.717,32,0.256,0
51,박경수,KT,0.247,137,490,421,43,104,24,0,10,158,65,4,6,55,1,4,102,14,0.375,0.335,0.71,24,0.281,0.154
52,김성현,SK,0.246,144,472,426,45,105,16,2,1,128,34,8,3,33,0,2,43,15,0.3,0.302,0.602,24,0.216,0
53,이원석,삼성,0.246,111,455,395,44,97,20,0,19,174,76,2,7,43,0,8,73,10,0.441,0.327,0.768,24,0.304,0
54,박해민,삼성,0.239,144,581,506,64,121,16,7,5,166,44,12,3,58,0,2,82,4,0.328,0.318,0.646,34,0.239,0.143
55,오선진,한화,0.224,122,453,392,37,88,16,0,3,113,36,10,3,38,0,10,72,8,0.288,0.307,0.595,22,0.263,0
