Rank,Player,Team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,이대호,롯데,0.364,127,552,478,99,174,13,0,44,319,133,0,3,61,6,10,77,15,0.667,0.444,1.111,51,0.426,0
2,홍성흔,롯데,0.35,111,498,431,88,151,28,1,26,259,116,1,5,54,3,7,49,18,0.601,0.427,1.028,54,0.438,0
3,조성환,롯데,0.336,111,458,414,83,139,31,0,8,194,52,2,3,35,1,4,58,8,0.469,0.39,0.859,44,0.324,0
4,이진영,LG,0.331,104,417,378,56,125,28,0,7,174,50,2,4,32,0,1,40,7,0.46,0.381,0.841,36,0.37,0.5
5,최준석,두산,0.321,127,482,424,63,136,26,1,22,230,82,1,2,50,5,5,83,17,0.542,0.397,0.939,38,0.342,0.5
6,조인성,LG,0.317,133,511,457,69,145,24,1,28,255,107,5,5,41,8,3,83,19,0.558,0.374,0.932,42,0.355,0
7,김현수,두산,0.317,132,565,473,88,150,29,0,24,251,89,0,8,78,6,6,64,9,0.531,0.414,0.945,45,0.309,0
8,김강민,SK,0.317,115,450,401,74,127,19,2,10,180,72,11,3,33,0,2,51,5,0.449,0.369,0.818,32,0.316,0
9,이종욱,두산,0.312,114,471,413,66,129,16,2,5,164,45,6,3,45,1,4,46,3,0.397,0.383,0.78,41,0.359,0
10,이용규,KIA,0.307,129,555,472,74,145,19,1,3,175,51,7,3,64,2,9,50,10,0.371,0.398,0.769,38,0.353,0
11,박정권,SK,0.306,124,505,431,76,132,19,4,18,213,76,2,4,63,8,5,89,7,0.494,0.398,0.892,36,0.333,0
12,손아섭,롯데,0.306,121,487,422,85,129,23,0,11,185,47,9,5,50,0,1,82,2,0.438,0.377,0.815,37,0.309,0.1
13,정근우,SK,0.305,128,563,485,75,148,25,2,2,183,48,22,1,47,5,8,51,9,0.377,0.375,0.752,45,0.359,0
14,강민호,롯데,0.305,117,465,410,66,125,19,1,23,215,72,0,5,42,1,8,65,16,0.524,0.376,0.9,33,0.366,0
15,박석민,삼성,0.303,112,457,356,58,108,18,0,15,171,64,5,5,76,4,15,84,14,0.48,0.44,0.92,26,0.33,0
16,박한이,삼성,0.301,128,470,379,64,114,21,2,11,172,63,10,5,73,2,3,54,10,0.454,0.413,0.867,30,0.313,0.4
17,강정호,키움,0.301,133,522,449,60,135,30,2,12,205,58,3,2,61,6,7,87,14,0.457,0.391,0.848,33,0.272,0.5
18,정원석,한화,0.3,118,428,353,39,106,20,3,7,153,42,11,8,40,2,16,73,12,0.433,0.388,0.821,25,0.278,1
19,최정,SK,0.3,123,493,400,84,120,31,1,20,213,80,16,8,49,0,20,72,7,0.533,0.396,0.929,34,0.308,0
19,박용택,LG,0.3,107,420,370,62,111,21,0,9,159,45,6,1,38,3,5,64,6,0.43,0.372,0.802,34,0.294,0.308
21,김동주,두산,0.295,110,470,387,60,114,22,0,20,196,67,1,5,67,4,10,45,15,0.506,0.407,0.913,31,0.219,0
22,유한준,키움,0.291,131,543,481,52,140,27,0,9,194,79,8,4,49,0,1,81,17,0.403,0.355,0.758,33,0.384,0.5
23,안치홍,KIA,0.291,133,537,461,79,134,21,3,8,185,50,16,4,49,1,7,96,12,0.401,0.365,0.766,35,0.244,0.5
24,송지만,키움,0.291,127,432,375,52,109,15,1,17,177,63,2,6,41,4,8,85,5,0.472,0.367,0.839,25,0.248,0.182
25,이병규,LG,0.29,117,451,404,49,117,14,1,9,160,64,4,6,36,5,1,53,11,0.396,0.345,0.741,39,0.291,0.067
26,최희섭,KIA,0.286,126,532,444,78,127,22,1,21,214,84,0,3,81,7,4,109,17,0.482,0.398,0.88,32,0.279,0
27,장기영,키움,0.283,119,493,435,60,123,16,10,1,162,47,12,4,41,0,1,74,6,0.372,0.343,0.715,34,0.314,0
28,신명철,삼성,0.28,125,476,397,56,111,22,1,9,162,57,13,6,56,2,4,82,14,0.408,0.369,0.777,28,0.264,0.167
29,최형우,삼성,0.279,121,506,420,71,117,29,1,24,220,97,2,5,71,5,8,91,13,0.524,0.389,0.913,26,0.309,0.5
30,김주찬,롯데,0.276,118,535,485,89,134,18,4,9,187,40,11,3,31,1,5,65,5,0.386,0.324,0.71,40,0.294,0
31,오재원,두산,0.276,123,421,384,59,106,17,3,0,129,37,2,2,29,1,4,76,5,0.336,0.332,0.668,24,0.246,0
32,손시헌,두산,0.273,128,499,433,51,118,19,1,8,163,62,10,3,46,2,7,64,12,0.376,0.35,0.726,30,0.339,0.333
33,이영욱,삼성,0.272,120,479,408,68,111,19,2,4,146,42,9,4,51,2,7,86,4,0.358,0.36,0.718,32,0.26,1
34,양의지,두산,0.267,127,430,374,48,100,14,1,20,176,68,5,3,40,1,8,68,12,0.471,0.348,0.819,27,0.292,0
35,김태완,한화,0.265,116,473,370,62,98,13,0,15,156,62,0,2,86,3,13,99,9,0.422,0.418,0.84,21,0.313,0
36,정성훈,LG,0.263,111,418,365,52,96,20,1,4,130,38,6,2,41,1,4,58,14,0.356,0.342,0.698,24,0.255,0.143
37,이성열,두산,0.263,129,484,419,77,110,27,1,24,211,86,9,3,40,0,13,136,6,0.504,0.343,0.847,29,0.273,0
38,박경완,SK,0.262,129,472,381,51,100,20,0,14,162,67,15,3,46,2,27,88,11,0.425,0.379,0.804,23,0.279,0
39,이대형,LG,0.261,130,568,494,73,129,14,2,1,150,43,13,1,58,0,2,76,3,0.304,0.341,0.645,34,0.308,0.25
40,최진행,한화,0.261,129,524,464,66,121,22,0,32,239,92,2,2,47,1,9,131,15,0.515,0.339,0.854,31,0.301,0
41,김민우,키움,0.257,128,536,447,64,115,20,3,9,168,44,16,3,61,0,9,85,11,0.376,0.356,0.732,27,0.236,1
42,가르시아,롯데,0.252,118,485,429,73,108,16,1,26,204,83,0,5,49,1,2,123,4,0.476,0.328,0.804,31,0.248,0
43,오지환,LG,0.241,125,417,352,59,85,13,6,13,149,61,7,7,44,0,7,137,1,0.423,0.332,0.755,17,0.267,0.429
44,김원섭,KIA,0.238,111,428,353,43,84,16,3,5,121,28,16,1,56,0,2,63,5,0.343,0.345,0.688,22,0.194,0.222
45,이대수,한화,0.232,125,416,375,33,87,13,1,7,123,37,6,3,26,0,6,57,4,0.328,0.29,0.618,22,0.28,0
