Rank,Player,Team,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,Âû¸®,NC,2.48,29,11,7,0,0,0.611,189,175,6,60,14,116,60,52,1.24,2.48,0,0,23,0,790,2988,0.255,28,0,21,10,1,6,0
2,ÀÌÀçÇÐ,NC,2.88,27,10,5,1,0,0.667,156,123,12,59,14,144,53,50,1.17,2.88,2,1,17,0,646,2543,0.221,21,3,9,8,2,2,0
3,¼¼µç,SK,2.98,30,14,6,0,0,0.7,187 1/3,169,14,73,11,160,65,62,1.29,2.98,1,0,19,0,780,3150,0.247,28,2,9,2,2,16,1
4,¸®Áî,LG,3.06,32,10,13,0,0,0.435,202 2/3,153,11,88,20,188,78,69,1.19,3.06,2,1,22,0,837,3214,0.215,23,3,9,7,1,8,0
5,À±¼ºÈ¯,»ï¼º,3.27,27,13,8,0,0,0.619,170 2/3,167,16,37,4,122,69,62,1.2,3.27,1,1,17,0,702,2749,0.259,40,2,9,6,0,4,0
6,¿Á½ºÇÁ¸µ,·Ôµ¥,3.29,30,13,7,0,0,0.65,183 1/3,164,10,69,11,144,79,67,1.27,3.29,1,1,22,0,774,3022,0.244,21,2,15,6,1,2,0
7,À¯Èñ°ü,µÎ»ê,3.53,41,10,7,1,3,0.588,145 1/3,141,7,52,7,96,60,57,1.33,3.53,0,0,7,1,612,2410,0.262,28,3,10,4,1,2,2
8,À¯¸Õ,·Ôµ¥,3.54,31,13,4,0,0,0.765,193 1/3,186,19,78,5,141,81,76,1.37,3.54,0,0,24,0,829,3124,0.258,27,2,22,3,0,3,0
9,¿¡¸¯,NC,3.63,27,4,11,0,0,0.267,178 1/3,163,12,50,17,127,83,72,1.19,3.63,3,0,16,0,744,2714,0.245,24,1,8,5,0,5,0
10,¹êÇìÄË,Å°¿ò,3.73,29,12,10,0,0,0.545,161 2/3,178,11,58,10,137,78,67,1.46,3.73,0,0,16,0,705,2795,0.287,30,3,11,5,0,11,1
11,¼Û½ÂÁØ,·Ôµ¥,3.76,29,12,6,0,0,0.667,167 2/3,171,11,64,4,133,74,70,1.4,3.76,0,0,13,0,720,2917,0.267,32,3,9,3,0,4,0
12,³ë°æÀº,µÎ»ê,3.84,30,10,10,0,0,0.5,180 1/3,171,16,75,6,153,88,77,1.36,3.84,0,0,18,0,765,3000,0.254,33,4,10,2,0,8,1
13,À±Èñ»ó,SK,3.87,25,8,6,0,0,0.571,151 1/3,147,17,44,7,120,72,65,1.26,3.87,1,0,15,1,642,2445,0.257,28,1,11,8,0,3,1
14,¿ì±Ô¹Î,LG,3.91,30,10,8,0,2,0.556,147 1/3,162,5,31,12,92,67,64,1.31,3.91,1,1,9,0,635,2324,0.279,25,6,6,5,2,2,0
15,¹êµ§ÇæÅ©,»ï¼º,3.95,24,7,9,0,0,0.438,143 2/3,127,11,48,11,137,67,63,1.22,3.95,0,0,15,0,612,2414,0.238,21,3,16,4,2,3,0
16,¹ÙÆ¼½ºÅ¸,ÇÑÈ­,4.2,29,7,7,0,0,0.5,143 2/3,141,9,70,13,150,77,67,1.47,4.2,0,0,7,0,640,2558,0.259,20,5,9,3,1,8,1
17,°­À±±¸,Å°¿ò,4.36,41,6,6,0,7,0.5,130,112,6,75,8,131,69,63,1.44,4.36,0,0,4,0,568,2324,0.238,21,2,9,6,0,8,0
18,Àå¿ø»ï,»ï¼º,4.38,27,13,10,1,0,0.565,154,165,21,42,9,104,85,75,1.34,4.38,1,0,14,0,658,2484,0.277,17,3,9,3,2,6,1
19,³ªÀÌÆ®,Å°¿ò,4.43,30,12,10,0,0,0.545,172 2/3,192,10,79,14,129,96,85,1.57,4.43,0,0,15,0,769,2997,0.291,29,3,11,5,1,2,0
20,±è±¤Çö,SK,4.47,25,10,9,0,0,0.526,133,128,12,68,4,102,72,66,1.47,4.47,0,0,9,1,580,2273,0.259,31,3,7,7,0,9,1
21,¹è¿µ¼ö,»ï¼º,4.71,27,14,4,0,0,0.778,151,193,9,38,14,101,83,79,1.53,4.71,0,0,13,0,671,2507,0.32,33,5,12,3,1,5,0
22,·¹ÀÌ¿¹½º,SK,4.84,30,8,13,0,0,0.381,173,157,15,91,7,135,99,93,1.43,4.84,2,1,15,0,751,2939,0.249,36,0,17,6,0,11,0
23,±èÇõ¹Î,ÇÑÈ­,5.4,42,5,10,0,11,0.333,146 2/3,142,25,60,12,96,93,88,1.38,5.4,0,0,7,0,635,2363,0.259,24,4,8,7,2,12,0
24,¼Ò»ç,KIA,5.47,29,9,9,0,1,0.5,164 2/3,196,11,68,9,143,111,100,1.6,5.47,0,0,10,0,748,2941,0.298,28,9,8,5,3,10,1
25,ÀÌºê·£µå,ÇÑÈ­,5.54,32,6,14,0,0,0.3,172 1/3,190,7,65,10,129,110,106,1.48,5.54,2,0,12,0,758,2905,0.287,37,5,16,6,0,11,0
