Rank,Player,Team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,이병규,LG,0.348,98,401,374,39,130,19,3,5,170,74,0,3,22,2,2,40,10,0.455,0.384,0.839,35,0.426,0
2,손아섭,롯데,0.345,128,568,498,83,172,23,4,11,236,69,0,3,64,6,3,88,9,0.474,0.421,0.895,49,0.313,1
3,이진영,LG,0.329,106,411,368,41,121,26,1,3,158,62,1,3,37,4,2,42,6,0.429,0.39,0.819,32,0.345,0.667
4,박용택,LG,0.328,125,539,476,79,156,22,4,7,207,67,0,7,52,1,4,71,5,0.435,0.393,0.828,47,0.322,0
5,김태균,한화,0.319,101,430,345,41,110,24,0,10,164,52,0,4,73,7,8,67,14,0.475,0.444,0.919,29,0.281,0
6,민병헌,두산,0.319,119,449,383,71,122,21,7,9,184,65,12,7,40,0,7,62,7,0.48,0.387,0.867,31,0.369,0.6
7,박석민,삼성,0.318,117,474,396,61,126,24,0,18,204,76,0,2,54,1,21,73,13,0.515,0.425,0.94,37,0.385,0
8,박병호,키움,0.318,128,556,450,91,143,17,0,37,271,117,0,6,92,4,8,96,7,0.602,0.437,1.039,40,0.288,0
9,최정,SK,0.316,120,525,434,75,137,18,0,28,239,83,1,2,64,9,24,109,10,0.551,0.429,0.98,32,0.302,1
10,정성훈,LG,0.312,121,477,407,64,127,22,1,9,178,62,0,4,59,0,7,58,12,0.437,0.405,0.842,33,0.299,0.167
11,신종길,KIA,0.31,104,427,377,55,117,22,5,4,161,50,11,4,30,0,5,86,3,0.427,0.365,0.792,34,0.29,0.5
12,이종욱,두산,0.307,110,456,401,77,123,23,6,6,176,52,12,2,38,1,3,57,6,0.439,0.369,0.808,36,0.286,0.333
13,최형우,삼성,0.305,128,573,511,80,156,28,0,29,271,98,0,8,47,1,7,91,5,0.53,0.366,0.896,40,0.329,0
14,김현수,두산,0.302,122,510,434,63,131,23,1,16,204,90,0,12,62,10,2,71,6,0.47,0.382,0.852,39,0.343,0
15,김강민,SK,0.301,105,397,352,39,106,22,3,10,164,55,2,3,36,2,4,54,10,0.466,0.37,0.836,28,0.36,0.25
16,최진행,한화,0.3,106,422,367,39,110,27,0,8,161,53,1,1,50,1,3,86,18,0.439,0.387,0.826,23,0.297,0.2
17,홍성흔,두산,0.299,127,538,469,61,140,21,0,15,206,72,3,3,57,0,6,93,15,0.439,0.379,0.818,38,0.297,0.333
18,김상수,삼성,0.298,115,422,372,57,111,17,3,7,155,44,9,6,30,1,5,44,7,0.417,0.354,0.771,33,0.286,0
19,배영섭,삼성,0.295,113,476,393,66,116,16,4,2,146,38,8,3,52,1,20,62,9,0.372,0.402,0.774,34,0.318,0.167
20,이용규,KIA,0.295,100,453,390,74,115,20,1,2,143,22,10,2,44,0,7,37,4,0.367,0.375,0.742,32,0.287,0
21,박정권,SK,0.292,110,434,363,56,106,20,1,18,182,70,0,6,64,5,1,79,5,0.501,0.394,0.895,25,0.262,0.5
22,강정호,키움,0.291,126,532,450,67,131,21,1,22,220,96,2,6,68,3,6,109,18,0.489,0.387,0.876,35,0.328,0
23,나지완,KIA,0.287,125,522,435,57,125,18,0,21,206,96,1,5,62,1,18,111,12,0.474,0.394,0.868,35,0.31,0
24,이택근,키움,0.287,123,536,477,73,137,31,1,9,197,66,6,7,39,1,7,58,15,0.413,0.345,0.758,38,0.295,0
25,정현석,한화,0.287,121,403,356,47,102,15,1,4,131,27,3,0,37,1,7,64,14,0.368,0.365,0.733,22,0.227,0.182
26,박한이,삼성,0.284,112,466,394,56,112,12,3,6,148,55,18,2,51,0,1,74,5,0.376,0.366,0.742,31,0.333,1
27,김민성,키움,0.282,128,523,458,60,129,24,2,15,202,72,3,4,42,1,16,84,11,0.441,0.36,0.801,31,0.301,0
28,조영훈,NC,0.282,120,426,380,38,107,26,3,6,157,39,3,2,39,1,2,56,6,0.413,0.35,0.763,27,0.248,0.273
29,정근우,SK,0.28,112,476,407,64,114,19,3,9,166,35,11,1,50,6,7,48,6,0.408,0.368,0.776,30,0.321,0
30,이호준,NC,0.278,126,508,442,46,123,25,1,20,210,87,0,5,60,3,1,109,8,0.475,0.362,0.837,35,0.358,0
31,김종호,NC,0.277,128,546,465,72,129,12,7,0,155,22,6,1,57,1,17,100,11,0.333,0.376,0.709,30,0.308,0
32,모창민,NC,0.276,108,436,395,57,109,24,3,12,175,51,2,1,37,0,1,68,11,0.443,0.339,0.782,36,0.351,0
33,전준우,롯데,0.275,128,537,455,65,125,25,1,7,173,66,5,7,65,0,5,77,15,0.38,0.367,0.747,34,0.316,0
34,황재균,롯데,0.274,128,559,489,70,134,29,3,7,190,56,7,4,49,3,10,78,14,0.389,0.35,0.739,32,0.246,0
35,정의윤,LG,0.272,116,405,367,42,100,15,5,5,140,47,1,3,26,2,8,45,10,0.381,0.332,0.713,27,0.281,0.071
36,손주인,LG,0.265,125,423,351,42,93,17,3,3,125,41,20,6,40,0,6,63,8,0.356,0.345,0.701,23,0.284,0
37,정훈,롯데,0.258,113,398,341,50,88,15,3,5,124,37,14,5,30,0,8,54,8,0.364,0.328,0.692,18,0.258,0.25
38,이대수,한화,0.256,122,448,390,54,100,23,2,4,139,42,11,3,38,0,6,88,10,0.356,0.33,0.686,26,0.293,0.4
39,오지환,LG,0.256,124,514,441,81,113,20,8,9,176,47,7,3,54,0,9,113,7,0.399,0.347,0.746,26,0.211,0.5
40,조동화,SK,0.256,105,405,332,52,85,11,3,0,102,19,16,3,46,1,8,76,3,0.307,0.357,0.664,16,0.191,0.2
41,박종윤,롯데,0.255,115,416,381,37,97,24,2,7,146,58,3,6,21,3,5,56,9,0.383,0.298,0.681,27,0.252,0.625
42,이승엽,삼성,0.253,111,483,443,62,112,24,0,13,175,69,0,8,30,2,2,94,8,0.395,0.298,0.693,35,0.218,0
43,안치홍,KIA,0.249,118,484,414,56,103,15,0,3,127,39,7,5,52,0,6,74,13,0.307,0.338,0.645,26,0.245,1
44,이범호,KIA,0.248,122,516,436,56,108,17,0,24,197,73,4,5,62,3,9,79,18,0.452,0.35,0.802,27,0.189,0
45,나성범,NC,0.243,104,458,404,55,98,18,5,14,168,64,0,6,33,3,15,95,7,0.416,0.319,0.735,19,0.242,0
46,장기영,키움,0.242,115,407,360,54,87,16,2,2,113,30,9,3,35,0,0,63,4,0.314,0.307,0.621,21,0.325,0.25
47,강민호,롯데,0.235,105,405,327,48,77,13,0,11,123,57,1,6,60,3,11,87,5,0.376,0.366,0.742,17,0.259,0
48,권희동,NC,0.203,121,397,349,42,71,19,1,15,137,54,7,3,36,0,2,75,6,0.393,0.279,0.672,14,0.237,0.308
