Rank,Player,Team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,테임즈,NC,0.381,142,595,472,130,180,42,5,47,373,140,0,7,103,11,13,91,7,0.79,0.497,1.287,52,0.31,0
2,유한준,키움,0.362,139,598,520,103,188,42,1,23,301,116,1,8,67,2,2,71,13,0.579,0.43,1.009,62,0.395,1
3,구자욱,삼성,0.349,116,465,410,97,143,33,5,11,219,57,0,4,45,0,6,79,3,0.534,0.417,0.951,43,0.33,0.6
4,마르테,KT,0.348,115,487,425,85,148,32,1,20,242,89,0,8,51,7,2,60,19,0.569,0.414,0.983,44,0.305,0.5
5,박병호,키움,0.343,140,622,528,129,181,35,1,53,377,146,0,4,78,6,12,161,10,0.714,0.436,1.15,50,0.375,0
6,이용규,한화,0.341,124,585,493,94,168,15,7,4,209,42,11,4,68,5,9,45,4,0.424,0.427,0.851,49,0.35,0
7,이승엽,삼성,0.332,122,522,470,87,156,28,1,26,264,90,0,6,40,2,6,71,10,0.562,0.387,0.949,45,0.321,0
8,박용택,LG,0.326,128,533,487,66,159,28,2,18,245,83,1,7,34,1,4,73,12,0.503,0.37,0.873,50,0.357,0
9,나성범,NC,0.326,144,622,564,112,184,34,5,28,312,135,3,8,32,1,15,127,9,0.553,0.373,0.926,57,0.367,0.5
10,김현수,두산,0.326,141,630,512,103,167,26,0,28,277,121,0,9,101,12,8,63,13,0.541,0.438,0.979,50,0.333,0
11,양의지,두산,0.326,132,513,442,70,144,27,0,20,231,93,2,6,39,3,24,64,7,0.523,0.405,0.928,45,0.283,0.4
12,필,KIA,0.325,143,591,536,81,174,35,1,22,277,101,0,9,43,6,3,74,12,0.517,0.372,0.889,55,0.333,0.5
13,박석민,삼성,0.321,135,559,448,90,144,25,0,26,247,116,1,8,83,0,19,97,13,0.551,0.441,0.992,32,0.42,0.5
14,최형우,삼성,0.318,144,637,547,94,174,33,1,33,308,123,0,8,73,7,9,101,13,0.563,0.402,0.965,46,0.302,0
15,손아섭,롯데,0.317,116,517,445,86,141,28,1,13,210,54,0,3,68,3,1,96,6,0.472,0.406,0.878,39,0.354,0
16,허경민,두산,0.317,117,453,404,64,128,20,2,1,155,41,8,3,31,0,7,42,11,0.384,0.373,0.757,36,0.274,0
17,정근우,한화,0.316,126,552,468,99,148,30,2,12,218,66,13,2,61,1,8,66,14,0.466,0.403,0.869,48,0.307,0
18,김태균,한화,0.316,133,524,408,61,129,28,0,21,220,104,1,5,98,12,12,80,19,0.539,0.457,0.996,30,0.353,0.333
19,이명기,SK,0.315,137,582,521,88,164,30,2,3,207,35,11,4,35,0,11,86,7,0.397,0.368,0.765,45,0.288,0.125
20,아두치,롯데,0.314,132,594,526,105,165,34,5,28,293,106,1,4,55,8,8,118,9,0.557,0.384,0.941,45,0.354,0.75
21,강민호,롯데,0.311,123,456,380,63,118,18,1,35,243,86,0,2,60,2,14,112,14,0.639,0.421,1.06,32,0.322,0.167
