Rank,Player,Team,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,윤석민,KIA,2.45,27,17,5,1,0,0.773,172 1/3,137,10,44,6,178,53,47,1.05,2.45,3,3,18,0,679,2685,0.223,20,2,12,2,0,2,1
2,니퍼트,두산,2.55,29,15,6,0,0,0.714,187,150,8,64,10,150,61,53,1.14,2.55,2,1,19,0,763,3118,0.225,26,1,18,3,0,10,0
3,김선우,두산,3.13,28,16,7,1,0,0.696,175 2/3,188,12,35,6,89,68,61,1.27,3.13,2,1,18,0,732,2702,0.281,28,4,14,7,1,4,0
4,장원준,롯데,3.14,29,15,6,0,0,0.714,180 2/3,195,7,62,9,129,72,63,1.42,3.14,0,0,17,0,774,2999,0.283,33,1,13,0,2,3,0
5,윤성환,삼성,3.54,24,14,5,0,0,0.737,137 1/3,151,8,30,3,83,62,54,1.32,3.54,0,0,11,0,584,2196,0.282,24,3,12,3,0,4,0
6,주키치,LG,3.6,32,10,8,1,0,0.556,187 2/3,174,9,53,1,150,86,75,1.21,3.6,1,1,14,0,773,2897,0.25,37,2,19,5,2,7,3
7,차우찬,삼성,3.69,24,10,6,0,0,0.625,148 2/3,156,22,62,3,114,75,61,1.47,3.69,0,0,12,0,650,2481,0.273,21,1,11,2,0,2,2
8,리즈,LG,3.88,30,11,13,0,0,0.458,164 2/3,149,11,84,15,122,79,71,1.41,3.88,1,0,16,0,719,2806,0.248,32,5,16,4,0,8,1
9,사도스키,롯데,3.91,25,11,8,0,0,0.579,140 1/3,130,15,52,6,79,64,61,1.3,3.91,0,0,13,0,587,2214,0.255,22,1,15,5,1,11,0
10,로페즈,KIA,3.98,26,11,9,1,0,0.55,153 2/3,153,14,26,9,106,71,68,1.16,3.98,1,0,13,0,631,2228,0.264,21,2,15,1,2,3,0
11,송승준,롯데,4.18,30,13,10,0,0,0.565,172 1/3,181,17,59,7,126,84,80,1.39,4.18,0,0,18,0,730,2951,0.282,30,3,17,5,1,6,1
12,박현준,LG,4.18,29,13,10,0,0,0.565,163 2/3,153,13,68,11,137,88,76,1.35,4.18,0,0,14,0,711,2680,0.25,22,5,18,2,1,4,1
13,고원준,롯데,4.19,36,9,7,2,0,0.563,152 2/3,163,15,59,6,85,77,71,1.45,4.19,3,2,11,0,670,2423,0.281,28,2,18,7,1,10,0
14,양훈,한화,4.28,27,6,10,0,0,0.375,143,145,15,60,5,110,75,68,1.43,4.28,1,1,11,0,625,2511,0.261,23,4,3,1,1,4,0
15,나이트,키움,4.7,30,7,15,0,0,0.318,172 1/3,169,12,98,12,115,98,90,1.55,4.7,0,0,14,0,768,3029,0.269,19,0,26,4,0,7,0
16,안승민,한화,5.89,29,7,9,0,0,0.438,139,177,22,30,8,90,101,91,1.49,5.89,0,0,11,0,618,2244,0.313,27,1,8,7,0,2,1
