Rank,Player,Team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,김태균,한화,0.363,126,513,416,61,151,24,0,16,223,80,0,5,81,8,11,69,11,0.536,0.474,1.01,43,0.379,0
2,강정호,키움,0.314,124,519,436,77,137,32,0,25,244,82,1,5,71,8,6,78,16,0.56,0.413,0.973,38,0.311,0
3,손아섭,롯데,0.314,132,556,503,61,158,26,0,5,199,58,2,4,41,4,6,79,7,0.396,0.37,0.766,43,0.333,0.5
4,박석민,삼성,0.312,127,549,443,79,138,19,3,23,232,91,2,5,72,5,27,83,8,0.524,0.433,0.957,37,0.29,0
5,정성훈,LG,0.31,107,438,365,50,113,27,3,12,182,53,2,5,65,2,1,62,13,0.499,0.411,0.91,30,0.279,0.4
6,이승엽,삼성,0.307,126,556,488,84,150,28,2,21,245,85,1,4,59,4,4,101,10,0.502,0.384,0.886,42,0.327,0
7,이진영,LG,0.307,105,412,365,39,112,18,0,4,142,55,0,2,44,2,1,41,8,0.389,0.381,0.77,31,0.336,0.286
8,박용택,LG,0.305,127,556,499,82,152,34,3,11,225,76,1,7,42,1,7,66,9,0.451,0.362,0.813,45,0.416,1
9,박한이,삼성,0.304,111,463,388,61,118,19,4,1,148,51,13,3,58,3,1,72,8,0.381,0.393,0.774,35,0.291,0.6
10,김원섭,KIA,0.303,120,472,386,60,117,21,4,3,155,61,12,3,69,1,2,54,12,0.402,0.409,0.811,33,0.295,0.4
11,이호준,SK,0.3,127,504,426,55,128,26,0,18,208,78,0,1,72,5,5,90,10,0.488,0.407,0.895,35,0.306,0
12,이병규,LG,0.3,118,455,420,52,126,25,1,5,168,41,5,6,22,1,2,58,18,0.4,0.333,0.733,34,0.23,0.231
13,최정,SK,0.3,130,553,474,85,142,33,1,26,255,84,3,6,49,7,21,98,8,0.538,0.385,0.923,36,0.29,0
