Rank,Player,Team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
17,손아섭,롯데,0.329,141,625,553,109,182,32,5,26,302,93,1,1,68,1,2,99,15,0.546,0.404,0.95,55,0.36,0.333
18,박건우,두산,0.326,125,529,488,79,159,24,6,12,231,84,1,2,28,1,10,65,14,0.473,0.373,0.846,47,0.373,0.5
19,허경민,두산,0.324,133,577,516,85,167,30,5,10,237,79,5,8,32,0,16,52,15,0.459,0.376,0.835,48,0.35,0.25
20,박민우,NC,0.324,115,460,411,68,133,22,5,5,180,33,3,4,32,3,10,51,4,0.438,0.383,0.821,34,0.362,0.667
21,나성범,NC,0.318,144,620,556,110,177,36,3,23,288,91,0,5,44,4,15,131,11,0.518,0.381,0.899,53,0.319,0
22,민병헌,롯데,0.318,118,494,443,74,141,21,0,17,213,66,2,6,35,3,8,68,10,0.481,0.374,0.855,45,0.283,0.25
23,로맥,SK,0.316,141,616,528,102,167,19,0,43,315,107,0,6,72,0,10,123,7,0.597,0.404,1.001,48,0.297,0
24,이형종,LG,0.316,118,485,437,83,138,27,0,13,204,42,5,0,31,0,12,82,6,0.467,0.377,0.844,37,0.292,0.364
25,오재원,두산,0.313,132,521,473,78,148,24,1,15,219,81,3,2,41,0,2,119,13,0.463,0.369,0.832,35,0.338,0
26,노수광,SK,0.313,135,588,515,93,161,21,8,8,222,53,9,3,48,0,13,86,3,0.431,0.383,0.814,50,0.316,0.667
27,김재호,두산,0.311,131,467,402,78,125,20,0,16,193,75,3,6,52,1,4,77,12,0.48,0.39,0.87,32,0.35,0.5
28,버나디나,KIA,0.31,131,590,513,106,159,25,3,20,250,70,3,1,63,3,10,103,9,0.487,0.395,0.882,40,0.29,0
29,호잉,한화,0.306,142,590,529,85,162,47,2,30,303,110,0,5,51,10,5,93,5,0.573,0.369,0.942,43,0.335,0.5
30,로하스,KT,0.305,144,645,564,114,172,30,1,43,333,114,1,2,71,4,7,142,10,0.59,0.388,0.978,50,0.322,0
31,박용택,LG,0.303,134,583,524,89,159,38,1,15,244,76,0,7,47,0,5,107,21,0.466,0.362,0.828,48,0.285,0.667
32,이명기,KIA,0.302,120,502,447,88,135,28,6,4,187,42,11,1,40,3,3,64,5,0.418,0.363,0.781,41,0.246,0
33,이원석,삼성,0.301,128,543,479,74,144,30,1,20,236,93,0,5,52,1,7,103,10,0.493,0.374,0.867,39,0.302,0
34,김헌곤,삼성,0.3,141,586,513,77,154,26,2,11,217,71,5,4,54,1,10,70,13,0.423,0.375,0.798,46,0.319,0
35,박해민,삼성,0.299,144,649,576,114,172,30,10,9,249,68,8,6,56,0,3,99,9,0.432,0.36,0.792,53,0.339,0.4
36,송광민,한화,0.297,113,460,434,63,129,24,0,18,207,79,0,4,18,0,4,93,13,0.477,0.328,0.805,36,0.243,0
37,유강남,LG,0.296,132,465,425,53,126,33,0,19,216,66,2,1,28,1,9,80,21,0.508,0.352,0.86,37,0.282,0.214
38,황재균,KT,0.296,142,588,530,76,157,41,3,25,279,88,2,3,49,1,4,120,5,0.526,0.358,0.884,48,0.252,0.5
39,이성열,한화,0.295,131,528,485,76,143,21,1,34,268,102,1,2,35,3,5,143,9,0.553,0.347,0.9,34,0.283,0.6
40,김선빈,KIA,0.295,127,492,424,73,125,17,2,4,158,49,6,5,48,1,9,42,10,0.373,0.374,0.747,33,0.304,0.25
41,신본기,롯데,0.294,139,479,425,55,125,28,1,11,188,71,5,5,33,2,11,95,12,0.442,0.357,0.799,34,0.3,0.5
42,이용규,한화,0.293,134,575,491,82,144,14,1,1,163,36,8,5,59,0,12,62,8,0.332,0.379,0.711,44,0.327,0
43,임병욱,키움,0.293,134,447,423,76,124,29,3,13,198,60,0,2,22,1,0,119,6,0.468,0.327,0.795,31,0.303,0.2
44,강백호,KT,0.29,138,585,527,108,153,32,2,29,276,84,0,3,52,0,3,124,4,0.524,0.356,0.88,44,0.308,0.3
45,김하성,키움,0.288,129,576,511,95,147,27,4,20,242,84,1,5,54,2,5,81,16,0.474,0.358,0.832,43,0.239,0.5
46,한동민,SK,0.284,136,562,486,97,138,31,0,41,292,115,0,8,52,3,16,124,10,0.601,0.367,0.968,40,0.286,0.444
47,노진혁,NC,0.283,125,458,420,52,119,21,4,11,181,42,1,2,33,0,2,92,8,0.431,0.337,0.768,35,0.272,0.25
48,김민성,키움,0.283,128,465,413,46,117,24,0,10,171,45,1,5,40,3,6,80,6,0.414,0.351,0.765,24,0.231,0.471
49,오재일,두산,0.279,123,477,401,69,112,19,2,27,216,80,0,10,60,2,6,121,3,0.539,0.373,0.912,29,0.215,0
50,오지환,LG,0.278,144,617,533,93,148,26,2,11,211,71,12,6,59,3,7,146,6,0.396,0.354,0.75,40,0.357,0
51,김성현,SK,0.277,135,462,415,51,115,19,1,4,148,55,6,3,29,0,9,42,19,0.357,0.336,0.693,30,0.333,0
52,윤석민,KT,0.276,132,509,460,58,127,22,0,19,206,60,2,3,40,2,4,69,17,0.448,0.337,0.785,28,0.22,0.6
53,김혜성,키움,0.27,136,473,430,79,116,15,6,5,158,45,3,2,33,1,5,119,6,0.367,0.328,0.695,28,0.333,0
54,강민호,삼성,0.269,129,477,427,46,115,14,0,22,195,71,0,7,29,5,14,96,11,0.457,0.331,0.788,32,0.225,0.273
55,번즈,롯데,0.268,133,505,462,80,124,34,5,23,237,64,1,0,33,2,9,133,8,0.513,0.329,0.842,34,0.23,0
56,양석환,LG,0.263,140,519,483,53,127,27,0,22,220,82,1,5,24,0,6,81,9,0.455,0.303,0.758,32,0.31,0.143
57,김상수,삼성,0.263,122,499,453,63,119,13,1,10,164,50,8,3,27,0,8,91,11,0.362,0.314,0.676,32,0.2,0
58,박경수,KT,0.262,135,528,458,65,120,21,0,25,216,74,0,3,58,2,9,129,16,0.472,0.354,0.826,28,0.288,0.4
59,스크럭스,NC,0.257,142,571,501,75,129,35,0,26,242,97,0,3,55,2,12,144,14,0.483,0.343,0.826,29,0.303,0
60,하주석,한화,0.254,141,517,484,67,123,20,3,9,176,52,1,0,28,0,4,130,7,0.364,0.3,0.664,31,0.267,1
61,김동엽,SK,0.252,124,446,421,58,106,15,0,27,202,76,1,3,17,0,4,108,13,0.48,0.285,0.765,26,0.33,0.286
62,최정,SK,0.244,115,489,406,95,99,16,1,35,222,74,0,2,58,2,23,129,10,0.547,0.368,0.915,23,0.235,0
