Rank,Player,Team,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,니퍼트,두산,2.95,28,22,3,0,0,0.88,167 2/3,151,15,57,9,142,61,55,1.24,2.95,1,1,19,0,701,2737,0.243,19,3,7,6,0,8,0
2,장원준,두산,3.32,27,15,6,0,0,0.714,168,161,14,76,9,137,66,62,1.41,3.32,0,0,19,0,727,2914,0.255,23,6,7,4,0,8,0
3,헥터,KIA,3.4,31,15,5,0,0,0.75,206 2/3,211,7,51,6,139,88,78,1.27,3.4,3,1,21,0,868,3334,0.268,34,3,13,12,0,7,0
4,켈리,SK,3.68,31,9,8,0,0,0.529,200 1/3,205,15,60,7,152,91,82,1.32,3.68,0,0,20,0,846,3090,0.268,35,3,11,3,0,8,2
4,양현종,KIA,3.68,31,10,12,0,0,0.455,200 1/3,191,19,77,2,146,96,82,1.34,3.68,3,0,22,0,850,3207,0.255,31,2,16,5,0,6,2
6,보우덴,두산,3.8,30,18,7,0,0,0.72,180,159,17,54,6,160,83,76,1.18,3.8,1,1,17,0,742,3068,0.239,24,2,12,4,0,8,2
7,신재영,키움,3.9,30,15,7,0,0,0.682,168 2/3,192,19,21,11,99,76,73,1.26,3.9,0,0,11,0,718,2655,0.286,35,6,7,8,0,2,1
8,류제국,LG,4.3,29,13,11,0,0,0.542,161 1/3,152,14,70,21,138,83,77,1.38,4.3,1,1,14,0,701,2743,0.255,25,0,5,8,0,13,0
9,레일리,롯데,4.34,31,8,10,0,0,0.444,184 2/3,207,21,51,17,147,105,89,1.4,4.34,1,1,16,0,808,3052,0.286,36,4,8,7,1,5,2
10,윤성환,삼성,4.35,28,11,10,0,0,0.524,180,202,25,41,13,85,95,87,1.35,4.35,1,0,16,0,767,2786,0.29,35,3,11,6,0,6,1
11,유희관,두산,4.41,30,15,6,0,0,0.714,185 2/3,212,22,58,6,102,95,91,1.45,4.41,0,0,15,0,809,3052,0.294,39,3,12,11,0,5,0
12,피어밴드,KT,4.45,31,7,13,0,0,0.35,182,231,23,48,10,144,97,90,1.53,4.45,0,0,16,0,803,3109,0.319,39,1,13,8,0,6,3
13,스튜어트,NC,4.56,27,12,8,0,0,0.6,150,160,11,55,8,118,79,76,1.43,4.56,0,0,12,0,653,2489,0.277,20,0,7,5,1,4,0
14,차우찬,삼성,4.73,24,12,6,0,0,0.667,152 1/3,168,16,65,8,120,87,80,1.53,4.73,1,0,16,0,671,2681,0.29,30,2,10,9,0,5,0
15,소사,LG,5.16,33,10,9,0,0,0.526,199,258,12,38,9,107,121,114,1.49,5.16,0,0,17,0,870,3166,0.319,47,8,11,4,2,6,0
16,지크,KIA,5.27,30,10,13,0,0,0.435,152,188,16,68,5,125,104,89,1.68,5.27,0,0,11,0,705,2819,0.306,30,1,9,9,0,5,1
17,린드블럼,롯데,5.28,30,10,13,0,0,0.435,177 1/3,197,28,77,9,148,109,104,1.55,5.28,1,0,13,0,791,3106,0.283,36,6,6,4,0,7,0
,,한화,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
