Team,W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF
BOS,108,54,0.667,-,57-24,51-30,876,647,229
HOU,103,59,0.636,5,46-35,57-24,797,534,263
NYY,100,62,0.617,8,53-28,47-34,851,669,182
OAK,97,65,0.599,11,50-31,47-34,813,674,139
MIL,96,67,0.589,12.5,51-30,45-37,754,659,95
CHC,95,68,0.583,13.5,51-31,44-37,761,645,116
LAD,92,71,0.564,16.5,45-37,47-34,804,610,194
CLE,91,71,0.562,17,49-32,42-39,818,648,170
COL,91,72,0.558,17.5,47-34,44-38,780,745,35
ATL,90,72,0.556,18,43-38,47-34,759,657,102
TB,90,72,0.556,18,51-30,39-42,716,646,70
SEA,89,73,0.549,19,45-36,44-37,677,711,-34
STL,88,74,0.543,20,43-38,45-36,759,691,68
PIT,82,79,0.509,25.5,44-36,38-43,692,693,-1
WAS,82,80,0.506,26,41-40,41-40,771,682,89
ARZ,82,80,0.506,26,40-41,42-39,693,644,49
LAA,80,82,0.494,28,42-39,38-43,721,722,-1
PHI,80,82,0.494,28,49-32,31-50,677,728,-51
MIN,78,84,0.481,30,49-32,29-52,738,775,-37
NYM,77,85,0.475,31,37-44,40-41,676,707,-31
TOR,73,89,0.451,35,40-41,33-48,709,832,-123
SF,73,89,0.451,35,42-39,31-50,603,699,-96
TEX,67,95,0.414,41,34-47,33-48,737,848,-111
CIN,67,95,0.414,41,37-44,30-51,696,819,-123
SD,66,96,0.407,42,31-50,35-46,617,767,-150
DET,64,98,0.395,44,38-43,26-55,630,796,-166
MIA,63,98,0.391,44.5,38-43,25-55,589,809,-220
CHW,62,100,0.383,46,30-51,32-49,656,848,-192
KC,58,104,0.358,50,32-49,26-55,638,833,-195
BAL,47,115,0.29,61,28-53,19-62,622,892,-270
