Team,W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF
HOU,107,55,0.66,-,60-21,47-34,920,640,280
LAD,106,56,0.654,1,59-22,47-34,886,613,273
NYY,103,59,0.636,4,57-24,46-35,943,739,204
MIN,101,61,0.623,6,46-35,55-26,939,754,185
OAK,97,65,0.599,10,52-29,45-36,845,680,165
ATL,97,65,0.599,10,50-31,47-34,855,743,112
TB,96,66,0.593,11,48-33,48-33,769,656,113
WAS,93,69,0.574,14,50-31,43-38,873,724,149
CLE,93,69,0.574,14,49-32,44-37,769,657,112
STL,91,71,0.562,16,50-31,41-40,764,662,102
MIL,89,73,0.549,18,49-32,40-41,769,766,3
NYM,86,76,0.531,21,48-33,38-43,791,737,54
ARZ,85,77,0.525,22,44-37,41-40,813,743,70
BOS,84,78,0.519,23,38-43,46-35,901,828,73
CHC,84,78,0.519,23,51-30,33-48,814,717,97
PHI,81,81,0.5,26,45-36,36-45,774,794,-20
TEX,78,84,0.481,29,45-36,33-48,810,878,-68
SF,77,85,0.475,30,35-46,42-39,678,773,-95
CIN,75,87,0.463,32,41-40,34-47,701,711,-10
CHW,72,89,0.447,34.5,39-41,33-48,708,832,-124
LAA,72,90,0.444,35,38-43,34-47,769,868,-99
COL,71,91,0.438,36,43-38,28-53,835,958,-123
SD,70,92,0.432,37,36-45,34-47,682,789,-107
PIT,69,93,0.426,38,35-46,34-47,758,911,-153
SEA,68,94,0.42,39,35-46,33-48,758,893,-135
TOR,67,95,0.414,40,35-46,32-49,726,828,-102
KC,59,103,0.364,48,31-50,28-53,691,869,-178
MIA,57,105,0.352,50,30-51,27-54,615,808,-193
BAL,54,108,0.333,53,25-56,29-52,729,981,-252
DET,47,114,0.292,59.5,22-59,25-55,582,915,-333
