Team,W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF
CHC,103,58,0.64,-,57-24,46-34,808,556,252
WAS,95,67,0.586,8.5,50-31,45-36,763,612,151
TEX,95,67,0.586,8.5,53-28,42-39,765,757,8
CLE,94,67,0.584,9,53-28,41-39,777,676,101
BOS,93,69,0.574,10.5,47-34,46-35,878,694,184
LAD,91,71,0.562,12.5,53-28,38-43,725,638,87
BAL,89,73,0.549,14.5,50-31,39-42,744,715,29
TOR,89,73,0.549,14.5,46-35,43-38,759,666,93
NYM,87,75,0.537,16.5,44-37,43-38,671,617,54
SF,87,75,0.537,16.5,45-36,42-39,715,631,84
DET,86,75,0.534,17,45-35,41-40,750,721,29
STL,86,76,0.531,17.5,38-43,48-33,779,712,67
SEA,86,76,0.531,17.5,44-37,42-39,768,707,61
NYY,84,78,0.519,19.5,48-33,36-45,680,702,-22
HOU,84,78,0.519,19.5,43-38,41-40,724,701,23
KC,81,81,0.5,22.5,47-34,34-47,675,712,-37
MIA,79,82,0.491,24,40-40,39-42,655,682,-27
PIT,78,83,0.484,25,38-42,40-41,729,758,-29
CHW,78,84,0.481,25.5,45-36,33-48,686,715,-29
COL,75,87,0.463,28.5,42-39,33-48,845,860,-15
LAA,74,88,0.457,29.5,40-41,34-47,717,727,-10
MIL,73,89,0.451,30.5,41-40,32-49,671,733,-62
PHI,71,91,0.438,32.5,37-44,34-47,610,796,-186
ARZ,69,93,0.426,34.5,33-48,36-45,752,890,-138
OAK,69,93,0.426,34.5,34-47,35-46,653,761,-108
ATL,68,93,0.422,35,31-50,37-43,649,779,-130
TB,68,94,0.42,35.5,36-45,32-49,672,713,-41
SD,68,94,0.42,35.5,39-42,29-52,686,770,-84
CIN,68,94,0.42,35.5,38-43,30-51,716,854,-138
MIN,59,103,0.364,44.5,30-51,29-52,722,889,-167
