Team,W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF
WAS,98,64,0.605,-,50-31,48-33,731,594,137
CIN,97,65,0.599,1,50-31,47-34,669,588,81
NYY,95,67,0.586,3,51-30,44-37,804,668,136
ATL,94,68,0.58,4,48-33,46-35,700,600,100
OAK,94,68,0.58,4,50-31,44-37,713,614,99
SF,94,68,0.58,4,48-33,46-35,718,649,69
TEX,93,69,0.574,5,50-31,43-38,808,707,101
BAL,93,69,0.574,5,47-34,46-35,712,705,7
TB,90,72,0.556,8,46-35,44-37,697,577,120
LAA,89,73,0.549,9,46-35,43-38,767,699,68
STL,88,74,0.543,10,50-31,38-43,765,648,117
DET,88,74,0.543,10,50-31,38-43,726,670,56
LAD,86,76,0.531,12,45-36,41-40,637,597,40
CHW,85,77,0.525,13,45-36,40-41,748,676,72
MIL,83,79,0.512,15,49-32,34-47,776,733,43
PHI,81,81,0.5,17,40-41,41-40,684,680,4
ARZ,81,81,0.5,17,41-40,40-41,734,688,46
PIT,79,83,0.488,19,45-36,34-47,651,674,-23
SD,76,86,0.469,22,42-39,34-47,651,710,-59
SEA,75,87,0.463,23,40-41,35-46,619,651,-32
NYM,74,88,0.457,24,36-45,38-43,650,709,-59
TOR,73,89,0.451,25,41-40,32-49,716,784,-68
KC,72,90,0.444,26,37-44,35-46,676,746,-70
BOS,69,93,0.426,29,34-47,35-46,734,806,-72
MIA,69,93,0.426,29,38-43,31-50,609,724,-115
CLE,68,94,0.42,30,37-44,31-50,667,845,-178
MIN,66,96,0.407,32,31-50,35-46,701,832,-131
COL,64,98,0.395,34,35-46,29-52,758,890,-132
CHC,61,101,0.377,37,38-43,23-58,613,759,-146
HOU,55,107,0.34,43,35-46,20-61,583,794,-211
