Team,W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF
PHI,102,60,0.63,-,52-29,50-31,713,529,184
NYY,97,65,0.599,5,52-29,45-36,867,657,210
MIL,96,66,0.593,6,57-24,39-42,721,638,83
TEX,96,66,0.593,6,52-29,44-37,855,677,178
DET,95,67,0.586,7,50-31,45-36,787,711,76
ARZ,94,68,0.58,8,51-30,43-38,731,662,69
TB,91,71,0.562,11,47-34,44-37,707,614,93
STL,90,72,0.556,12,45-36,45-36,762,692,70
BOS,90,72,0.556,12,45-36,45-36,875,737,138
ATL,89,73,0.549,13,47-34,42-39,641,605,36
LAA,86,76,0.531,16,45-36,41-40,667,633,34
SF,86,76,0.531,16,46-35,40-41,570,578,-8
LAD,82,79,0.509,19.5,42-39,40-40,644,612,32
TOR,81,81,0.5,21,42-39,39-42,743,761,-18
WAS,80,81,0.497,21.5,44-36,36-45,624,643,-19
CLE,80,82,0.494,22,44-37,36-45,704,760,-56
CHW,79,83,0.488,23,36-45,43-38,654,706,-52
CIN,79,83,0.488,23,42-39,37-44,735,720,15
NYM,77,85,0.475,25,34-47,43-38,718,742,-24
OAK,74,88,0.457,28,43-38,31-50,645,679,-34
COL,73,89,0.451,29,38-43,35-46,735,774,-39
MIA,72,90,0.444,30,31-47,41-43,625,702,-77
PIT,72,90,0.444,30,36-45,36-45,610,712,-102
KC,71,91,0.438,31,40-41,31-50,730,762,-32
CHC,71,91,0.438,31,39-42,32-49,654,756,-102
SD,71,91,0.438,31,35-46,36-45,593,611,-18
BAL,69,93,0.426,33,39-42,30-51,708,860,-152
SEA,67,95,0.414,35,39-45,28-50,556,675,-119
MIN,63,99,0.389,39,33-48,30-51,619,804,-185
HOU,56,106,0.346,46,31-50,25-56,615,796,-181
