Year,Team,R,H,2B,3B,HR,RBI,BB,SF,OBP,SLG,OPS
2010,ARI,42.125,49.3125,17.5625,2.125,10.9375,40.625,34.9375,2.25,0.3119375,0.3916875,0.703625
2010,ATL,42.625,55.3125,18.3125,1.5,8.4375,42.0,37.1875,2.125,0.34850000000000003,0.4151875,0.7636875000000001
2010,BAL,32.05263157894737,53.10526315789474,13.68421052631579,1.105263157894737,7.0,30.0,22.05263157894737,2.3684210526315788,0.3000526315789474,0.36499999999999994,0.6650526315789473
2010,BOS,39.85,44.8,17.55,1.1,10.45,38.3,28.35,2.1,0.31880000000000003,0.41795,0.73675
2010,CHC,40.875,55.3125,17.8125,1.6875,9.1875,38.6875,28.0625,2.3125,0.31975,0.39543750000000005,0.7151875000000001
2010,CIN,49.93333333333333,61.93333333333333,18.8,1.8666666666666667,12.0,48.4,33.666666666666664,3.2666666666666666,0.34426666666666667,0.4375333333333334,0.7818
2010,CLE,29.0,41.54545454545455,13.136363636363637,0.9090909090909091,5.681818181818182,27.0,24.545454545454547,1.5,0.31018181818181817,0.3625909090909091,0.6727727272727273
2010,COL,48.6,60.13333333333333,16.933333333333334,3.533333333333333,11.466666666666667,47.86666666666667,37.8,3.066666666666667,0.34393333333333337,0.4235333333333333,0.7674666666666666
2010,CWS,46.125,61.875,16.0,1.3125,10.9375,43.8125,28.25,2.375,0.3276875,0.4214375,0.749125
2010,DET,41.5,56.44444444444444,17.0,1.7777777777777777,8.444444444444445,39.72222222222222,30.27777777777778,2.2777777777777777,0.32411111111111107,0.40194444444444444,0.7260555555555556
2010,FLA,40.23529411764706,50.529411764705884,16.176470588235293,1.8823529411764706,8.647058823529411,37.76470588235294,28.705882352941178,2.4705882352941178,0.32047058823529406,0.39300000000000007,0.7134705882352943
2010,HOU,32.27777777777778,50.44444444444444,13.222222222222221,1.3888888888888888,5.888888888888889,30.88888888888889,21.61111111111111,1.4444444444444444,0.2965,0.3441111111111111,0.640611111111111
2010,KC,36.27777777777778,59.5,15.0,1.7222222222222223,6.333333333333333,34.0,25.72222222222222,2.8333333333333335,0.32549999999999996,0.3899444444444444,0.7154444444444444
2010,LAA,41.375,56.0,16.75,1.0625,9.5625,39.9375,28.25,2.25,0.3015625,0.377625,0.6791874999999999
2010,LAD,34.77777777777778,49.833333333333336,14.333333333333334,1.5,6.555555555555555,33.0,28.0,2.5555555555555554,0.33027777777777767,0.38905555555555554,0.7193333333333333
2010,MIL,44.8125,56.625,17.5,2.0,11.125,42.5625,33.125,2.0625,0.32512500000000005,0.40518750000000003,0.7303124999999999
2010,MIN,47.875,62.375,19.5,2.5625,8.6875,45.75,34.4375,3.125,0.332125,0.4089999999999999,0.7411250000000001
2010,NYM,32.68421052631579,45.0,13.105263157894736,2.1052631578947367,6.473684210526316,31.0,25.105263157894736,2.9473684210526314,0.30426315789473685,0.3593684210526316,0.6636315789473684
2010,NYY,49.1764705882353,55.8235294117647,15.705882352941176,1.8823529411764706,11.764705882352942,47.529411764705884,38.294117647058826,2.588235294117647,0.3384705882352941,0.3976470588235294,0.7361176470588238
2010,OAK,32.3,47.7,13.35,1.5,5.25,30.05,25.35,2.55,0.3074,0.3663,0.6737
2010,PHI,45.375,56.8125,17.5625,2.125,9.9375,44.0625,33.9375,2.6875,0.3264999999999999,0.40875000000000006,0.7352499999999998
2010,PIT,33.11764705882353,48.588235294117645,15.705882352941176,1.411764705882353,7.411764705882353,32.529411764705884,25.764705882352942,1.8235294117647058,0.298764705882353,0.3642941176470589,0.6630588235294117
2010,SD,37.11764705882353,52.23529411764706,13.294117647058824,1.411764705882353,7.705882352941177,35.64705882352941,30.352941176470587,2.5294117647058822,0.31670588235294117,0.3769411764705882,0.6936470588235294
2010,SEA,28.176470588235293,51.8235294117647,12.294117647058824,0.9411764705882353,5.764705882352941,27.294117647058822,24.58823529411765,2.176470588235294,0.29211764705882354,0.3468823529411764,0.6390000000000001
2010,SF,34.0,44.75,14.1,1.45,8.1,32.2,23.9,2.05,0.3189,0.3964,0.7152999999999999
2010,STL,39.166666666666664,52.166666666666664,14.944444444444445,1.0,8.11111111111111,36.05555555555556,28.944444444444443,2.1666666666666665,0.31977777777777777,0.38227777777777777,0.7020555555555554
2010,TB,48.25,51.6875,18.125,2.25,9.375,45.75,39.875,3.375,0.323625,0.3805625,0.7041875
2010,TEX,40.578947368421055,56.63157894736842,14.0,1.3157894736842106,8.526315789473685,38.36842105263158,26.31578947368421,2.789473684210526,0.328,0.3996315789473684,0.7276315789473685
2010,TOR,49.6,50.06666666666667,20.933333333333334,1.4,16.866666666666667,48.13333333333333,30.866666666666667,2.2666666666666666,0.3075333333333333,0.4368666666666666,0.7444000000000001
2010,WAS,39.9375,55.375,15.125,1.875,9.1875,38.125,30.75,2.875,0.31606249999999997,0.3913125,0.707375
2011,ARI,37.833333333333336,43.666666666666664,15.277777777777779,2.0555555555555554,8.61111111111111,34.72222222222222,27.38888888888889,1.8333333333333333,0.3147777777777778,0.3969444444444445,0.7117222222222221
2011,ATL,41.142857142857146,57.57142857142857,16.0,0.9285714285714286,12.071428571428571,40.785714285714285,32.714285714285715,2.0714285714285716,0.32057142857142856,0.3985,0.7190714285714286
2011,BAL,36.578947368421055,49.421052631578945,14.157894736842104,0.6842105263157895,10.0,35.526315789473685,23.473684210526315,2.263157894736842,0.30394736842105263,0.37594736842105264,0.6798947368421052
2011,BOS,53.5,62.25,21.6875,2.1875,12.4375,51.5625,35.5,3.0625,0.33381249999999996,0.43599999999999994,0.7698125000000001
