Year,Team,IP,K,ERA,WHIP
2010,ARI,86.28571428571429,65.35714285714286,4.9592857142857145,1.5050000000000001
2010,ATL,99.80000000000001,77.25,4.05,1.3166666666666667
2010,BAL,90.84666666666665,63.53333333333333,4.292,1.4073333333333335
2010,BOS,108.39166666666667,89.16666666666667,4.3475,1.376666666666667
2010,CHC,84.47500000000001,75.5,4.584999999999999,1.44
2010,CIN,77.84444444444445,60.77777777777778,4.058333333333334,1.3516666666666666
2010,CLE,78.45882352941176,51.1764705882353,4.3494117647058825,1.4411764705882353
2010,COL,86.60624999999997,74.25,4.329999999999999,1.385
2010,CWS,98.07857142857144,77.07142857142857,4.090714285714285,1.4328571428571426
2010,DET,87.77499999999999,64.4375,4.512500000000001,1.455
2010,FLA,88.05333333333336,71.4,4.24,1.4086666666666667
2010,HOU,85.71249999999998,72.75,4.244375,1.4431250000000002
2010,KC,76.48823529411766,53.529411764705884,5.328235294117646,1.5023529411764704
2010,LAA,90.67333333333332,70.73333333333333,4.122000000000001,1.4533333333333334
2010,LAD,81.77499999999999,70.125,4.764374999999999,1.400625
2010,MIL,84.58749999999999,73.375,4.583125,1.436875
2010,MIN,99.17857142857144,71.64285714285714,4.058571428571429,1.3114285714285714
2010,NYM,79.86666666666666,60.77777777777778,4.025,1.415
2010,NYY,100.16153846153846,80.46153846153847,4.251538461538462,1.3523076923076922
2010,OAK,86.94666666666667,63.4,3.7760000000000002,1.314
2010,PHI,100.70000000000002,80.53846153846153,3.8046153846153845,1.2992307692307692
2010,PIT,75.94705882352942,54.88235294117647,4.734117647058824,1.4470588235294117
2010,SD,122.86666666666666,103.22222222222223,3.881111111111111,1.3033333333333335
2010,SEA,85.55,57.4375,4.210625,1.3375
2010,SF,104.33333333333333,94.83333333333333,3.6683333333333334,1.3416666666666666
2010,STL,83.8941176470588,63.529411764705884,3.972352941176471,1.3599999999999999
2010,TB,108.75833333333331,86.58333333333333,3.960833333333334,1.2925
2010,TEX,90.9,72.93333333333334,3.9579999999999997,1.3213333333333332
2010,TOR,84.625,70.3125,4.2575,1.3800000000000001
2010,WAS,69.575,51.75,3.9675,1.3424999999999998
2011,ARI,84.26875,61.4375,4.125,1.3650000000000002
2011,ATL,95.36923076923077,84.38461538461539,3.588461538461538,1.2661538461538462
2011,BAL,82.75333333333334,57.53333333333333,4.83,1.4726666666666668
2011,BOS,85.71874999999999,71.3125,4.298125,1.3187499999999999
2011,CHC,92.03333333333333,79.26666666666667,4.3919999999999995,1.4193333333333336
