,R,TH,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,PCT
0,34.4,65.35,40.2,14.55,1.7,8.9,33.25,4.25,2.05,28.75,70.3,0.8,1.9,1.85,0.2347,0.30825,0.38075000000000003,0.689,0.599
1,33.333333333333336,63.95238095238095,42.23809523809524,14.047619047619047,1.1428571428571428,6.523809523809524,32.095238095238095,2.9047619047619047,1.3333333333333333,28.428571428571427,46.714285714285715,1.5238095238095237,1.619047619047619,2.2857142857142856,0.22723809523809524,0.34623809523809523,0.3771428571428571,0.7233809523809525,0.593
2,27.863636363636363,65.4090909090909,46.40909090909091,12.0,0.9545454545454546,6.045454545454546,26.227272727272727,3.4545454545454546,1.5454545454545454,19.227272727272727,47.63636363636363,1.4090909090909092,2.0454545454545454,2.4545454545454546,0.23745454545454542,0.2852727272727273,0.345,0.6302727272727272,0.586
3,27.233333333333334,50.2,30.533333333333335,11.9,0.7333333333333333,7.033333333333333,26.0,2.2666666666666666,0.5666666666666667,19.5,37.833333333333336,0.8,1.5,1.5666666666666667,0.21220000000000003,0.27426666666666666,0.34703333333333336,0.6213,0.58
4,31.952380952380953,65.42857142857143,43.142857142857146,13.952380952380953,1.2857142857142858,7.0476190476190474,30.428571428571427,2.619047619047619,1.4761904761904763,22.19047619047619,52.904761904761905,0.7619047619047619,1.7619047619047619,2.3333333333333335,0.2523809523809523,0.3221904761904762,0.38004761904761913,0.7022380952380953,0.568
5,36.666666666666664,69.38095238095238,45.476190476190474,13.714285714285714,1.380952380952381,8.80952380952381,35.142857142857146,4.428571428571429,2.0476190476190474,24.333333333333332,51.476190476190474,1.3333333333333333,2.3333333333333335,3.1904761904761907,0.28571428571428564,0.34076190476190477,0.4774761904761905,0.8182380952380954,0.562
6,26.916666666666668,56.708333333333336,38.458333333333336,12.083333333333334,0.8333333333333334,5.333333333333333,25.041666666666668,3.7916666666666665,1.375,22.708333333333332,48.958333333333336,1.4166666666666667,1.375,2.6666666666666665,0.24512500000000007,0.3143333333333333,0.37899999999999995,0.6933333333333334,0.562
7,37.35,70.55,46.2,13.0,2.7,8.65,36.15,4.95,2.1,28.7,58.2,1.2,2.3,2.3,0.25254999999999994,0.3276,0.39105,0.71865,0.556
8,37.6,73.25,50.2,13.15,1.05,8.85,35.5,8.0,3.7,23.3,45.6,2.4,1.9,3.95,0.2555,0.33055,0.41059999999999997,0.74115,0.556
9,35.76190476190476,72.14285714285714,48.714285714285715,14.666666666666666,1.5238095238095237,7.238095238095238,34.142857142857146,3.2857142857142856,1.4285714285714286,26.0,54.142857142857146,1.8571428571428572,1.9523809523809523,1.9523809523809523,0.25600000000000006,0.3098095238095238,0.3823333333333333,0.6921428571428572,0.5489999999999999
10,28.4,54.8,35.68,11.56,1.48,6.08,27.0,3.68,1.04,20.12,49.88,0.44,1.72,2.16,0.23099999999999998,0.29719999999999996,0.36856,0.6657600000000001,0.5429999999999999
11,25.0,54.291666666666664,38.541666666666664,10.25,1.0416666666666667,4.458333333333333,23.666666666666668,4.166666666666667,1.5,17.0,38.625,1.1666666666666667,1.125,1.3333333333333333,0.20862500000000003,0.2735,0.2992916666666667,0.5727916666666666,0.531
12,33.05,75.4,54.45,13.55,1.55,5.85,31.2,5.7,2.5,23.2,43.45,2.0,2.6,1.7,0.2629,0.31920000000000004,0.38625,0.70545,0.525
13,27.08,54.44,36.44,11.04,0.76,6.2,26.24,4.16,2.08,18.56,42.4,1.64,1.48,2.08,0.20687999999999998,0.25864,0.3308,0.5894400000000001,0.512
14,26.5,54.833333333333336,37.833333333333336,10.833333333333334,1.1666666666666667,5.0,25.041666666666668,3.7083333333333335,2.0416666666666665,21.208333333333332,43.333333333333336,1.2083333333333333,2.0,1.875,0.22558333333333333,0.3011666666666666,0.334125,0.6352916666666666,0.5
15,37.89473684210526,73.84210526315789,47.94736842105263,14.789473684210526,1.736842105263158,9.368421052631579,36.0,4.2105263157894735,1.368421052631579,27.94736842105263,57.8421052631579,0.8421052631578947,1.736842105263158,4.052631578947368,0.23900000000000002,0.3016315789473685,0.3738421052631579,0.6754736842105262,0.5
16,37.19047619047619,72.28571428571429,48.42857142857143,15.142857142857142,1.9523809523809523,6.761904761904762,35.666666666666664,3.238095238095238,1.3333333333333333,26.61904761904762,45.61904761904762,1.5714285714285714,2.5238095238095237,1.8571428571428572,0.2529047619047619,0.31390476190476185,0.4005238095238095,0.7144285714285716,0.494
17,23.703703703703702,48.51851851851852,32.81481481481482,9.518518518518519,1.4814814814814814,4.703703703703703,22.555555555555557,4.814814814814815,1.6296296296296295,18.074074074074073,36.888888888888886,1.3703703703703705,2.111111111111111,1.7037037037037037,0.2242962962962963,0.29022222222222227,0.33829629629629626,0.6285185185185185,0.494
18,39.04545454545455,67.4090909090909,44.31818181818182,12.5,1.4545454545454546,9.136363636363637,37.40909090909091,4.681818181818182,1.3636363636363635,30.0,51.31818181818182,1.2272727272727273,2.0,3.3181818181818183,0.2428181818181818,0.32427272727272727,0.37672727272727274,0.7010000000000001,0.494
19,25.5,53.65384615384615,37.69230769230769,10.615384615384615,1.1538461538461537,4.1923076923076925,23.807692307692307,6.0,1.4615384615384615,20.26923076923077,40.46153846153846,1.5,1.9615384615384615,1.8076923076923077,0.23811538461538462,0.3087692307692308,0.3560769230769232,0.6648461538461538,0.488
