Year,Team,R,H,2B,HR,RBI,BB,SF,OPS
2010,ARI,34.4,40.2,14.55,8.9,33.25,28.75,1.9,0.689
2010,ATL,33.333333333333336,42.23809523809524,14.047619047619047,6.523809523809524,32.095238095238095,28.428571428571427,1.619047619047619,0.7233809523809525
2010,BAL,27.863636363636363,46.40909090909091,12.0,6.045454545454546,26.227272727272727,19.227272727272727,2.0454545454545454,0.6302727272727272
2010,BOS,27.233333333333334,30.533333333333335,11.9,7.033333333333333,26.0,19.5,1.5,0.6213
2010,CHC,31.952380952380953,43.142857142857146,13.952380952380953,7.0476190476190474,30.428571428571427,22.19047619047619,1.7619047619047619,0.7022380952380953
2010,CIN,36.666666666666664,45.476190476190474,13.714285714285714,8.80952380952381,35.142857142857146,24.333333333333332,2.3333333333333335,0.8182380952380954
2010,CLE,26.916666666666668,38.458333333333336,12.083333333333334,5.333333333333333,25.041666666666668,22.708333333333332,1.375,0.6933333333333334
2010,COL,37.35,46.2,13.0,8.65,36.15,28.7,2.3,0.71865
2010,CWS,37.6,50.2,13.15,8.85,35.5,23.3,1.9,0.74115
2010,DET,35.76190476190476,48.714285714285715,14.666666666666666,7.238095238095238,34.142857142857146,26.0,1.9523809523809523,0.6921428571428572
2010,FLA,28.4,35.68,11.56,6.08,27.0,20.12,1.72,0.6657600000000001
2010,HOU,25.0,38.541666666666664,10.25,4.458333333333333,23.666666666666668,17.0,1.125,0.5727916666666666
2010,KC,33.05,54.45,13.55,5.85,31.2,23.2,2.6,0.70545
2010,LAA,27.08,36.44,11.04,6.2,26.24,18.56,1.48,0.5894400000000001
2010,LAD,26.5,37.833333333333336,10.833333333333334,5.0,25.041666666666668,21.208333333333332,2.0,0.6352916666666666
2010,MIL,37.89473684210526,47.94736842105263,14.789473684210526,9.368421052631579,36.0,27.94736842105263,1.736842105263158,0.6754736842105262
2010,MIN,37.19047619047619,48.42857142857143,15.142857142857142,6.761904761904762,35.666666666666664,26.61904761904762,2.5238095238095237,0.7144285714285716
2010,NYM,23.703703703703702,32.81481481481482,9.518518518518519,4.703703703703703,22.555555555555557,18.074074074074073,2.111111111111111,0.6285185185185185
2010,NYY,39.04545454545455,44.31818181818182,12.5,9.136363636363637,37.40909090909091,30.0,2.0,0.7010000000000001
2010,OAK,25.5,37.69230769230769,10.615384615384615,4.1923076923076925,23.807692307692307,20.26923076923077,1.9615384615384615,0.6648461538461538
2010,PHI,35.666666666666664,43.95238095238095,13.571428571428571,7.904761904761905,34.57142857142857,26.238095238095237,2.0476190476190474,0.7099523809523808
2010,PIT,24.041666666666668,35.541666666666664,11.375,5.25,23.5,18.875,1.375,0.662125
2010,SD,32.15,45.3,11.4,6.55,30.6,26.25,2.2,0.65715
2010,SEA,20.375,37.833333333333336,9.041666666666666,4.125,19.666666666666668,18.083333333333332,1.5416666666666667,0.5959583333333335
2010,SF,31.09090909090909,40.90909090909091,12.818181818181818,7.363636363636363,29.318181818181817,21.818181818181817,1.8636363636363635,0.7090909090909091
2010,STL,31.17391304347826,42.0,11.956521739130435,6.434782608695652,29.043478260869566,22.91304347826087,1.7391304347826086,0.7323478260869564
2010,TB,41.421052631578945,44.05263157894737,15.368421052631579,8.052631578947368,39.26315789473684,34.05263157894737,2.8421052631578947,0.6917894736842105
2010,TEX,30.153846153846153,42.23076923076923,10.26923076923077,6.230769230769231,28.384615384615383,19.653846153846153,2.076923076923077,0.6386538461538461
2010,TOR,37.7,38.3,15.9,12.85,36.55,23.5,1.7,0.67395
2010,WAS,34.1578947368421,47.21052631578947,12.736842105263158,7.7894736842105265,32.526315789473685,26.157894736842106,2.4210526315789473,0.6831052631578947
2011,ARI,27.384615384615383,31.115384615384617,10.961538461538462,6.461538461538462,25.692307692307693,19.807692307692307,1.2692307692307692,0.701076923076923
2011,ATL,26.08695652173913,37.08695652173913,10.0,7.391304347826087,25.347826086956523,20.565217391304348,1.3043478260869565,0.6518695652173913
2011,BAL,30.652173913043477,41.34782608695652,11.782608695652174,8.26086956521739,29.608695652173914,19.652173913043477,1.8695652173913044,0.6454782608695652
2011,BOS,38.04347826086956,43.91304347826087,15.26086956521739,8.826086956521738,36.56521739130435,25.130434782608695,2.1739130434782608,0.6908695652173913
2011,CHC,31.95,46.1,14.1,7.3,30.15,20.95,1.75,0.6710499999999999
2011,CIN,33.857142857142854,44.476190476190474,12.095238095238095,8.619047619047619,32.523809523809526,25.142857142857142,1.9047619047619047,0.7169047619047619
2011,CLE,29.291666666666668,37.791666666666664,12.083333333333334,6.416666666666667,27.916666666666668,20.583333333333332,1.7916666666666667,0.6687500000000001
2011,COL,27.692307692307693,35.15384615384615,10.23076923076923,6.153846153846154,26.03846153846154,21.115384615384617,1.6538461538461537,0.6915769230769231
2011,CWS,32.7,48.25,12.55,7.7,31.25,23.65,2.3,0.6773
2011,DET,39.35,51.95,14.85,8.45,37.5,26.05,2.9,0.7176500000000001
2011,FLA,26.434782608695652,37.91304347826087,11.652173913043478,6.478260869565218,25.304347826086957,22.956521739130434,1.826086956521739,0.6201739130434781
2011,HOU,25.47826086956522,41.608695652173914,12.869565217391305,4.043478260869565,24.26086956521739,16.434782608695652,1.5217391304347827,0.6437391304347825
2011,KC,36.5,53.25,16.25,6.45,35.2,22.1,2.85,0.69815
2011,LAA,31.714285714285715,43.42857142857143,13.761904761904763,7.380952380952381,29.904761904761905,21.047619047619047,1.5238095238095237,0.6114761904761904
2011,LAD,24.03846153846154,37.5,8.923076923076923,4.461538461538462,23.03846153846154,18.46153846153846,1.6538461538461537,0.5954230769230769
