,IP,H,K,BB,HR,ERA,WHIP,PCT
0,50.96785714285714,53.67857142857143,38.214285714285715,19.571428571428573,7.5,6.366428571428572,1.735714285714286,0.599
1,68.29523809523809,63.142857142857146,59.095238095238095,24.047619047619047,6.0,5.517142857142857,1.5571428571428574,0.593
2,62.16521739130434,65.56521739130434,43.78260869565217,22.608695652173914,8.08695652173913,5.522608695652174,1.6069565217391304,0.586
3,63.04347826086956,60.869565217391305,52.43478260869565,25.217391304347824,6.565217391304348,6.027826086956524,1.7508695652173913,0.58
4,62.26086956521739,61.26086956521739,55.130434782608695,26.304347826086957,6.695652173913044,5.504782608695651,1.5973913043478263,0.568
5,62.869565217391305,61.04347826086956,49.130434782608695,22.782608695652176,6.869565217391305,3.907826086956522,1.3182608695652174,0.562
6,67.99047619047619,70.33333333333333,46.0,27.238095238095237,7.0,4.430952380952381,1.4752380952380955,0.562
7,62.482608695652154,61.08695652173913,53.65217391304348,22.82608695652174,6.043478260869565,4.2043478260869565,1.4660869565217391,0.556
8,72.095,73.55,57.45,24.5,6.8,4.604,1.4759999999999995,0.556
9,71.96000000000001,72.25,52.8,26.85,7.1,7.973500000000001,1.6329999999999998,0.5489999999999999
10,46.164516129032265,46.225806451612904,37.67741935483871,17.70967741935484,4.32258064516129,7.1980645161290315,2.025161290322581,0.5429999999999999
11,59.74583333333331,60.125,50.416666666666664,22.833333333333332,5.833333333333333,6.592083333333332,1.7091666666666667,0.531
12,57.16800000000001,62.12,41.4,22.04,7.04,6.319599999999999,1.7031999999999996,0.525
13,68.83809523809522,67.71428571428571,53.80952380952381,26.904761904761905,7.0476190476190474,3.97047619047619,1.4442857142857144,0.512
14,59.84583333333333,55.125,53.083333333333336,22.458333333333332,5.583333333333333,6.026666666666666,2.060416666666667,0.5
15,59.712499999999984,61.958333333333336,52.416666666666664,24.25,7.208333333333333,5.442083333333334,1.5170833333333331,0.5
16,68.91904761904763,71.0952380952381,49.904761904761905,18.238095238095237,7.380952380952381,4.22,1.4880952380952381,0.494
17,72.43999999999998,71.9,55.3,27.25,6.75,4.0085,1.4395000000000002,0.494
18,68.50476190476189,64.23809523809524,54.95238095238095,25.714285714285715,8.523809523809524,4.44,1.3480952380952382,0.494
19,61.98260869565217,57.17391304347826,46.52173913043478,22.26086956521739,6.6521739130434785,3.9899999999999998,1.3860869565217393,0.488
20,69.03809523809525,66.76190476190476,56.333333333333336,19.80952380952381,8.0,6.798571428571428,1.7414285714285718,0.475
21,50.125,55.964285714285715,36.642857142857146,19.214285714285715,5.964285714285714,7.059642857142857,1.725,0.469
22,76.41578947368421,68.6842105263158,68.15789473684211,27.210526315789473,7.315789473684211,3.8605263157894734,1.2763157894736843,0.46299999999999997
23,65.10909090909091,63.72727272727273,44.22727272727273,20.545454545454547,7.136363636363637,4.663181818181818,1.4486363636363637,0.426
24,76.71052631578948,67.3157894736842,70.05263157894737,30.42105263157895,7.052631578947368,3.7694736842105265,1.4142105263157894,0.426
25,76.07368421052631,74.05263157894737,57.578947368421055,24.894736842105264,7.0,4.408421052631579,1.4205263157894736,0.414
26,85.3176470588235,79.23529411764706,69.94117647058823,28.11764705882353,10.294117647058824,4.86529411764706,1.34,0.40700000000000003
27,65.91818181818182,61.59090909090909,53.68181818181818,25.045454545454547,7.363636363636363,5.656818181818181,1.6877272727272727,0.401
28,59.74583333333334,58.625,49.333333333333336,22.458333333333332,6.25,5.03,1.49125,0.377
29,55.00384615384615,56.5,41.07692307692308,19.692307692307693,5.8076923076923075,4.804615384615384,1.5023076923076923,0.35200000000000004
30,57.5,56.56,42.32,17.68,6.36,4.550800000000001,1.4944000000000002,0.63
31,70.27142857142856,63.42857142857143,63.42857142857143,24.80952380952381,5.9523809523809526,3.6776190476190473,1.3042857142857143,0.599
32,53.38148148148148,58.074074074074076,38.666666666666664,19.814814814814813,7.777777777777778,6.291111111111111,1.5962962962962963,0.593
33,55.8153846153846,52.5,46.65384615384615,20.692307692307693,6.0,4.807307692307692,1.393846153846154,0.593
34,64.96363636363637,65.4090909090909,55.63636363636363,26.363636363636363,7.363636363636363,4.376818181818181,1.4295454545454545,0.586
35,69.66666666666667,67.33333333333333,52.95238095238095,25.666666666666668,8.80952380952381,4.93,1.5533333333333332,0.58
36,65.82727272727271,67.36363636363636,46.54545454545455,21.045454545454547,6.954545454545454,4.679545454545455,1.415,0.562
37,49.758620689655174,50.724137931034484,38.55172413793103,18.0,6.068965517241379,4.966551724137931,1.5006896551724138,0.556
38,66.07727272727271,66.5,55.45454545454545,19.954545454545453,6.681818181818182,4.583636363636365,1.4586363636363635,0.556
39,57.37200000000001,56.24,44.6,19.68,5.96,5.206799999999999,1.5539999999999998,0.5489999999999999
40,69.20476190476191,66.80952380952381,58.0,23.761904761904763,7.095238095238095,4.962380952380952,1.5,0.531
41,62.20869565217392,64.21739130434783,51.78260869565217,24.347826086956523,8.173913043478262,6.3734782608695655,1.6582608695652177,0.531
42,65.72272727272725,67.54545454545455,49.09090909090909,25.318181818181817,7.409090909090909,5.045,1.5072727272727275,0.509
43,69.52857142857142,66.0952380952381,50.38095238095238,22.666666666666668,6.761904761904762,5.187142857142857,1.5852380952380951,0.5
44,67.8904761904762,61.285714285714285,60.23809523809524,24.142857142857142,6.285714285714286,4.2128571428571435,1.3738095238095238,0.4970000000000001
45,65.25454545454546,61.27272727272727,57.13636363636363,20.0,6.681818181818182,4.668636363636364,1.4586363636363637,0.494
46,61.504347826086935,67.91304347826087,40.869565217391305,20.82608695652174,7.0,4.76,1.5256521739130433,0.488
