
Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO
1,Jerry Blevins\blevije01,2019-04-28,Atlanta Braves,NYM,35,2.5,12,284,4,0,1,0,1,0,0,.250,.250,.250,.500,29,13,3.52,1.233,564,1,6,463.0,392,45,179,471
2,Gio Gonzalez\gonzagi01,2019-04-27,Milwaukee Brewers,MIL,33,9.0,11,203,385,15,36,3,17,0,8,.094,.120,.135,.255,127,97,3.69,1.316,313,307,0,1814.0,1628,156,759,1748
3,Cameron Maybin\maybica01,2019-04-25,New York Yankees,SEA,32,4.8,12,1039,3464,498,881,60,315,174,328,.254,.322,.368,.690,,,,,,,,,,,,
4,Logan Morrison\morrilo01,2019-04-19,New York Yankees,MIN,31,3.6,9,959,3271,408,782,137,421,23,387,.239,.325,.427,.752,,,,,,,,,,,,
5,Jeremy Bleich\bleicje01,2019-04-17,Boston Red Sox,OAK,32,-0.1,1,1,0,0,0,0,0,0,0,,,,,0,0,54.00,6.000,2,0,0,0.1,2,0,0,1
6,Dan Jennings\jennida01,2019-04-13,Washington Nationals,MIL,32,3.0,7,184,4,1,2,0,0,0,0,.500,.500,.750,1.250,16,18,2.96,1.404,382,1,2,344.0,333,24,150,272
7,Edwin Jackson\jacksed01,2019-04-11,Oakland Athletics,OAK,35,0.8,16,240,294,24,49,2,13,1,14,.167,.204,.201,.405,104,123,4.60,1.446,394,305,1,1892.1,1989,226,747,1456
8,Jesmuel Valentin\valenje01,2019-04-11,Baltimore Orioles,PHI,25,-0.8,1,46,79,8,14,1,6,0,8,.177,.258,.304,.562,0,0,27.00,4.000,1,0,0,1.0,2,1,2,1
9,Rob Refsnyder\refsnro01,2019-04-07,Cincinnati Reds,TBR,28,-0.7,4,166,367,46,80,4,22,8,47,.218,.308,.302,.610,,,,,,,,,,,,
10,Jorge De La Rosa\rosajo01,2019-04-05,Colorado Rockies,CHC,38,0.9,15,381,379,22,48,0,27,0,7,.127,.144,.137,.282,104,87,4.58,1.444,430,241,1,1522.2,1510,178,688,1273
11,Zach McAllister\mcallza01,2019-04-04,Los Angeles Dodgers,LAD,31,1.8,8,19,6,0,1,0,0,0,0,.167,.167,.167,.333,29,35,4.09,1.388,280,68,1,591.2,622,69,199,542
12,Brett Nicholas\nichobr01,2019-04-04,Chicago White Sox,SDP,30,-0.2,2,,,,,,,,,,,,,,,,,,,,,,,,
13,Cliff Pennington\pennicl01,2019-04-04,New York Yankees,TEX,35,0.2,11,971,2799,324,678,36,242,84,266,.242,.309,.339,.648,0,0,9.00,3.000,1,0,0,1.0,1,0,2,1
14,Junichi Tazawa\tazawju01,2019-04-04,Chicago Cubs,LAA,33,-1.3,9,90,1,0,0,0,0,0,0,.000,.000,.000,.000,21,26,4.12,1.320,388,4,4,395.1,413,49,109,374
15,Ryan Flaherty\flahery01,2019-04-01,Cleveland Indians,ATL,32,-0.6,7,533,1303,148,281,37,141,10,112,.216,.286,.347,.633,,,,,,,,,,,,
16,Anthony Bass\bassan01,2019-03-28,Cincinnati Reds,CHC,31,-0.1,7,89,38,3,4,0,6,1,0,.105,.105,.158,.263,5,9,4.51,1.406,147,18,3,299.1,311,30,110,202
17,Jake Elmore\elmorja01,2019-03-28,Pittsburgh Pirates,CHW,32,-0.6,5,197,418,34,90,4,33,4,48,.215,.297,.280,.577,,,,,,,,,,,,
18,Bryan Holaday\holadbr01,2019-03-28,Miami Marlins,MIA,31,0.0,7,225,556,53,130,6,62,1,28,.234,.274,.320,.594,0,0,8.10,1.200,3,0,0,3.1,4,1,0,1
19,Adam Rosales\rosalad01,2019-03-28,Minnesota Twins,CLE,36,1.1,11,651,1621,186,367,48,179,17,135,.226,.291,.365,.656,,,,,,,,,,,,
20,Mason Williams\willima10,2019-03-28,Baltimore Orioles,CIN,27,-0.3,4,76,187,20,54,3,12,3,10,.289,.325,.396,.721,,,,,,,,,,,,
21,Eric Young Jr.\younger03,2019-03-28,Seattle Mariners,LAA,34,0.3,10,651,1725,275,422,13,112,162,147,.245,.312,.332,.643,,,,,,,,,,,,
22,Brandon Guyer\guyerbr01,2019-03-27,Chicago White Sox,CLE,33,1.3,7,517,1291,184,323,32,137,22,91,.250,.339,.388,.727,0,0,0.00,0.000,1,0,0,1.0,0,0,0,0
23,Dixon Machado\machadi01,2019-03-27,Chicago Cubs,DET,27,-1.1,4,172,458,44,104,2,37,3,34,.227,.285,.295,.579,,,,,,,,,,,,
24,Rene Rivera\riverre01,2019-03-27,New York Mets,ATL,35,1.0,10,506,1402,110,309,40,164,1,86,.220,.271,.353,.624,,,,,,,,,,,,
25,Jordan Patterson\pattejo03,2019-03-26,Toronto Blue Jays,CIN,27,0.1,2,,,,,,,,,,,,,,,,,,,,,,,,
26,John Axford\axforjo01,2019-03-25,Toronto Blue Jays,LAD,36,0.5,10,354,1,0,0,0,0,0,0,.000,.000,.000,.000,38,34,3.87,1.414,543,1,144,525.1,483,50,260,589
27,Drew Butera\buterdr01,2019-03-25,Colorado Rockies,COL,35,-0.5,9,497,1223,112,246,19,111,0,82,.201,.258,.299,.558,0,0,8.31,2.077,6,0,0,4.1,5,1,4,4
28,Alcides Escobar\escobal02,2019-03-25,Chicago White Sox,KCR,32,-0.1,11,1437,5307,605,1367,41,442,174,231,.258,.293,.343,.636,,,,,,,,,,,,
29,Daniel Hudson\hudsoda01,2019-03-25,Toronto Blue Jays,LAD,32,-1.0,9,282,108,7,24,1,21,0,5,.222,.261,.296,.557,40,32,3.99,1.270,310,60,9,619.2,591,63,196,545
30,Andrew Romine\rominan01,2019-03-25,Philadelphia Phillies,SEA,33,-1.1,9,581,1198,149,282,10,81,40,82,.235,.291,.301,.591,0,0,12.71,2.647,7,0,0,5.2,10,3,5,1
31,Tim Collins\colliti01,2019-03-24,Chicago Cubs,WSN,29,0.3,5,51,1,0,0,0,0,0,0,.000,.000,.000,.000,12,17,3.62,1.412,266,0,0,233.2,197,23,133,241
32,Justin Grimm\grimmju01,2019-03-24,Los Angeles Dodgers,SEA,30,-1.6,7,249,7,0,0,0,0,0,0,.000,.000,.000,.000,20,23,4.98,1.402,306,19,4,356.0,345,44,154,361
33,Matthew Joyce\joycema01,2019-03-24,Atlanta Braves,OAK,34,3.5,11,1182,3336,483,802,138,459,34,489,.240,.339,.431,.770,,,,,,,,,,,,
34,Alex Wilson\wilsoal01,2019-03-24,Milwaukee Brewers,DET,32,3.4,6,20,0,0,0,0,0,0,0,,,,,13,13,3.23,1.188,290,1,4,320.2,300,28,81,213
35,Ruben Tejada\tejadru01,2019-03-23,New York Mets,BAL,29,-0.4,8,657,2110,224,530,10,158,16,202,.251,.325,.318,.643,,,,,,,,,,,,
36,Lucas Duda\dudalu01,2019-03-21,Kansas City Royals,ATL,33,1.6,9,919,2993,380,723,152,455,6,383,.242,.337,.452,.789,,,,,,,,,,,,
37,Josh Tomlin\tomlijo01,2019-03-21,Atlanta Braves,CLE,34,1.4,9,14,19,2,7,0,1,0,0,.368,.368,.421,.789,61,53,4.77,1.226,183,144,0,898.2,969,167,133,612
38,Carlos Gonzalez\gonzaca01,2019-03-19,Cleveland Indians,COL,33,2.4,11,1332,4888,800,1403,231,775,122,430,.287,.345,.506,.851,,,,,,,,,,,,
39,Jason Adam\adamja01,2019-03-17,Toronto Blue Jays,KCR,27,-0.3,1,1,0,0,0,0,0,0,0,,,,,0,3,6.12,1.392,31,0,0,32.1,30,9,15,37
40,Anthony Gose\gosean01,2019-03-17,Cleveland Indians,TEX,28,-0.2,6,,,,,,,,,,,,,,,,,,,,,,,,
41,Travis Taijeron\taijetr01,2019-03-16,New York Mets,LAD,30,-0.6,1,,,,,,,,,,,,,,,,,,,,,,,,
42,Chris Dominguez\dominch01,2019-03-14,Washington Nationals,WSN,32,,4,,,,,,,,,,,,,,,,,,,,,,,,
43,Tony Sipp\sippto01,2019-03-14,Washington Nationals,HOU,35,0.6,10,84,1,0,0,0,0,0,0,.000,.000,.000,.000,25,20,3.67,1.239,580,0,7,482.2,386,73,212,513
44,Tyler Goeddel\goeddty01,2019-03-13,Washington Nationals,LAD,26,-1.5,2,,,,,,,,,,,,,,,,,,,,,,,,
45,Collin Cowgill\cowgico01,2019-03-12,Washington Nationals,PHI,33,-0.2,7,,,,,,,,,,,,,,,,,,,,,,,,
46,Adam Jones\jonesad01,2019-03-11,Arizona Diamondbacks,BAL,33,4.1,13,1686,6524,897,1813,266,878,95,309,.278,.318,.456,.774,,,,,,,,,,,,
47,Martin Maldonado\maldoma01,2019-03-11,Kansas City Royals,HOU,32,2.9,8,612,1767,171,388,51,193,2,130,.220,.289,.350,.639,,,,,,,,,,,,
48,Cameron Rupp\ruppca01,2019-03-09,Detroit Tigers,SEA,30,2.1,5,,,,,,,,,,,,,,,,,,,,,,,,
49,Wilkin Castillo\castiwi01,2019-03-08,Miami Marlins,NYY,35,,2,22,35,6,11,0,2,0,1,.314,.333,.343,.676,,,,,,,,,,,,
50,Carlos Gomez\gomezca01,2019-03-07,New York Mets,TBR,33,2.3,12,1427,4638,665,1172,142,536,264,312,.253,.313,.412,.726,0,0,81.00,12.000,1,0,0,0.1,0,0,4,0
51,Bud Norris\norribu01,2019-03-07,Toronto Blue Jays,STL,34,0.8,10,227,204,10,32,0,12,0,7,.157,.191,.191,.382,67,90,4.45,1.396,355,188,47,1221.1,1220,156,485,1153
52,Clay Buchholz\buchhcl01,2019-03-05,Toronto Blue Jays,ARI,34,2.7,12,29,46,0,4,0,1,0,2,.087,.125,.109,.234,88,64,3.86,1.290,224,206,0,1273.1,1200,126,442,985
53,Bryce Harper\harpebr03,2019-03-02,Philadelphia Phillies,WSN,26,7.4,7,927,3306,610,922,184,521,75,585,.279,.388,.512,.900,,,,,,,,,,,,
54,Nick Vincent\vinceni01,2019-03-01,San Francisco Giants,SEA,32,2.3,7,169,2,0,0,0,0,0,0,.000,.000,.000,.000,20,17,3.17,1.108,352,1,4,332.0,286,29,82,332
55,Adam Warren\warread01,2019-03-01,San Diego Padres,SEA,31,2.0,7,49,6,0,0,0,0,0,0,.000,.000,.000,.000,26,23,3.42,1.221,298,21,6,463.2,407,47,159,403
56,Sean Nolin\nolinse01,2019-02-28,Chicago White Sox,COL,29,,5,,,,,,,,,,,,,,,,,,,,,,,,
57,Chris Rowley\rowlech01,2019-02-28,San Diego Padres,TEX,28,-0.6,2,0,0,0,0,0,0,0,0,,,,,1,3,7.91,1.914,8,3,0,19.1,26,5,11,11
58,Matt Wieters\wietema01,2019-02-27,St. Louis Cardinals,WSN,33,1.9,10,1081,3791,422,953,135,519,8,353,.251,.315,.410,.725,,,,,,,,,,,,
59,Logan Forsythe\forsylo01,2019-02-26,Texas Rangers,MIN,32,5.2,8,857,2769,349,686,63,266,40,295,.248,.327,.372,.700,,,,,,,,,,,,
60,Marwin Gonzalez\gonzama01,2019-02-25,Minnesota Twins,HOU,30,7.9,7,795,2466,303,650,76,292,37,179,.264,.318,.419,.737,,,,,,,,,,,,
61,Casey Coleman\colemca01,2019-02-24,New York Mets,CHC,31,,8,,,,,,,,,,,,,,,,,,,,,,,,
62,Damien Magnifico\magnida01,2019-02-24,Arizona Diamondbacks,PIT,28,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,
63,Tyler Clippard\clippty01,2019-02-23,Cleveland Indians,TOR,34,2.4,12,473,15,0,3,0,0,0,0,.200,.200,.267,.467,52,46,3.16,1.127,698,9,68,754.0,540,98,310,841
64,Josh Harrison\harrijo05,2019-02-23,Detroit Tigers,PIT,31,5.6,8,842,2787,363,773,52,269,75,120,.277,.317,.408,.725,,,,,,,,,,,,
65,Jose Iglesias\iglesjo01,2019-02-23,Cincinnati Reds,DET,29,5.3,7,656,2202,247,594,21,188,46,112,.270,.315,.363,.678,,,,,,,,,,,,
