Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO
1,Rafael Perez\perezra01,2013-05-23,Boston Red Sox,CLE,31,2.0,7,24,1,0,0,0,0,0,0,.000,.000,.000,.000,21,12,3.64,1.328,338,0,3,329.0,320,26,117,268
2,Cory Wade\wadeco01,2013-05-13,Tampa Bay Rays,TOR,30,0.5,4,86,2,0,0,0,0,0,1,.000,.333,.000,.333,11,6,3.65,1.120,161,0,0,177.2,158,23,41,137
3,Josh Judy\judyjo01,2013-05-02,Los Angeles Angels of Anaheim,CIN,27,-0.2,1,,,,,,,,,,,,,,,,,,,,,,,,
4,Corey Patterson\patteco01,2013-04-30,Seattle Mariners,MIL,33,0.5,12,,,,,,,,,,,,,,,,,,,,,,,,
5,Rob Delaney\delanro01,2013-04-28,Los Angeles Angels of Anaheim,MIA,28,-0.3,2,,,,,,,,,,,,,,,,,,,,,,,,
6,Chris Snyder\snydech02,2013-04-28,Baltimore Orioles,HOU,32,0.3,9,706,2067,227,465,77,297,0,305,.225,.329,.385,.714,,,,,,,,,,,,
7,Francisco Rodriguez\rodrifr03,2013-04-17,Milwaukee Brewers,MIL,31,3.4,11,279,2,0,1,0,0,0,0,.500,.500,.500,1.000,38,34,2.70,1.175,682,0,294,720.2,533,56,314,878
8,Cody Ransom\ransoco01,2013-04-16,Chicago Cubs,ARI,37,0.4,10,321,583,90,128,21,85,6,66,.220,.307,.395,.702,,,,,,,,,,,,
9,Kameron Loe\loeka01,2013-04-14,Chicago Cubs,MIL,31,0.5,8,193,5,1,1,0,0,0,1,.200,.333,.200,.533,32,40,4.36,1.418,302,47,4,542.1,595,52,174,342
10,Miguel Batista\batismi01,2013-04-09,Toronto Blue Jays,ATL,42,0.6,18,397,311,20,28,2,9,0,11,.090,.121,.125,.246,102,115,4.48,1.493,658,248,41,1956.1,2021,194,899,1250
11,Edgar Gonzalez\gonzaed01,2013-04-07,Toronto Blue Jays,HOU,30,0.1,9,87,72,1,12,0,3,0,2,.167,.200,.181,.381,17,26,5.84,1.546,113,47,0,350.0,419,59,122,226
12,Bill Hall\hallbi03,2013-04-06,Los Angeles Angels of Anaheim,BAL,33,0.4,11,1053,3334,450,827,125,440,62,286,.248,.308,.436,.744,,,,,,,,,,,,
13,Jose Valverde\valvejo01,2013-04-04,Detroit Tigers,DET,35,3.8,10,366,2,1,1,0,0,0,0,.500,.500,1.000,1.500,26,31,3.11,1.179,585,0,277,590.1,448,57,248,650
14,Chris Young\youngch03,2013-04-04,Washington Nationals,NYM,34,3.0,9,117,201,10,29,1,14,0,10,.144,.188,.199,.387,53,43,3.79,1.220,159,159,0,890.2,745,109,342,755
15,Aaron Cook\cookaa01,2013-04-03,Colorado Rockies,BOS,34,-1.9,11,241,382,26,58,0,19,0,21,.152,.200,.175,.375,76,79,4.60,1.468,256,224,0,1406.1,1636,126,429,578
16,Luis Durango\duranlu01,2013-04-03,Chicago White Sox,ATL,27,0.0,3,,,,,,,,,,,,,,,,,,,,,,,,
17,Mike MacDougal\macdomi01,2013-04-03,Cincinnati Reds,WSN,36,0.7,12,149,0,0,0,0,0,0,0,,,,,18,23,4.00,1.546,407,3,71,394.0,397,25,212,325
18,Donnie Murphy\murphdo01,2013-04-03,Chicago Cubs,MIA,30,0.0,7,244,577,68,118,18,82,5,45,.205,.270,.373,.643,,,,,,,,,,,,
19,Brandon Snyder\snydebr03,2013-04-02,Boston Red Sox,TEX,26,0.2,3,56,98,14,27,3,13,0,6,.276,.324,.418,.742,,,,,,,,,,,,
20,Ryan Sweeney\sweenry01,2013-04-02,Chicago Cubs,BOS,28,1.9,7,535,1719,224,481,14,185,17,151,.280,.338,.378,.715,,,,,,,,,,,,
21,Nick Evans\evansni01,2013-03-28,Arizona Diamondbacks,PIT,27,1.3,4,159,386,54,99,8,46,0,27,.256,.305,.407,.712,,,,,,,,,,,,
22,Miguel Olivo\olivomi01,2013-03-28,Miami Marlins,SEA,34,3.2,11,1083,3668,426,885,141,479,53,152,.241,.275,.418,.693,,,,,,,,,,,,
23,Ramon Ramirez\ramirra02,2013-03-28,San Francisco Giants,NYM,31,1.8,7,241,6,0,2,0,0,0,0,.333,.333,.333,.667,23,21,3.32,1.273,417,0,9,428.0,361,30,184,362
24,Matt Capps\cappsma01,2013-03-27,Cleveland Indians,MIN,29,2.3,8,311,5,1,1,0,0,0,1,.200,.333,.200,.533,29,33,3.52,1.190,444,0,138,439.2,439,53,84,319
25,Pedro Feliciano\felicpe01,2013-03-27,New York Mets,NYY,36,0.9,8,439,6,0,0,0,0,0,2,.000,.250,.000,.250,22,19,3.31,1.372,459,0,4,372.1,352,29,159,341
26,Freddy Garcia\garcifr03,2013-03-27,Baltimore Orioles,NYY,36,4.7,14,33,69,1,12,0,4,0,2,.174,.194,.203,.397,152,101,4.15,1.306,359,344,0,2183.2,2160,267,691,1575
27,Josh Geer\geerjo01,2013-03-27,San Diego Padres,SDP,30,,4,,,,,,,,,,,,,,,,,,,,,,,,
28,Mark Lowe\lowema01,2013-03-27,Los Angeles Angels of Anaheim,TEX,30,0.4,7,13,1,0,0,0,0,0,0,.000,.000,.000,.000,7,20,3.94,1.428,253,0,5,262.2,262,28,113,229
29,Xavier Nady\nadyxa01,2013-03-27,Kansas City Royals,SFG,34,-2.1,11,939,2932,361,792,101,406,19,184,.270,.324,.432,.756,,,,,,,,,,,,
30,George Sherrill\sherrge01,2013-03-27,Kansas City Royals,SEA,36,-0.4,9,160,0,0,0,0,0,0,1,,1.000,,,19,17,3.77,1.338,442,0,56,324.1,280,29,154,320
31,Jose Contreras\contrjo01,2013-03-26,Pittsburgh Pirates,PHI,41,0.7,10,114,29,1,0,0,0,0,3,.000,.094,.000,.094,78,67,4.55,1.361,292,175,9,1168.0,1169,130,421,884
32,Ruben Gotay\gotayru01,2013-03-26,St. Louis Cardinals,ATL,30,,8,,,,,,,,,,,,,,,,,,,,,,,,
33,Daisuke Matsuzaka\matsuda01,2013-03-26,Cleveland Indians,BOS,32,-0.6,6,7,14,0,2,0,1,0,0,.143,.143,.143,.286,50,37,4.52,1.418,117,116,0,668.1,627,75,321,609
34,Lyle Overbay\overbly01,2013-03-26,New York Yankees,ATL,36,2.0,12,1324,4399,578,1188,133,581,15,566,.270,.353,.438,.791,,,,,,,,,,,,
35,Jairo Asencio\valdelu01,2013-03-25,Baltimore Orioles,CHC,30,-0.4,3,17,0,0,0,0,0,0,0,,,,,1,2,5.23,1.575,39,0,0,53.1,58,6,26,37
36,Matt Diaz\diazma02,2013-03-25,Miami Marlins,ATL,35,-1.0,10,726,1863,211,543,45,225,33,105,.291,.339,.431,.770,,,,,,,,,,,,
37,Kyle Lohse\lohseky01,2013-03-25,Milwaukee Brewers,STL,34,3.5,12,197,354,16,54,0,22,0,6,.153,.173,.175,.348,118,109,4.45,1.369,355,331,0,1973.0,2137,235,565,1238
