,Rk,Name,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO,Date
0,1,Rafael Perez\perezra01,Boston Red Sox,CLE,31,2.0,7,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,12.0,3.64,1.328,338.0,0.0,3.0,329.0,320.0,26.0,117.0,268.0,2013
1,2,Cory Wade\wadeco01,Tampa Bay Rays,TOR,30,0.5,4,86.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.33299999999999996,0.0,0.33299999999999996,11.0,6.0,3.65,1.12,161.0,0.0,0.0,177.2,158.0,23.0,41.0,137.0,2013
2,3,Josh Judy\judyjo01,Los Angeles Angels of Anaheim,CIN,27,-0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,2013
3,4,Corey Patterson\patteco01,Seattle Mariners,MIL,33,0.5,12,,,,,,,,,,,,,,,,,,,,,,,,,2013
4,5,Rob Delaney\delanro01,Los Angeles Angels of Anaheim,MIA,28,-0.3,2,,,,,,,,,,,,,,,,,,,,,,,,,2013
5,6,Chris Snyder\snydech02,Baltimore Orioles,HOU,32,0.3,9,706.0,2067.0,227.0,465.0,77.0,297.0,0.0,305.0,0.225,0.32899999999999996,0.385,0.7140000000000001,,,,,,,,,,,,,2013
6,7,Francisco Rodriguez\rodrifr03,Milwaukee Brewers,MIL,31,3.4,11,279.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,38.0,34.0,2.7,1.175,682.0,0.0,294.0,720.2,533.0,56.0,314.0,878.0,2013
7,8,Cody Ransom\ransoco01,Chicago Cubs,ARI,37,0.4,10,321.0,583.0,90.0,128.0,21.0,85.0,6.0,66.0,0.22,0.307,0.395,0.7020000000000001,,,,,,,,,,,,,2013
8,9,Kameron Loe\loeka01,Chicago Cubs,MIL,31,0.5,8,193.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.2,0.33299999999999996,0.2,0.5329999999999999,32.0,40.0,4.36,1.4180000000000001,302.0,47.0,4.0,542.1,595.0,52.0,174.0,342.0,2013
9,10,Miguel Batista\batismi01,Toronto Blue Jays,ATL,42,0.6,18,397.0,311.0,20.0,28.0,2.0,9.0,0.0,11.0,0.09,0.121,0.125,0.24600000000000002,102.0,115.0,4.48,1.493,658.0,248.0,41.0,1956.1,2021.0,194.0,899.0,1250.0,2013
10,11,Edgar Gonzalez\gonzaed01,Toronto Blue Jays,HOU,30,0.1,9,87.0,72.0,1.0,12.0,0.0,3.0,0.0,2.0,0.16699999999999998,0.2,0.18100000000000002,0.381,17.0,26.0,5.84,1.546,113.0,47.0,0.0,350.0,419.0,59.0,122.0,226.0,2013
11,12,Bill Hall\hallbi03,Los Angeles Angels of Anaheim,BAL,33,0.4,11,1053.0,3334.0,450.0,827.0,125.0,440.0,62.0,286.0,0.248,0.308,0.436,0.7440000000000001,,,,,,,,,,,,,2013
