"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Cubs","2332","6335","199","808","767","66","10.4 %","21.1 %",".173",".302",".256",".343",".429",".333","106","17.3","61.3","104.8","37.1"
"Red Sox","2284","6320","208","878","836","83","8.8 %","18.4 %",".179",".320",".282",".348",".461",".346","113","10.6","109.9","15.9","35.2"
"Giants","2404","6271","130","715","675","79","9.1 %","17.7 %",".140",".299",".258",".329",".398",".315","96","-2.8","-34.8","92.8","25.9"
"Dodgers","2491","6164","189","725","680","45","8.5 %","21.4 %",".160",".294",".249",".319",".409",".314","97","2.0","-20.2","77.9","25.5"
"Blue Jays","2349","6233","221","759","728","54","10.1 %","21.9 %",".178",".289",".248",".330",".426",".327","104","-9.0","21.9","8.8","25.1"
"Indians","2366","6155","185","777","733","134","8.6 %","20.2 %",".168",".304",".262",".329",".430",".326","100","15.8","14.1","16.8","24.9"
"Astros","2334","6204","198","724","689","102","8.9 %","23.4 %",".170",".298",".247",".319",".417",".317","101","-5.4","2.8","14.6","23.7"
"Mets","2430","6115","218","671","649","42","8.5 %","21.3 %",".171",".282",".246",".316",".417",".315","99","-8.6","-17.7","55.9","23.4"
"Nationals","2302","6202","203","763","735","121","8.6 %","20.2 %",".170",".293",".256",".325",".426",".322","96","16.0","-16.7","41.2","22.2"
"Cardinals","2400","6223","225","779","745","35","8.5 %","21.2 %",".187",".294",".255",".325",".443",".329","105","-17.1","18.9","2.8","22.0"
"Mariners","2371","6227","223","768","735","56","8.1 %","20.7 %",".171",".297",".259",".326",".430",".325","108","-13.5","44.6","-51.2","21.3"
"Marlins","2460","6133","128","655","626","71","7.3 %","19.8 %",".131",".314",".263",".322",".394",".309","95","2.4","-40.1","57.4","21.3"
"Tigers","2295","6127","211","750","719","58","8.0 %","21.3 %",".171",".312",".267",".331",".438",".330","106","-16.9","27.0","-31.9","21.1"
"Orioles","2257","6089","253","744","710","19","7.7 %","21.7 %",".188",".291",".256",".317",".443",".326","103","2.5","22.6","-29.8","20.7"
"Angels","2419","6041","156","717","686","73","7.8 %","16.4 %",".145",".289",".260",".322",".405",".314","99","-16.8","-27.4","6.4","19.2"
"Rays","2281","6046","216","672","647","60","7.4 %","24.5 %",".182",".293",".243",".307",".426",".315","98","-0.4","-13.0","-9.0","19.1"
"Pirates","2458","6261","153","729","696","110","9.0 %","21.3 %",".144",".311",".257",".332",".402",".318","97","-6.7","-26.5","15.6","18.8"
"Rockies","2369","6236","204","845","805","66","7.9 %","21.3 %",".182",".326",".275",".336",".457",".339","94","1.1","-45.0","32.2","18.5"
"Rangers","2324","6089","215","765","746","99","7.2 %","20.0 %",".172",".298",".262",".322",".433",".324","95","2.0","-37.0","-14.5","16.2"
"Diamondbacks","2399","6260","190","752","709","137","7.4 %","22.8 %",".171",".315",".261",".320",".432",".321","93","17.7","-39.9","-2.1","15.6"
"Yankees","2308","6058","183","680","647","72","7.8 %","19.6 %",".153",".289",".252",".314",".405",".311","92","10.6","-49.7","-7.3","15.5"
"White Sox","2217","6131","168","686","656","77","7.4 %","21.0 %",".153",".304",".257",".317",".410",".314","97","-2.5","-27.2","-38.0","15.0"
"Brewers","2342","6061","194","671","641","181","9.9 %","25.5 %",".163",".304",".244",".322",".407",".315","92","5.2","-55.2","-9.3","12.7"
"Twins","2290","6245","200","722","690","91","8.2 %","22.8 %",".171",".300",".251",".316",".421",".317","95","7.8","-28.5","-65.9","12.4"
"Reds","2287","6094","164","716","678","139","7.4 %","21.1 %",".152",".303",".256",".316",".408",".311","89","-4.3","-89.9","18.6","12.1"
"Royals","2244","6052","147","675","640","121","6.3 %","20.2 %",".139",".309",".261",".312",".400",".307","89","-4.3","-83.9","-9.8","11.8"
"Padres","2355","6000","177","686","654","125","7.5 %","25.0 %",".155",".291",".235",".299",".390",".297","84","24.8","-92.3","14.0","11.1"
"Braves","2390","6192","122","649","615","75","8.1 %","20.0 %",".130",".305",".255",".321",".384",".304","86","-6.1","-110.8","13.7","9.8"
"Phillies","2348","5992","161","610","575","96","7.1 %","23.0 %",".144",".292",".240",".301",".385",".296","81","0.9","-137.5","43.2","9.4"
"Athletics","2343","6022","169","653","634","50","7.3 %","19.0 %",".149",".280",".246",".304",".395",".302","89","-22.2","-100.5","-77.5","3.0"
