"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Astros","2313","6271","238","896","854","98","8.1 %","17.3 %",".196",".309",".282",".346",".478",".349","121","-0.4","162.6","-37.9","33.7"
"Dodgers","2464","6191","221","770","730","77","10.5 %","22.3 %",".188",".293",".249",".334",".437",".330","104","5.8","40.7","90.2","33.3"
"Yankees","2294","6354","241","858","821","90","9.7 %","21.8 %",".185",".304",".262",".339",".447",".336","109","11.1","82.3","-6.5","29.2"
"Marlins","2399","6248","194","778","743","91","7.8 %","20.5 %",".163",".313",".267",".331",".431",".325","101","1.4","9.0","65.7","27.9"
"Cubs","2420","6283","223","822","785","62","9.9 %","22.3 %",".182",".302",".255",".338",".437",".331","101","-6.8","4.8","57.6","26.7"
"Indians","2367","6234","212","818","780","88","9.7 %","18.5 %",".186",".295",".263",".339",".449",".336","105","11.1","48.8","6.8","26.7"
"Cardinals","2416","6219","196","761","728","81","9.5 %","21.7 %",".170",".304",".256",".334",".426",".326","101","2.0","8.4","51.4","26.3"
"Twins","2324","6261","206","815","781","95","9.5 %","21.4 %",".174",".306",".260",".334",".434",".329","103","14.4","39.7","7.2","26.0"
"Nationals","2322","6214","215","819","796","108","8.7 %","21.4 %",".183",".311",".266",".332",".449",".331","99","11.9","2.4","38.7","24.4"
"Mets","2396","6169","224","735","713","58","8.6 %","20.9 %",".184",".286",".250",".320",".434",".322","101","-11.3","-7.2","32.1","22.6"
"Rays","2345","6147","228","694","671","88","8.9 %","25.0 %",".178",".296",".245",".317",".422",".316","99","11.2","1.1","6.5","21.7"
"Mariners","2323","6166","200","750","714","89","7.9 %","20.5 %",".165",".300",".259",".325",".424",".321","103","-12.6","7.2","-0.8","21.6"
"Diamondbacks","2360","6224","220","812","776","103","9.3 %","23.4 %",".190",".306",".254",".329",".445",".329","95","12.4","-27.9","21.1","19.7"
"Reds","2321","6213","219","753","715","120","9.1 %","21.4 %",".179",".294",".253",".329",".433",".325","95","-5.3","-47.4","38.7","19.4"
"Angels","2392","6073","186","710","678","136","8.6 %","19.7 %",".155",".277",".243",".315",".397",".307","92","1.4","-61.3","42.6","18.8"
"Red Sox","2334","6338","168","785","735","106","9.0 %","19.3 %",".149",".300",".258",".329",".407",".316","91","4.9","-64.0","30.2","18.2"
"Athletics","2350","6126","234","739","708","57","9.2 %","24.3 %",".190",".294",".246",".319",".436",".323","103","-5.5","19.9","-53.6","17.5"
"Brewers","2423","6135","224","732","695","128","8.9 %","25.6 %",".180",".308",".249",".322",".429",".321","94","2.4","-48.6","20.7","17.3"
"Braves","2374","6216","165","732","706","77","7.6 %","19.0 %",".150",".305",".263",".326",".412",".316","90","4.3","-79.8","35.0","15.9"
"Tigers","2336","6150","187","735","699","65","8.2 %","21.3 %",".166",".306",".258",".324",".424",".321","98","-19.8","-37.8","-29.4","14.2"
"White Sox","2289","6059","186","706","670","71","6.6 %","23.1 %",".161",".309",".256",".314",".417",".313","95","-1.9","-36.4","-29.2","14.1"
"Rockies","2374","6201","192","824","793","59","8.4 %","22.7 %",".171",".332",".273",".338",".444",".332","88","-6.4","-105.8","40.0","13.7"
"Orioles","2351","6140","232","743","713","32","6.4 %","23.0 %",".175",".306",".260",".312",".435",".318","95","-14.9","-51.3","-44.9","11.3"
"Royals","2342","6027","193","702","660","91","6.5 %","19.3 %",".160",".295",".259",".311",".420",".312","91","2.5","-65.6","-28.5","11.1"
"Blue Jays","2455","6154","222","693","661","53","8.8 %","21.6 %",".172",".276",".240",".312",".412",".312","93","-15.8","-72.6","-30.2","10.7"
"Giants","2372","6137","128","639","612","76","7.6 %","19.6 %",".132",".294",".249",".309",".380",".296","83","2.6","-134.1","38.5","10.5"
"Phillies","2308","6133","174","690","654","59","8.1 %","23.1 %",".159",".304",".250",".315",".409",".310","87","-9.5","-109.5","13.1","10.4"
"Rangers","2268","6122","237","799","756","113","8.9 %","24.4 %",".186",".291",".244",".320",".430",".321","90","6.3","-70.2","-37.6","10.1"
"Pirates","2371","6136","151","668","635","67","8.5 %","19.8 %",".142",".286",".244",".318",".386",".304","85","-2.2","-120.0","19.3","10.0"
"Padres","2342","5954","189","604","576","89","7.7 %","25.2 %",".160",".287",".234",".299",".393",".298","82","6.7","-132.7","7.4","7.0"
