"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Angels","2267","6121","187","767","732","134","7.3 %","18.2 %",".159",".311",".274",".332",".433",".331","113","13.5","109.8","5.9","33.8"
"Yankees","2367","6231","245","804","774","93","9.1 %","18.9 %",".188",".293",".265",".337",".453",".342","113","2.3","97.3","12.1","33.6"
"Giants","2384","6200","103","718","675","118","7.8 %","17.7 %",".128",".315",".269",".327",".397",".314","101","13.0","22.4","66.7","29.0"
"Cardinals","2391","6326","159","765","732","91","8.4 %","18.8 %",".150",".316",".271",".338",".421",".329","106","-1.6","46.5","33.9","28.5"
"Brewers","2415","6224","202","776","741","158","7.5 %","19.9 %",".177",".299",".259",".325",".437",".329","102","12.1","29.5","52.2","28.3"
"Braves","2264","6126","149","700","660","101","9.3 %","21.0 %",".142",".296",".247",".320",".389",".310","92","7.2","-48.9","123.8","27.3"
"Reds","2211","6115","172","669","636","87","7.9 %","20.7 %",".159",".296",".251",".315",".411",".314","93","13.5","-36.0","78.9","23.9"
"Rays","2406","6105","175","697","665","134","9.4 %","21.7 %",".155",".284",".240",".317",".394",".311","100","-0.7","-1.0","20.8","23.7"
"Nationals","2338","6221","194","731","688","105","7.7 %","21.3 %",".166",".308",".261",".322",".428",".324","101","-4.1","4.7","33.0","23.7"
"Rangers","2236","6216","200","808","780","91","7.7 %","17.7 %",".173",".306",".273",".334",".446",".336","106","-5.8","39.5","-27.3","23.3"
"Diamondbacks","2213","6150","165","734","710","93","8.8 %","20.6 %",".159",".307",".259",".328",".418",".323","97","-5.6","-30.7","52.0","21.8"
"Padres","2384","6112","121","651","610","155","8.8 %","20.3 %",".133",".297",".247",".319",".380",".307","97","13.8","-8.4","29.1","21.6"
"Phillies","2294","6172","158","684","659","116","7.4 %","17.7 %",".144",".290",".255",".317",".400",".311","93","10.7","-40.8","58.9","21.5"
"White Sox","2277","6111","211","748","726","109","7.5 %","19.7 %",".167",".289",".255",".318",".422",".322","98","-7.0","-18.2","8.7","20.7"
"Tigers","2248","6119","163","726","698","59","8.4 %","18.0 %",".154",".307",".268",".335",".422",".328","105","-17.8","15.4","-27.2","20.5"
"Red Sox","2317","6166","165","734","695","97","6.9 %","19.4 %",".155",".301",".260",".315",".415",".316","95","2.6","-37.1","20.0","20.1"
"Athletics","2247","6183","195","713","676","122","8.9 %","22.4 %",".166",".281",".238",".310",".404",".311","97","19.4","0.3","-24.4","19.4"
"Mets","2420","6091","139","650","625","79","8.3 %","20.5 %",".137",".298",".249",".316",".386",".306","94","-3.2","-48.8","16.1","15.9"
"Orioles","2282","6160","214","712","677","58","7.8 %","21.3 %",".170",".286",".247",".311",".417",".317","96","-17.1","-44.0","-24.7","14.6"
"Blue Jays","2289","6094","198","716","677","123","7.8 %","20.5 %",".161",".281",".245",".309",".407",".311","92","2.5","-55.8","-14.0","14.3"
"Dodgers","2356","6091","116","637","607","104","7.9 %","19.0 %",".122",".298",".252",".317",".374",".302","90","-8.6","-81.9","28.9","13.8"
"Royals","2249","6149","131","676","643","132","6.6 %","16.8 %",".135",".302",".265",".317",".400",".311","94","-7.4","-50.8","-35.7","12.7"
"Twins","2271","6209","131","701","666","135","8.1 %","17.2 %",".130",".298",".260",".325",".390",".313","95","0.7","-32.5","-57.5","12.6"
"Cubs","2341","5967","137","613","570","94","7.5 %","20.7 %",".138",".286",".240",".302",".378",".297","81","-6.0","-138.9","65.7","11.3"
"Marlins","2269","6057","137","609","576","149","8.0 %","20.3 %",".138",".289",".244",".308",".382",".300","87","2.5","-92.9","10.9","10.6"
"Rockies","2429","6183","166","758","716","100","7.3 %","19.6 %",".163",".321",".274",".330",".436",".331","90","2.8","-73.8","-14.7","10.3"
"Pirates","2360","6014","170","651","620","73","7.4 %","22.5 %",".152",".291",".243",".304",".395",".304","91","-0.3","-67.8","-17.0","10.2"
"Mariners","2236","6057","149","619","584","104","7.7 %","20.8 %",".135",".276",".234",".296",".369",".291","87","0.1","-89.6","-30.3","8.9"
"Indians","2339","6195","136","667","635","110","9.0 %","17.5 %",".131",".288",".251",".324",".381",".310","97","-13.6","-37.7","-93.2","8.2"
"Astros","2421","6014","146","583","545","105","7.7 %","22.7 %",".135",".288",".236",".302",".371",".296","82","-16.9","-144.4","17.7","5.8"
