"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Dodgers","2574","6358","235","804","756","75","10.2 %","22.6 %",".191",".294",".250",".333",".442",".333","111","11.4","99.1","38.3","34.8"
"Red Sox","2345","6302","208","876","829","125","9.0 %","19.9 %",".185",".309",".268",".339",".453",".340","110","-5.1","73.1","30.9","32.1"
"Yankees","2269","6271","267","851","821","63","10.0 %","22.7 %",".202",".285",".249",".329",".451",".335","112","14.6","105.0","-4.6","31.7"
"Athletics","2403","6255","227","813","778","35","8.8 %","22.1 %",".187",".294",".252",".325",".439",".329","111","-5.8","77.8","23.0","31.7"
"Indians","2413","6300","216","818","786","135","8.8 %","18.9 %",".176",".291",".259",".332",".434",".330","104","13.7","45.6","16.8","27.9"
"Brewers","2496","6210","218","754","711","124","8.6 %","23.5 %",".172",".302",".252",".323",".424",".322","99","8.2","3.0","68.3","27.5"
"Braves","2377","6251","175","759","717","90","8.2 %","20.6 %",".161",".302",".257",".324",".417",".319","97","12.6","-10.8","66.8","26.0"
"Astros","2348","6146","205","797","763","71","9.2 %","19.5 %",".170",".289",".255",".329",".425",".327","109","-7.0","60.1","-11.5","25.9"
"Cardinals","2464","6200","205","759","725","63","8.5 %","22.3 %",".160",".294",".249",".321",".409",".316","99","12.9","8.3","47.1","25.8"
"Cubs","2490","6369","167","761","722","66","9.0 %","21.8 %",".152",".313",".258",".333",".410",".321","100","2.2","-0.9","44.0","25.1"
"Angels","2467","6108","214","721","690","89","8.4 %","21.3 %",".171",".277",".242",".313",".413",".313","100","2.8","-1.1","36.7","24.4"
"Nationals","2441","6288","191","771","737","119","10.0 %","20.5 %",".164",".297",".254",".335",".419",".325","100","8.4","11.5","22.2","23.8"
"Rays","2371","6195","150","716","664","128","8.7 %","22.4 %",".148",".317",".258",".333",".406",".322","106","-0.3","45.9","-23.7","23.4"
"Diamondbacks","2409","6157","176","693","658","79","9.1 %","23.7 %",".162",".286",".235",".310",".397",".306","89","7.1","-76.0","79.2","20.3"
"Mariners","2373","6087","176","677","644","79","7.1 %","20.1 %",".154",".295",".254",".314",".408",".313","100","-7.0","-6.8","-17.4","18.2"
"Pirates","2293","6066","157","692","665","70","7.8 %","20.3 %",".154",".298",".254",".317",".407",".312","95","-13.3","-47.6","29.1","17.7"
"Reds","2402","6240","172","696","665","77","9.0 %","22.1 %",".148",".307",".254",".328",".401",".317","95","-1.9","-44.0","8.6","16.6"
"Rockies","2368","6178","210","780","748","95","8.2 %","22.6 %",".179",".304",".256",".322",".435",".325","88","3.2","-88.7","53.2","16.4"
"Twins","2351","6154","166","738","704","47","8.7 %","21.6 %",".155",".298",".250",".318",".405",".313","96","0.6","-30.6","-17.4","16.0"
"Mets","2333","6177","170","676","649","71","9.2 %","22.7 %",".154",".283",".234",".312",".389",".305","94","2.6","-40.1","-8.3","15.0"
"Blue Jays","2435","6076","217","709","680","47","8.2 %","22.8 %",".183",".286",".244",".312",".427",".319","101","-27.1","-22.5","-49.7","13.2"
"Phillies","2474","6136","186","677","653","69","9.5 %","24.8 %",".158",".289",".234",".314",".393",".307","90","2.9","-71.4","-3.1","12.2"
"Royals","2184","6063","155","638","606","117","7.0 %","21.6 %",".146",".293",".245",".305",".392",".303","88","-7.4","-97.1","11.6","11.8"
"Rangers","2300","6163","194","737","696","74","9.0 %","24.1 %",".164",".292",".240",".318",".404",".315","89","7.2","-77.4","-15.1","11.4"
"Marlins","2434","6083","128","589","554","45","7.5 %","22.8 %",".119",".293",".237",".303",".357",".289","83","-15.8","-144.4","49.3","9.9"
"White Sox","2348","6071","182","656","639","98","7.0 %","26.3 %",".160",".304",".241",".302",".401",".304","92","-7.2","-61.9","-52.9","8.8"
"Padres","2380","6059","162","617","583","95","7.8 %","25.1 %",".145",".294",".235",".297",".380",".294","84","-5.7","-122.8","10.0","8.0"
"Giants","2412","6113","133","603","573","77","7.3 %","24.0 %",".129",".299",".239",".300",".368",".290","83","-2.9","-132.5","7.9","7.0"
"Tigers","2323","6029","135","630","597","70","7.1 %","22.2 %",".138",".293",".241",".300",".380",".295","83","6.4","-113.4","-20.5","6.7"
"Orioles","2313","6034","188","622","593","81","7.0 %","23.4 %",".152",".286",".239",".298",".391",".299","85","-9.6","-116.1","-75.1","0.8"
