"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Dodgers","2364","6231","134","718","686","138","8.3 %","20.0 %",".140",".318",".265",".333",".406",".327","112","-0.4","81.4","20.3","31.8"
"Pirates","2362","6224","156","682","659","104","8.4 %","20.0 %",".145",".307",".259",".330",".404",".325","108","3.8","61.6","36.7","31.4"
"Angels","2468","6284","155","773","729","81","7.8 %","20.1 %",".147",".305",".259",".322",".406",".321","110","1.3","67.3","11.5","30.4"
"Orioles","2294","6130","211","705","681","44","6.5 %","21.0 %",".166",".296",".256",".311",".422",".323","104","-6.2","21.9","34.4","27.4"
"Nationals","2265","6216","152","686","635","101","8.3 %","21.0 %",".140",".303",".253",".321",".393",".317","99","15.3","8.4","42.4","26.2"
"Giants","2353","6087","132","665","636","56","7.0 %","20.5 %",".133",".304",".255",".311",".388",".308","99","0.5","-5.1","52.8","25.4"
"Tigers","2330","6202","155","757","731","106","7.1 %","18.4 %",".150",".319",".277",".331",".426",".331","112","-7.3","73.0","-41.9","24.8"
"Blue Jays","2397","6167","177","723","690","78","8.1 %","18.7 %",".155",".295",".259",".323",".414",".325","107","0.0","44.9","-37.0","22.2"
"Athletics","2358","6245","146","729","686","83","9.4 %","17.7 %",".137",".278",".244",".320",".381",".312","102","11.0","27.2","-30.4","21.2"
"Brewers","2327","6065","150","650","617","102","7.0 %","19.7 %",".147",".293",".250",".311",".397",".313","94","-12.1","-56.2","62.2","20.8"
"Rays","2352","6205","117","612","586","63","8.5 %","18.1 %",".120",".287",".247",".317",".367",".305","97","1.0","-19.9","9.5","20.3"
"Royals","2273","6058","95","651","604","153","6.3 %","16.3 %",".113",".302",".263",".314",".376",".306","92","4.8","-47.8","28.1","18.8"
"Yankees","2288","6082","147","633","591","112","7.4 %","18.6 %",".135",".282",".245",".307",".380",".305","94","3.2","-38.5","11.7","18.1"
"Cardinals","2324","6086","105","619","585","57","7.7 %","18.6 %",".116",".300",".253",".320",".369",".308","95","-15.5","-49.0","29.9","18.1"
"Mets","2294","6145","125","629","602","101","8.4 %","20.6 %",".126",".286",".239",".308",".364",".299","92","-0.4","-56.0","32.6","17.8"
"Red Sox","2283","6226","123","634","601","63","8.6 %","21.5 %",".124",".297",".244",".316",".369",".305","89","-8.1","-83.0","44.8","17.3"
"Rockies","2387","6164","186","755","721","85","6.4 %","20.8 %",".169",".326",".276",".327",".445",".337","97","-12.3","-33.1","2.2","17.0"
"Marlins","2311","6185","122","645","614","58","8.1 %","22.9 %",".125",".316",".253",".317",".378",".307","95","-5.6","-42.3","7.0","16.6"
"Mariners","2333","5977","136","634","600","96","6.6 %","20.6 %",".132",".290",".244",".300",".376",".299","94","3.2","-37.5","-1.5","16.4"
"Twins","2292","6233","128","715","675","99","8.7 %","21.3 %",".135",".309",".254",".324",".389",".316","100","20.9","23.8","-72.6","16.2"
"Cubs","2358","6102","157","614","590","65","7.2 %","24.2 %",".146",".296",".239",".300",".385",".303","91","4.0","-59.5","15.2","15.4"
"Reds","2213","5978","131","595","562","122","6.9 %","20.9 %",".127",".284",".238",".296",".365",".294","83","-1.2","-115.4","69.1","14.7"
"Indians","2391","6222","142","669","644","104","8.1 %","19.1 %",".136",".296",".253",".317",".389",".313","98","9.9","-1.7","-65.6","14.1"
"Astros","2229","6055","163","629","596","122","8.2 %","23.8 %",".141",".298",".242",".309",".383",".308","98","3.6","-8.1","-57.9","13.7"
"White Sox","2285","6077","155","660","625","85","6.9 %","22.4 %",".146",".306",".253",".310",".398",".312","99","-13.1","-23.5","-46.4","13.3"
"Diamondbacks","2274","6089","118","615","573","86","6.5 %","19.1 %",".127",".293",".248",".302",".376",".300","83","1.5","-112.8","47.5","13.0"
"Braves","2252","6064","123","573","545","95","7.8 %","22.6 %",".119",".298",".241",".305",".360",".296","86","-4.4","-98.9","32.7","12.8"
"Padres","2362","5905","109","535","500","91","7.9 %","21.9 %",".115",".277",".226",".292",".342",".283","82","-6.2","-128.7","56.9","11.7"
"Rangers","2264","6026","111","637","597","105","6.9 %","19.3 %",".119",".305",".256",".314",".375",".305","90","-1.8","-66.8","-17.0","11.6"
"Phillies","2282","6198","125","619","584","109","7.1 %","21.1 %",".121",".292",".242",".302",".363",".295","86","10.6","-85.5","4.2","11.6"
