"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Yankees","2301","6306","222","867","836","147","9.9 %","18.0 %",".181",".292",".263",".343",".444",".345","113","6.6","101.6","39.7","37.0"
"Red Sox","2269","6414","203","875","842","102","9.0 %","17.3 %",".181",".314",".280",".349",".461",".352","117","-12.2","114.3","16.2","36.3"
"Rangers","2186","6261","210","855","807","143","7.6 %","14.9 %",".177",".304",".283",".340",".460",".347","112","20.6","107.4","5.3","33.9"
"Brewers","2292","6113","185","721","693","94","7.9 %","17.7 %",".164",".293",".261",".325",".425",".327","103","0.3","20.6","82.0","30.5"
"Diamondbacks","2230","6096","172","731","702","133","8.7 %","20.5 %",".163",".294",".250",".322",".413",".322","97","9.0","-14.8","117.8","30.5"
"Cardinals","2403","6242","162","762","726","57","8.7 %","15.7 %",".151",".305",".273",".341",".425",".334","112","-16.5","72.3","17.7","29.6"
"Reds","2358","6329","183","735","697","97","8.5 %","19.8 %",".152",".297",".256",".326",".408",".322","99","8.7","3.6","81.9","29.4"
"Rays","2284","6152","172","707","674","155","9.3 %","19.4 %",".159",".281",".244",".322",".402",".319","103","10.4","35.1","23.1","27.7"
"Angels","2187","6088","155","667","629","135","7.3 %","17.8 %",".149",".288",".253",".313",".402",".313","98","-3.8","-14.6","38.0","23.8"
"Tigers","2309","6231","169","787","750","49","8.4 %","18.3 %",".157",".318",".277",".340",".434",".337","109","-15.2","48.5","-36.5","23.1"
"Royals","2134","6267","129","730","705","153","7.1 %","16.1 %",".140",".311",".275",".329",".415",".325","101","0.7","4.5","-25.3","19.8"
"Dodgers","2304","6094","117","644","613","126","8.2 %","17.8 %",".118",".299",".257",".322",".375",".307","95","10.2","-24.6","24.3","19.6"
"Phillies","2203","6279","153","713","693","96","8.6 %","16.3 %",".142",".283",".253",".323",".395",".315","96","3.5","-29.5","17.9","19.0"
"Braves","2322","6169","173","641","606","77","8.2 %","20.4 %",".144",".284",".243",".308",".387",".306","91","-4.8","-70.5","57.9","18.5"
"Giants","2370","6091","121","570","534","85","7.4 %","18.4 %",".126",".281",".242",".303",".368",".295","88","-6.5","-87.9","74.2","18.1"
"Mets","2383","6335","108","718","676","130","9.0 %","17.1 %",".127",".307",".264",".335",".391",".319","102","11.1","25.0","-55.1","17.2"
"Nationals","2341","6090","154","624","594","106","7.7 %","21.7 %",".140",".292",".242",".309",".383",".305","89","3.7","-73.4","45.6","16.6"
"Blue Jays","2265","6210","186","743","704","131","8.5 %","19.1 %",".164",".283",".249",".317",".413",".319","97","12.1","-11.6","-46.8","15.6"
"Padres","2355","6074","91","593","563","170","8.2 %","21.7 %",".112",".294",".237",".305",".349",".290","86","18.2","-77.3","34.3","15.0"
"Cubs","2373","6130","148","654","610","69","6.9 %","19.6 %",".144",".301",".256",".314",".401",".314","91","-17.7","-80.2","29.5","14.3"
"Marlins","2348","6232","149","625","596","95","8.7 %","20.0 %",".142",".291",".247",".318",".388",".311","92","2.1","-56.1","-3.7","13.7"
"Astros","2377","6150","95","615","579","118","6.5 %","18.9 %",".116",".308",".258",".311",".374",".301","88","-0.6","-89.1","28.3","13.3"
"Orioles","2262","6156","191","708","684","81","7.3 %","18.2 %",".156",".288",".257",".316",".413",".320","96","-11.3","-39.1","-48.9","12.3"
"Rockies","2348","6275","163","735","697","118","8.8 %","19.1 %",".152",".300",".258",".329",".410",".324","88","-1.8","-92.5","12.7","11.7"
"White Sox","2206","6159","154","654","625","81","7.7 %","16.1 %",".136",".280",".252",".319",".388",".312","90","-9.9","-80.0","-13.9","11.7"
"Indians","2287","6142","154","704","671","89","8.0 %","20.7 %",".146",".297",".250",".317",".396",".314","99","0.4","-8.5","-107.2","9.3"
"Athletics","2229","6104","114","645","612","117","8.3 %","17.9 %",".125",".283",".244",".311",".369",".301","89","-6.5","-82.2","-49.5","7.5"
"Pirates","2444","6064","107","610","580","108","8.1 %","21.6 %",".123",".301",".244",".309",".368",".299","87","-15.2","-103.1","-17.8","6.7"
"Twins","2269","6020","103","619","572","92","7.3 %","17.4 %",".113",".288",".247",".306",".360",".296","82","-6.5","-133.4","-25.8","4.3"
"Mariners","2090","5972","109","556","534","125","7.3 %","21.4 %",".115",".283",".233",".292",".348",".283","80","11.9","-124.4","-36.6","3.9"
